"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,       1.717005609,       4.211676938,       4.181319141,       7.411992917,      -3.305825843
          0,           0,           1,       1.639825838,        4.07466939,       4.103802321,       7.273886936,       -3.36975959
          0,           0,           2,       1.550921226,       4.031001698,       4.039629484,       7.176272602,      -3.339406719
          0,           0,           3,       1.534194348,       3.990180341,       3.997579245,       7.136741405,      -3.312801324
          0,           0,           4,       1.541362138,       3.947845725,       3.954528973,       7.124518624,      -3.307068571
          0,           0,           5,       1.542137097,       3.907460121,       3.913489853,        7.11332876,      -3.318875051
          0,           0,           6,       1.533007332,       3.874556073,       3.875201413,       7.098135441,      -3.341804055
          0,           0,           7,       1.517667012,       3.851305671,       3.845993637,       7.079258731,      -3.371553418
          0,           0,           8,       1.499229053,       3.838962988,        3.82611068,       7.056213581,      -3.405290556
          0,           0,           9,        1.48012514,       3.835360237,       3.816681973,       7.028844525,      -3.441219577
          0,           0,          10,       1.462242235,       3.832914193,       3.811277507,       7.003685197,      -3.477663664
          0,           0,          11,       1.443421748,       3.831275392,       3.807425933,       6.975369568,      -3.513248182
          0,           0,          12,       1.424818966,       3.828282087,       3.802592806,       6.946754375,      -3.547407142
          0,           0,          13,       1.405150108,       3.822523411,       3.795546377,       6.918031015,      -3.580124699
          0,           0,          14,       1.383821448,        3.81369306,       3.785787782,       6.888773246,      -3.611537704
          0,           0,          15,        1.36106383,       3.802031739,       3.773612806,       6.859226367,      -3.642367532
          0,           0,          16,       1.336377979,       3.787804721,       3.759136906,       6.829330359,      -3.673258205
          0,           0,          17,       1.310112843,       3.771157181,       3.742837162,       6.799194552,      -3.704608906
          0,           0,          18,       1.282557675,       3.752498783,       3.725115765,        6.76877408,      -3.736548804
          0,           0,          19,       1.253720335,       3.732061984,       3.706208225,       6.737958711,       -3.76902579
          0,           0,          20,       1.223643769,       3.710080433,       3.686307555,       6.706650751,      -3.801887574
          0,           0,          21,       1.192497742,       3.686778171,       3.665479073,       6.674824196,      -3.834978549
          0,           0,          22,       1.160454419,       3.662225826,       3.643731871,        6.64248619,      -3.868082454
          0,           0,          23,       1.127671453,       3.636521093,       3.621062261,       6.609652665,      -3.900920491
          0,           0,          24,        1.09447415,       3.609663011,       3.597449576,       6.576489205,      -3.933089017
          0,           0,          25,       1.061197757,       3.581672855,        3.57293893,       6.543225932,      -3.964053945
          0,           0,          26,       1.028313344,        3.55253164,       3.547361443,       6.510243876,      -3.993155338
          0,           0,          27,      0.9964474097,       3.522229052,       3.520739557,       6.478203011,      -4.019680811
          0,           0,          28,      0.9662591004,       3.490620968,       3.492988553,       6.447833068,      -4.042959672
          0,           0,          29,      0.9385522992,       3.457768752,        3.46394863,       6.420083063,      -4.062529341
          0,           0,          30,      0.9138816821,       3.423528699,        3.43343782,       6.395641688,      -4.078389045
          0,           0,          31,      0.8924786077,       3.387759654,       3.401088626,       6.374788869,      -4.091031715
          0,           0,          32,       0.874225407,        3.35022262,       3.366485711,       6.357277205,      -4.101279061
          0,           0,          33,      0.8585448699,       3.310791963,       3.329282952,       6.342313655,      -4.110140618
          0,           0,          34,      0.8448119972,       3.269364683,       3.289273179,       6.329054149,      -4.118638783
          0,           0,          35,      0.8320567953,        3.22596224,       3.246498239,       6.316285083,      -4.127719329
          0,           0,          36,      0.8196277896,       3.181096556,       3.201330614,       6.303106368,      -4.138065986
          0,           0,          37,      0.8068100465,       3.135272354,       3.154356983,       6.289071251,       -4.15014643
          0,           0,          38,      0.7929502821,       3.089530743,       3.106654268,       6.273540613,      -4.164318958
          0,           0,          39,      0.7776411127,       3.045397933,       3.059655216,       6.256349214,       -4.18075659
          0,           0,          40,      0.7608883231,       3.004385831,       3.015303609,       6.237372984,       -4.19963306
          0,           0,          41,      0.7426771858,       2.968272579,       2.975645588,       6.216609492,      -4.221099774
          0,           0,          42,       0.722928713,       2.938395697,        2.94275315,       6.193958165,      -4.245318458
          0,           0,          43,      0.7015320276,       2.915344498,       2.918147886,       6.169253847,      -4.272352577
          0,           0,          44,      0.6785140425,       2.898757936,       2.901926676,       6.142492986,      -4.302167714
          0,           0,          45,      0.6540123725,       2.887468771,       2.892880495,        6.11373413,      -4.334494427
          0,           0,          46,      0.6283935906,       2.879732989,        2.88882503,       6.083175283,      -4.368720456
          0,           0,          47,      0.6022930491,        2.87326046,       2.887298232,        6.05129314,      -4.403783995
          0,           0,          48,      0.5767077098,         2.8671816,       2.886249506,        6.01902749,      -4.438134778
          0,           0,          49,      0.5527395167,       2.858568516,        2.88401583,       5.987497849,      -4.469725215
          0,           0,          50,      0.5317132382,        2.84647613,       2.879765217,       5.958246912,      -4.496653754
          0,           0,          51,      0.5147563065,       2.831242083,       2.872634725,       5.932844962,      -4.517849905
