"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.4693160509,       1.453316943,       1.104735967,       5.022442172
          0,           0,           1,     -0.5029414935,       1.409978055,       1.096160348,       4.990473329
          0,           0,           2,     -0.5999973541,       1.260343141,       1.059036361,       4.900300543
          0,           0,           3,       -0.67748543,       1.070635619,      0.9844743756,       4.831471636
          0,           0,           4,     -0.7092596358,       1.007374204,      0.8773365968,       4.797433959
          0,           0,           5,     -0.7483439146,       1.030915029,      0.8025544243,       4.749465819
          0,           0,           6,     -0.8258808077,      0.9875033748,       0.742556795,       4.668039268
          0,           0,           7,     -0.9537024637,      0.8890330683,      0.6360690988,       4.540595349
          0,           0,           8,      -1.108457577,      0.7813978883,      0.4897133757,       4.385963381
          0,           0,           9,      -1.275623272,      0.6400571804,       0.332690355,       4.218909618
          0,           0,          10,      -1.456293334,      0.4563109233,       0.158810382,       4.038356638
          0,           0,          11,      -1.629805833,      0.2704217696,   -0.006278977522,       3.864827564
          0,           0,          12,      -1.807403919,     0.08907926085,     -0.1717837957,       3.686245509
          0,           0,          13,      -1.987189135,     -0.0865014623,     -0.3496897622,       3.503594872
          0,           0,          14,      -2.159177795,     -0.2511444462,     -0.5311047767,       3.326606937
          0,           0,          15,      -2.332466616,     -0.4137286657,     -0.7116264892,       3.145009486
          0,           0,          16,      -2.517776163,     -0.5824694917,     -0.8971376877,       2.944942411
          0,           0,          17,      -2.711699228,     -0.7547809727,      -1.094024414,       2.725286439
          0,           0,          18,      -2.900713009,       -0.92324161,      -1.301784017,       2.496945744
          0,           0,          19,      -3.075870357,      -1.086108735,      -1.511917884,       2.272781581
          0,           0,          20,      -3.240855605,       -1.24817447,      -1.714107594,       2.055989864
          0,           0,          21,      -3.404135322,      -1.413788588,      -1.905578463,       1.842830591
          0,           0,          22,      -3.571458602,      -1.582532988,      -2.090562626,       1.636462837
          0,           0,          23,      -3.746207747,      -1.748122568,      -2.270192777,       1.452937771
          0,           0,          24,        -3.9315901,      -1.899052884,      -2.435908931,       1.308502779
          0,           0,          25,      -4.131059764,      -2.024427103,      -2.574045821,       1.200156162
          0,           0,          26,      -4.346911548,      -2.124151146,      -2.680853241,       1.110410773
          0,           0,          27,      -4.576449965,      -2.209862899,      -2.768263617,       1.023745893
          0,           0,          28,      -4.802415213,      -2.294892824,      -2.851980059,      0.9312636389
          0,           0,          29,      -4.985302409,      -2.387877814,      -2.942368726,      0.8286258008
          0,           0,          30,       -5.10272387,      -2.493031701,      -3.044437755,      0.7138543668
          0,           0,          31,      -5.187873124,      -2.612114762,      -3.160211581,      0.5860553949
          0,           0,          32,      -5.277473093,      -2.745794778,      -3.290395912,      0.4447967281
          0,           0,          33,      -5.385746416,      -2.894325286,      -3.435219074,      0.2898281869
          0,           0,          34,      -5.515563783,      -3.057854636,      -3.594803012,      0.1209475615
          0,           0,          35,       -5.66659761,      -3.236568671,      -3.769305559,    -0.06207788221
          0,           0,          36,       -5.83801997,      -3.430755736,      -3.958967793,     -0.2595534537
          0,           0,          37,      -6.029189871,      -3.640830637,      -4.164132378,     -0.4718619265
          0,           0,          38,      -6.239749885,      -3.867335374,      -4.385258301,     -0.6994346105
          0,           0,          39,      -6.469560201,      -4.110926444,      -4.622936175,     -0.9426971824
          0,           0,          40,      -6.718585424,      -4.372350961,       -4.87789795,      -1.201996084
          0,           0,          41,      -6.986753184,      -4.652405777,      -5.151009488,      -1.477506742
          0,           0,          42,      -7.273772211,      -4.951861804,      -5.443226977,      -1.769122199
          0,           0,          43,      -7.578904321,      -5.271321269,      -5.755484642,      -2.076335587
          0,           0,          44,      -7.900750537,      -5.610963166,      -6.088447234,      -2.398171279
          0,           0,          45,      -8.237257562,      -5.970141343,      -6.441998284,      -2.733289105
          0,           0,          46,      -8.586251578,       -6.34684905,      -6.814228114,       -3.08034579
          0,           0,          47,      -8.946371709,      -6.737032411,      -7.199698864,      -3.438371658
          0,           0,          48,      -9.316788071,      -7.132960408,      -7.587429778,       -3.80610082
          0,           0,          49,      -9.692600729,      -7.518450484,      -7.961159157,      -4.178642277
          0,           0,          50,      -10.05612889,      -7.866535817,      -8.306478089,      -4.542644933
          0,           0,          51,      -10.38356701,      -8.165935087,      -8.621693686,      -4.881181848
          0,           0,          52,      -10.68091795,      -8.445889497,      -8.920869168,      -5.195316006
          0,           0,          53,       -10.9815805,       -8.74255085,      -9.224035106,      -5.507057343
          0,           0,          54,      -11.30605741,       -9.07410205,      -9.547765542,      -5.832212632
