"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8976466743,       1.121115778,      0.7892125702,        5.22607338
          0,           0,           1,     -0.9332949743,       1.075302464,      0.7755354397,        5.19111237
          0,           0,           2,      -1.030815726,      0.9255939186,      0.7299913671,       5.096968259
          0,           0,           3,      -1.104880919,      0.7474589489,      0.6511556202,       5.027718243
          0,           0,           4,      -1.137393945,      0.6821947694,      0.5448812307,       4.994746732
          0,           0,           5,      -1.174444811,      0.6955875878,       0.475093658,       4.953397911
          0,           0,           6,       -1.23317824,      0.6616633273,      0.4258307046,       4.892749979
          0,           0,           7,      -1.308503753,      0.6098205418,       0.367806533,         4.8176894
          0,           0,           8,      -1.378708598,      0.5835546769,      0.3099435287,       4.747818351
          0,           0,           9,       -1.44527517,      0.5463137398,      0.2537354469,       4.681888933
          0,           0,          10,      -1.541129402,       0.451708181,      0.1665897277,       4.586627435
          0,           0,          11,      -1.670239142,      0.3085286566,     0.04944628392,       4.457603939
          0,           0,          12,      -1.803663369,       0.164268212,     -0.0760935322,       4.323987044
          0,           0,          13,      -1.921651813,     0.04164078377,     -0.1941415123,       4.205946224
          0,           0,          14,       -2.03446004,    -0.07284630565,     -0.3061093521,       4.093180402
          0,           0,          15,      -2.155714813,     -0.1946318728,      -0.424864246,       3.971892168
          0,           0,          16,      -2.286433528,     -0.3253316875,     -0.5557415765,       3.841005116
          0,           0,          17,      -2.424971623,     -0.4632594131,     -0.6968170234,       3.702154554
          0,           0,          18,      -2.572098058,     -0.6087684071,     -0.8456068077,       3.554526096
          0,           0,          19,      -2.728649385,       -0.76250962,      -1.001542601,       3.397145409
          0,           0,          20,      -2.893562312,     -0.9235359871,      -1.165134792,       3.230870136
          0,           0,          21,      -3.064906054,      -1.090275784,      -1.336835674,       3.057386374
          0,           0,          22,      -3.241710732,      -1.262320434,      -1.516708639,       2.877350021
          0,           0,          23,       -3.42437412,      -1.440639937,      -1.704721161,       2.689889948
          0,           0,          24,      -3.613620964,       -1.62637183,      -1.901041928,       2.493551073
          0,           0,          25,      -3.809382693,      -1.819618938,      -2.105946642,        2.28737993
          0,           0,          26,       -4.01052487,      -2.018926543,      -2.319396066,       2.071297104
          0,           0,          27,      -4.215352332,      -2.220789846,      -2.540392297,       1.845931404
          0,           0,          28,      -4.422445798,      -2.418230519,      -2.765798983,       1.612521592
          0,           0,          29,      -4.631482685,      -2.599085969,      -2.987853708,       1.373495154
          0,           0,          30,      -4.843635775,      -2.748950088,      -3.191038111,       1.134739458
          0,           0,          31,       -5.06119478,      -2.862814186,      -3.355996129,      0.9103477409
          0,           0,          32,      -5.286010699,      -2.951332272,      -3.477463562,      0.7239302674
          0,           0,          33,      -5.515534714,      -3.030465953,      -3.571321903,      0.5898634272
          0,           0,          34,      -5.734279728,      -3.111487924,      -3.657050245,      0.4931984698
          0,           0,          35,      -5.909336349,      -3.200099217,      -3.746249264,      0.4084303382
          0,           0,          36,      -6.023335611,      -3.298734192,      -3.843963647,      0.3198810446
          0,           0,          37,      -6.103797603,      -3.408322701,      -3.952074443,         0.2211938
          0,           0,          38,      -6.183238297,      -3.529182796,      -4.071208174,      0.1103227719
          0,           0,          39,      -6.275962452,      -3.661417805,      -4.201550849,      -0.013213608
          0,           0,          40,      -6.385642979,      -3.805085602,      -4.343167631,     -0.1494164923
          0,           0,          41,      -6.512437098,      -3.960269727,      -4.496125086,     -0.2981951092
          0,           0,          42,      -6.655682266,      -4.127108939,      -4.660537037,     -0.4594993984
          0,           0,          43,      -6.814705103,      -4.305809567,      -4.836581152,     -0.6333612547
          0,           0,          44,      -6.989023964,      -4.496650816,      -5.024505436,     -0.8199026728
          0,           0,          45,      -7.178373154,      -4.699987691,      -5.224632397,      -1.019332131
          0,           0,          46,      -7.382679609,      -4.916253542,      -5.437363754,      -1.231936384
          0,           0,          47,      -7.602030907,      -5.145963183,       -5.66318673,       -1.45807036
          0,           0,          48,      -7.836643563,      -5.389716737,      -5.902681928,      -1.698144793
          0,           0,          49,      -8.086829323,        -5.6482025,       -6.15653097,      -1.952608022
          0,           0,          50,      -8.352951998,      -5.922195331,      -6.425524955,      -2.221915913
          0,           0,          51,      -8.635365396,      -6.212544918,       -6.71056821,      -2.506484032
          0,           0,          52,      -8.934318851,      -6.520140492,      -7.012671676,      -2.806611652
          0,           0,          53,      -9.249826733,      -6.845837278,      -7.332913487,      -3.122379836
          0,           0,          54,      -9.581522532,      -7.190315521,       -7.67232949,       -3.45355147
          0,           0,          55,      -9.928570439,      -7.553823081,      -8.031670525,      -3.799510045
          0,           0,          56,      -10.28985712,      -7.935841864,      -8.410723913,      -4.159438941
          0,           0,          57,      -10.66443265,      -8.334518789,      -8.807302408,       -4.53264048
          0,           0,          58,      -11.05183061,      -8.745738877,      -9.214543186,      -4.918594826
