"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.024612635,      0.9617194624,       0.591771263,       4.548314425
          0,           0,           1,      -1.030746956,      0.9532599788,      0.5862091533,       4.542109511
          0,           0,           2,      -1.042294794,      0.9375282941,       0.575587223,       4.530435846
          0,           0,           3,      -1.062986409,      0.9099681376,      0.5562063826,       4.509532023
          0,           0,           4,      -1.097010872,      0.8667609671,      0.5239761757,       4.475225768
          0,           0,           5,      -1.145962383,      0.8088812278,      0.4777305532,       4.425944593
          0,           0,           6,      -1.206971121,      0.7416251188,      0.4251940368,       4.365003607
          0,           0,           7,      -1.269601332,      0.6660054759,      0.3735642893,       4.302876251
          0,           0,           8,       -1.32018876,      0.5703218316,      0.3062915046,       4.253390191
          0,           0,           9,      -1.355819366,      0.4825190671,      0.2197091954,       4.218053839
          0,           0,          10,      -1.391773063,      0.5024872154,      0.1701341721,       4.181568953
          0,           0,          11,      -1.430898809,      0.5441372779,      0.1640519023,       4.142729931
          0,           0,          12,      -1.491916188,      0.4947313762,      0.1229663438,       4.082423775
          0,           0,          13,      -1.549845165,      0.4253706586,     0.08704415258,       4.025737742
          0,           0,          14,      -1.602443996,      0.3700608255,     0.03786665187,       3.973906526
          0,           0,          15,      -1.650892979,      0.3261967632,    -0.01190610494,       3.925495838
          0,           0,          16,      -1.708084432,      0.2698284318,    -0.06532635825,       3.870662421
          0,           0,          17,      -1.775046152,      0.2027520282,     -0.1235346042,       3.805900704
          0,           0,          18,       -1.84053555,      0.1410841069,     -0.1819141868,       3.744573233
          0,           0,          19,       -1.91300016,     0.07609311852,      -0.228707616,       3.678037247
          0,           0,          20,      -1.985692459,    0.001031718007,     -0.2824147536,       3.609794988
          0,           0,          21,      -2.071962372,    -0.08805543896,     -0.3463904412,       3.532758761
          0,           0,          22,      -2.141028083,     -0.1496727832,     -0.4045261577,       3.472190051
          0,           0,          23,      -2.210759608,     -0.2124395765,     -0.4758759857,       3.411116735
          0,           0,          24,       -2.26980182,     -0.2469869824,     -0.5138410258,       3.374059695
          0,           0,          25,      -2.327168208,     -0.2970432587,     -0.5390187488,       3.322956527
          0,           0,          26,      -2.361212716,     -0.3138699745,     -0.5759779493,       3.304739602
          0,           0,          27,        -2.3819931,     -0.3319061435,      -0.595533005,       3.281499829
          0,           0,          28,      -2.369359416,     -0.3026607075,     -0.5842853933,       3.316739982
          0,           0,          29,      -2.390455807,     -0.3177433208,     -0.5862463766,       3.286717321
          0,           0,          30,      -2.416106461,     -0.3357033681,     -0.6068020938,       3.271859402
          0,           0,          31,      -2.455702406,     -0.3672026405,     -0.6061478492,       3.227110066
          0,           0,          32,      -2.478107015,     -0.3689791414,     -0.6210714876,       3.231897854
          0,           0,          33,      -2.487262187,      -0.384997871,      -0.604953665,       3.210937461
          0,           0,          34,      -2.438975686,     -0.3316397346,     -0.5926728563,       3.267988886
          0,           0,          35,       -2.46149383,     -0.3574799454,     -0.5829009938,       3.236851762
          0,           0,          36,      -2.460860067,       -0.34352866,     -0.5836196734,       3.247295334
          0,           0,          37,      -2.469538596,     -0.3525456251,     -0.5934281811,       3.239793393
          0,           0,          38,      -2.471646371,      -0.354552094,     -0.5891532047,       3.240840067
          0,           0,          39,       -2.46832951,     -0.3722697967,     -0.5966546553,       3.211307985
          0,           0,          40,      -2.439269083,     -0.3568256941,     -0.6104438355,        3.26135201
          0,           0,          41,      -2.453741853,     -0.3618026493,     -0.5835332127,       3.234634774
          0,           0,          42,      -2.480085094,      -0.366174684,     -0.6159220659,       3.224006653
          0,           0,          43,      -2.511338339,     -0.3781848629,     -0.6265348031,        3.21969215
          0,           0,          44,      -2.484963187,     -0.3791951671,     -0.6218424377,       3.231304154
          0,           0,          45,      -2.507547434,     -0.3877572902,      -0.598507852,       3.211232885
          0,           0,          46,      -2.535691428,     -0.4027434663,     -0.6388252797,       3.185616088
          0,           0,          47,      -2.488121515,     -0.3712224165,     -0.6330969223,       3.233833759
          0,           0,          48,      -2.501596374,     -0.3699305693,      -0.620151598,       3.223471182
          0,           0,          49,      -2.500431114,     -0.3747089187,     -0.6312600909,       3.218825518
          0,           0,          50,      -2.546433047,     -0.4225883564,     -0.6469447859,       3.170625825
