nodeID,x[-],y[-],u[m/s],v[m/s],c[m/s],M[-],d[kg/m3],T[K],P[Pa],s[J/kgK],h[J/kg],G[-],theta[deg]
26,0.0921857,0,67.3554,0,67.3495,1.00009,262.618,528.236,2.22486e+06,871.42,399812,1.51832,0
30,0.0931447,0,67.3671,0,67.3434,1.00035,262.573,528.231,2.22465e+06,871.42,399812,1.5178,0
36,0.0947408,0,67.3866,0,67.3333,1.00079,262.497,528.223,2.22431e+06,871.42,399810,1.51692,0
44,0.0969757,0,67.4138,0,67.3192,1.00141,262.39,528.212,2.22382e+06,871.42,399808,1.51569,0
54,0.0998508,0,67.4489,0,67.3011,1.0022,262.253,528.197,2.2232e+06,871.42,399806,1.51412,0
66,0.103367,0,67.4918,0,67.2791,1.00316,262.086,528.179,2.22244e+06,871.42,399803,1.51221,0
80,0.107527,0,67.5425,0,67.2531,1.0043,261.888,528.158,2.22155e+06,871.42,399800,1.50996,0
96,0.112333,0,67.6009,0,67.2232,1.00562,261.659,528.133,2.22051e+06,871.42,399796,1.50737,0
114,0.117786,0,67.6672,0,67.1894,1.00711,261.4,528.105,2.21934e+06,871.42,399791,1.50447,0
134,0.123889,0,67.7413,0,67.1519,1.00878,261.109,528.073,2.21803e+06,871.42,399786,1.50124,0
156,0.130646,0,67.8231,0,67.1106,1.01062,260.788,528.038,2.21658e+06,871.42,399781,1.49771,0
180,0.138059,0,67.9127,0,67.0657,1.01263,260.436,528,2.215e+06,871.42,399775,1.49387,0
206,0.146132,0,68.0102,0,67.0171,1.01482,260.052,527.959,2.21328e+06,871.42,399768,1.48975,0
234,0.154869,0,68.1154,0,66.965,1.01718,259.637,527.913,2.21141e+06,871.42,399761,1.48534,0
264,0.164274,0,68.2285,0,66.9094,1.01971,259.191,527.865,2.20942e+06,871.42,399753,1.48066,0
296,0.174353,0,68.3493,0,66.8504,1.02242,258.714,527.813,2.20728e+06,871.42,399745,1.47571,0
330,0.185109,0,68.4779,0,66.7881,1.0253,258.204,527.757,2.205e+06,871.42,399736,1.47052,0
366,0.196549,0,68.6143,0,66.7225,1.02835,257.663,527.698,2.20259e+06,871.42,399727,1.4651,0
