"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       2.702665629,       4.997085297,      -5.351035098,       8.320653191
          0,           0,           1,       2.757577617,       5.081217685,       2.257321948,       8.371187898
          0,           0,           2,       2.716109973,        5.07558524,       2.489400698,        8.32778893
          0,           0,           3,       2.502469748,       4.894110539,       2.588886333,         8.1108246
          0,           0,           4,       2.241475111,       4.648766178,       2.673829906,       7.845029925
          0,           0,           5,       2.029350838,        4.38286142,        2.82494766,       7.629649983
          0,           0,           6,        1.87280556,        4.24057697,        3.01110076,       7.472248248
          0,           0,           7,       1.733272898,       4.114526521,       3.168797949,       7.336268381
          0,           0,           8,       1.654838274,       4.034591304,       3.323210705,        7.25849655
          0,           0,           9,       1.592825272,       3.931096846,        3.46563724,       7.194316782
          0,           0,          10,       1.534631777,       3.912014574,       3.144766886,       7.137396117
          0,           0,          11,       1.506104151,       3.882290221,       3.105171908,       7.108392714
          0,           0,          12,        1.48639725,       3.822661496,       3.317956479,       7.087999194
          0,           0,          13,       1.515980847,       3.737354792,       3.546628461,       7.120539364
          0,           0,          14,       1.415356782,       3.705688529,       3.241085139,       7.019063385
          0,           0,          15,       1.401514966,       3.679170622,       3.179731967,       7.005618022
          0,           0,          16,       1.445974036,       3.644831952,       3.390122031,       7.052824614
          0,           0,          17,        1.54765267,       3.643870138,       3.596440437,       7.158837088
          0,           0,          18,       1.428082322,       3.573110635,       3.309375193,       7.037286838
          0,           0,          19,       1.415135461,       3.552230219,       3.220705024,       7.024586179
          0,           0,          20,       1.461019491,       3.554606213,       3.364461288,       7.072815574
          0,           0,          21,       1.570049008,       3.615634295,       3.567012363,       7.185020657
          0,           0,          22,       1.642171055,       3.670444326,       3.636850763,       7.257352753
          0,           0,          23,       1.496019887,       3.483337483,       3.296155006,       7.106849712
          0,           0,          24,       1.503785601,       3.485767371,       3.253114406,        7.11453145
          0,           0,          25,       1.574955042,       3.572346767,       3.418714279,       7.187567298
          0,           0,          26,       1.668109661,       3.657472255,       3.557432114,       7.281444454
          0,           0,          27,       1.707354289,       3.693885245,       3.582895789,       7.318885634
          0,           0,          28,       1.722736376,       3.687110237,       3.589020476,       7.332447978
