"Density","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
326.45,0.09634,3580.3,0.019244,0,2.9303e+06,537.98,1,0,-13.88,0,0
326.45,0.096342,3580.4,0.015722,0,2.9303e+06,537.98,1,0.025662,-13.855,0,0
326.45,0.096345,3580.5,0.012199,0,2.9303e+06,537.98,1,0.051325,-13.829,0,0
326.45,0.096347,3580.6,0.0086771,0,2.9303e+06,537.98,1,0.076987,-13.804,0,0
326.45,0.09635,3580.7,0.0054098,0,2.9303e+06,537.98,1,0.10265,-13.778,0,0
326.45,0.096356,3580.9,0.004358,0,2.9303e+06,537.98,1,0.12831,-13.752,0,0
326.45,0.096361,3581.1,0.0033063,0,2.9303e+06,537.98,1,0.15397,-13.727,0,0
326.45,0.096366,3581.3,0.0022545,0,2.9303e+06,537.98,1,0.17964,-13.701,0,0
326.45,0.096372,3581.5,0.00076228,0,2.9303e+06,537.98,1,0.2053,-13.675,0,0
326.45,0.096379,3581.7,-0.0024221,0,2.9303e+06,537.98,1,0.23096,-13.65,0,0
326.45,0.096387,3582,-0.0056064,0,2.9303e+06,537.98,1,0.25663,-13.624,0,0
326.45,0.096395,3582.3,-0.0087908,0,2.9303e+06,537.98,1,0.28229,-13.598,0,0
326.45,0.096404,3582.6,-0.010988,0,2.9303e+06,537.98,1,0.30795,-13.573,0,0
326.45,0.096414,3583,-0.010987,0,2.9303e+06,537.98,1,0.33361,-13.547,0,0
326.45,0.096425,3583.4,-0.010986,0,2.9303e+06,537.98,1,0.35927,-13.521,0,0
326.45,0.096435,3583.8,-0.010985,0,2.9303e+06,537.98,1,0.38494,-13.496,0,0
326.45,0.096447,3584.2,-0.01173,0,2.9303e+06,537.98,1,0.4106,-13.47,0,0
326.45,0.09646,3584.7,-0.013535,0,2.9303e+06,537.98,1,0.43626,-13.444,0,0
326.45,0.096473,3585.1,-0.015339,0,2.9303e+06,537.98,1,0.46192,-13.419,0,0
326.45,0.096486,3585.6,-0.017144,0,2.9303e+06,537.98,1,0.48759,-13.393,0,0
326.45,0.0965,3586.1,-0.018072,0,2.9303e+06,537.98,1,0.51325,-13.367,0,0
326.45,0.096516,3586.7,-0.018179,0,2.9303e+06,537.98,1,0.53891,-13.342,0,0
326.45,0.096532,3587.3,-0.018286,0,2.9302e+06,537.98,1,0.56458,-13.316,0,0
326.45,0.096547,3587.8,-0.018393,0,2.9302e+06,537.98,1,0.59024,-13.29,0,0
326.45,0.096565,3588.5,-0.015221,0,2.9302e+06,537.98,1,0.6159,-13.265,0,0
326.45,0.096584,3589.2,-0.010035,0,2.9302e+06,537.98,1,0.64156,-13.239,0,0
326.45,0.096602,3589.8,-0.004849,0,2.9302e+06,537.98,1,0.66722,-13.213,0,0
326.45,0.096621,3590.5,0.00033706,0,2.9302e+06,537.98,1,0.69289,-13.188,0,0
326.45,0.096642,3591.3,-0.0011808,0,2.9302e+06,537.98,1,0.71855,-13.162,0,0
326.45,0.096664,3592.1,-0.0052696,0,2.9302e+06,537.98,1,0.74421,-13.136,0,0
326.44,0.096686,3592.9,-0.0093583,0,2.9302e+06,537.98,1,0.76987,-13.111,0,0
326.44,0.096708,3593.7,-0.013447,0,2.9302e+06,537.98,1,0.79554,-13.085,0,0
326.44,0.096733,3594.6,-0.010588,0,2.9302e+06,537.98,1,0.8212,-13.059,0,0
326.44,0.096757,3595.5,-0.0062662,0,2.9302e+06,537.98,1,0.84686,-13.034,0,0
326.44,0.096782,3596.4,-0.0019444,0,2.9301e+06,537.98,1,0.87252,-13.008,0,0
326.44,0.096807,3597.3,0.0023775,0,2.9301e+06,537.98,1,0.89819,-12.982,0,0
