"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -2.690487111,     -0.6308059105,      -8.558975832,       3.260150581
          0,           0,           1,      -2.805872124,     -0.7628693311,      -1.378219739,       3.144365948
          0,           0,           2,      -2.861780773,     -0.9973986972,     -0.8985576952,       3.088801634
          0,           0,           3,      -2.991490385,      -1.218050023,     -0.9805925419,       2.959025507
          0,           0,           4,      -3.105293256,      -1.368434008,      -1.079862652,       2.845155205
          0,           0,           5,      -3.277034902,      -1.414864765,      -1.375040325,       2.673027887
          0,           0,           6,      -3.225950754,      -1.474705678,      -1.209757864,       2.724383077
          0,           0,           7,      -3.373012661,      -1.495577033,      -1.491704512,       2.576963883
          0,           0,           8,      -3.281231777,      -1.526972783,      -1.262703234,       2.669070554
          0,           0,           9,      -3.425847849,       -1.54449656,      -1.546448177,       2.524121546
          0,           0,          10,      -3.333311196,      -1.563762513,      -1.318457845,       2.616982337
          0,           0,          11,      -3.474662067,      -1.577888838,      -1.601363492,       2.475293765
          0,           0,          12,      -3.374585057,      -1.584563586,      -1.360647846,       2.575728709
          0,           0,          13,      -3.514875833,      -1.596493221,      -1.647925614,       2.435077202
          0,           0,          14,      -3.399402411,      -1.599397306,      -1.383813851,       2.550962477
          0,           0,          15,      -3.543400755,      -1.612836115,      -1.676417801,       2.406584006
          0,           0,          16,      -3.411537628,      -1.612917696,       -1.39228075,       2.538879307
          0,           0,          17,      -3.561500067,      -1.624828631,      -1.691399063,       2.388523223
          0,           0,          18,      -3.418605512,      -1.625208956,      -1.394871944,         2.5318263
          0,           0,          19,      -3.574492656,      -1.635614891,      -1.700022095,       2.375533135
          0,           0,          20,      -3.426361242,      -1.634117759,      -1.400613675,       2.524053469
          0,           0,          21,      -3.586941895,      -1.641561517,      -1.710213859,       2.363057616
          0,           0,          22,      -3.439119397,      -1.638421527,      -1.412054967,       2.511259396
          0,           0,          23,      -3.601762608,      -1.645922725,      -1.724077238,       2.348192164
          0,           0,          24,      -3.455635507,      -1.642991833,      -1.429426869,       2.494699479
          0,           0,          25,      -3.618823746,      -1.651004151,      -1.742655331,       2.331084175
          0,           0,          26,      -3.475831172,      -1.647615704,      -1.451892688,        2.47446325
          0,           0,          27,       -3.63900313,      -1.653974724,      -1.765390563,       2.310867165
          0,           0,          28,      -3.499646055,      -1.647571921,      -1.478954965,       2.450625842
          0,           0,          29,      -3.661231597,      -1.654890193,      -1.791973278,       2.288620039
          0,           0,          30,      -3.525915059,      -1.645140815,      -1.508877878,       2.424354032
          0,           0,          31,      -3.684196261,      -1.652113607,      -1.820551303,       2.265656593
          0,           0,          32,      -3.552342076,      -1.636601664,      -1.541093202,       2.397953477
          0,           0,          33,      -3.706836058,      -1.643871919,      -1.852159183,       2.243047332
          0,           0,          34,      -3.577936769,       -1.62108002,      -1.574496477,       2.372411996
          0,           0,          35,      -3.727639058,      -1.628499314,      -1.884623914,        2.22230384
          0,           0,          36,      -3.601413471,      -1.597212453,      -1.608841036,       2.349012758
          0,           0,          37,      -3.745072611,      -1.605413433,      -1.916885341,       2.204960141
