"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.206477092,       -1.09692599,      -1.093242249,       2.336420335
          0,           0,           1,      -3.278527842,      -1.176669966,      -1.322393041,       2.263679409
          0,           0,           2,      -3.343752546,      -1.331520774,      -1.461097108,       2.198957993
          0,           0,           3,      -3.515854824,      -1.471049958,      -1.579576076,        2.02606618
          0,           0,           4,      -3.651312121,      -1.582183735,      -1.654461149,        1.89052757
          0,           0,           5,      -3.759979671,      -1.674877838,      -1.754739727,        1.78053644
          0,           0,           6,      -3.759755683,      -1.682225132,      -1.759696152,       1.781995921
          0,           0,           7,      -3.861724149,      -1.767375212,      -1.861597341,       1.678822612
          0,           0,           8,      -3.846833358,      -1.733544988,      -1.838513368,       1.694677518
          0,           0,           9,      -3.945742976,      -1.817569321,      -1.941631623,       1.594209425
          0,           0,          10,      -3.895019901,      -1.768250484,      -1.901670639,       1.645933796
          0,           0,          11,      -3.997164738,       -1.85155173,      -2.021460712,       1.541899367
          0,           0,          12,      -3.932167144,      -1.812341366,       -1.97069655,       1.608529225
          0,           0,          13,      -4.038071479,      -1.893289562,      -2.098190282,       1.500645797
          0,           0,          14,      -4.001654006,      -1.866058812,      -2.041372067,        1.53887087
          0,           0,          15,      -4.106633897,      -1.940821552,      -2.151277814,       1.431815069
          0,           0,          16,      -4.082090839,      -1.916057428,      -2.105405594,       1.458090601
          0,           0,          17,      -4.178307873,      -1.983712997,      -2.204415688,       1.359687275
          0,           0,          18,      -4.138323763,       -1.94960586,      -2.157879699,       1.401784514
          0,           0,          19,      -4.234177456,      -2.019422823,      -2.245833437,       1.303700467
          0,           0,          20,       -4.17465834,      -1.980332446,      -2.195822508,       1.365660901
          0,           0,          21,      -4.270282497,      -2.050047835,      -2.283735627,       1.267951241
          0,           0,          22,      -4.202268265,      -2.009859587,      -2.231628729,       1.338321589
          0,           0,          23,      -4.298087675,      -2.079423382,      -2.319540419,       1.240555643
          0,           0,          24,      -4.228203546,      -2.038641232,      -2.260794568,       1.312646672
          0,           0,          25,      -4.324406634,      -2.109116613,      -2.356185077,       1.214454277
          0,           0,          26,      -4.244022458,      -2.065893841,      -2.276837566,       1.296875143
          0,           0,          27,      -4.341173654,      -2.138072076,      -2.386104685,       1.197606379
          0,           0,          28,       -4.24760302,      -2.082752321,      -2.277459739,       1.293132278
          0,           0,          29,      -4.348727378,      -2.162609172,      -2.402987866,       1.189662501
          0,           0,          30,       -4.25332982,       -2.09597665,      -2.276539461,       1.286964941
          0,           0,          31,       -4.35494041,      -2.177259607,       -2.40535515,       1.183126343
          0,           0,          32,      -4.260516079,      -2.097441817,      -2.277240713,       1.279801093
          0,           0,          33,      -4.359598225,      -2.178389953,      -2.405257039,       1.178778394
          0,           0,          34,      -4.276889936,      -2.106474731,      -2.290754056,       1.263665586
          0,           0,          35,      -4.381123809,      -2.195008298,      -2.428727092,       1.157380311
          0,           0,          36,       -4.31122082,      -2.134878355,       -2.33567798,       1.229412391
          0,           0,          37,      -4.414378259,      -2.220273344,      -2.478020934,       1.124318405
          0,           0,          38,      -4.355498252,      -2.176975546,      -2.388604851,       1.185159637
          0,           0,          39,      -4.459019195,      -2.263019366,      -2.524509722,       1.079599494
          0,           0,          40,      -4.407774642,      -2.224639795,      -2.443882938,       1.132808334
          0,           0,          41,      -4.509116531,      -2.300872935,      -2.576972946,        1.02950889
          0,           0,          42,      -4.467441108,      -2.272944792,      -2.501349177,       1.073005669
          0,           0,          43,      -4.569803114,      -2.346019777,      -2.628495315,      0.9684356917
          0,           0,          44,      -4.534541977,      -2.324362213,      -2.563727636,       1.005949872
          0,           0,          45,       -4.63640229,      -2.390639164,      -2.686612892,      0.9017272465
          0,           0,          46,      -4.600548981,      -2.371781407,      -2.632111268,      0.9399346326
          0,           0,          47,      -4.699953829,       -2.42862535,      -2.742221905,      0.8380805363
          0,           0,          48,       -4.66219074,      -2.410662542,      -2.694009754,       0.878455296
          0,           0,          49,      -4.761151256,      -2.462157369,       -2.79302013,      0.7768838997
          0,           0,          50,      -4.717671552,      -2.448766311,      -2.747480072,      0.8229063057
          0,           0,          51,      -4.814640075,      -2.494933523,      -2.833492966,      0.7233923735
          0,           0,          52,      -4.762069576,      -2.482880926,      -2.782049686,      0.7785977795
          0,           0,          53,      -4.860008163,      -2.524206226,      -2.864625824,       0.678158857
          0,           0,          54,      -4.803034001,        -2.5172263,      -2.808932562,      0.7375634492
          0,           0,          55,      -4.901270675,      -2.556341389,      -2.892424672,      0.6367943574
          0,           0,          56,      -4.832954055,      -2.552243003,      -2.823388978,      0.7074501168
          0,           0,          57,      -4.932335685,      -2.589258873,      -2.913373495,      0.6056569954
          0,           0,          58,      -4.857903155,      -2.587157066,      -2.838442618,      0.6827619546
          0,           0,          59,      -4.956937726,      -2.621378029,      -2.939386777,      0.5813391971
          0,           0,          60,      -4.876986427,      -2.619466352,      -2.855027551,      0.6634597025
          0,           0,          61,      -4.977356525,      -2.653219265,      -2.960226517,      0.5610634585
          0,           0,          62,      -4.898738102,      -2.651988528,      -2.870434134,      0.6414315398
          0,           0,          63,      -4.996841495,      -2.682285276,       -2.98336348,      0.5418392985
          0,           0,          64,      -4.918436648,      -2.675981519,      -2.890338115,      0.6218903291
          0,           0,          65,      -5.014380011,      -2.705306285,      -3.006720197,      0.5247805462
          0,           0,          66,      -4.939806951,      -2.695025603,      -2.914175769,      0.6006379441
          0,           0,          67,      -5.032890672,      -2.723947629,      -3.031636848,      0.5067373335
          0,           0,          68,      -4.961097267,      -2.710020995,      -2.940324591,      0.5795080525
          0,           0,          69,      -5.049943642,      -2.739719128,      -3.059182641,      0.4902484928
          0,           0,          70,      -4.977872627,      -2.723610125,      -2.966249733,      0.5630085359
          0,           0,          71,      -5.063598764,      -2.754862922,      -3.087504522,       0.477240748
          0,           0,          72,      -4.991907161,      -2.738280304,      -2.989770349,      0.5493242632
          0,           0,          73,      -5.076056842,      -2.770873549,      -3.116302856,      0.4653976351
          0,           0,          74,      -5.003972404,      -2.754475352,      -3.013173164,        0.53758046
          0,           0,          75,       -5.08829603,      -2.788240291,      -3.145627067,      0.4536473978
          0,           0,          76,      -5.017024222,      -2.772403261,      -3.036104043,      0.5247469339
          0,           0,          77,      -5.101005353,      -2.807196413,      -3.174040519,      0.4412408335
          0,           0,          78,      -5.032495358,      -2.792558814,       -3.05867227,      0.5093065073
          0,           0,          79,      -5.116408788,       -2.82746562,      -3.201053727,      0.4259513588
          0,           0,          80,      -5.051419231,      -2.814002376,        -3.0803254,      0.4903127708
          0,           0,          81,      -5.134874186,      -2.849101477,      -3.226434305,      0.4074352498
          0,           0,          82,      -5.073680357,      -2.837541692,       -3.10114102,      0.4678606038
          0,           0,          83,      -5.156108591,      -2.872522106,      -3.249372407,      0.3859783549
          0,           0,          84,      -5.096426858,      -2.862076278,      -3.120811638,      0.4448667166
          0,           0,          85,      -5.178039348,      -2.896845081,       -3.27159276,      0.3636992436
          0,           0,          86,       -5.11723832,      -2.887624079,      -3.140395466,      0.4237894468
          0,           0,          87,      -5.199581675,      -2.921878546,      -3.294628099,      0.3417350689
          0,           0,          88,      -5.144686366,      -2.913652167,      -3.162813512,      0.3959938304
          0,           0,          89,       -5.22741157,      -2.948115845,      -3.317065453,      0.3134329949
          0,           0,          90,      -5.172869256,      -2.941234059,      -3.183245072,      0.3674671971
          0,           0,          91,      -5.254892557,      -2.976117619,      -3.334165217,       0.285471028
          0,           0,          92,      -5.202069692,       -2.96840804,      -3.206718482,      0.3378994762
          0,           0,          93,      -5.286178737,      -3.002603142,      -3.358499128,      0.2536551424
