"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -1.402750772,       0.419563092,      -13.12215365,       4.137035805,      -8.597105476
          0,           0,           1,      -1.673244316,      0.2116550339,     -0.5353969007,       3.866083771,      -8.831305989
          0,           0,           2,      -1.812673233,     0.05951997442,      -0.251386738,       3.727419663,      -9.178512084
          0,           0,           3,      -1.890650752,    -0.09660052761,    -0.09139977528,       3.649604737,      -9.486650083
          0,           0,           4,      -1.938315142,      -0.274155857,    -0.05088160737,       3.602446996,      -9.694721432
          0,           0,           5,      -2.102340972,     -0.3769185612,     -0.3887849518,       3.436590431,       -9.75654164
          0,           0,           6,      -2.152331093,     -0.4348835891,     -0.5389796792,       3.386331148,      -9.831878346
          0,           0,           7,      -2.173893377,     -0.4733803637,     -0.4847560515,       3.365288813,      -9.911213082
          0,           0,           8,      -2.122971504,     -0.5149387228,     -0.2631859428,       3.417535943,      -9.967687088
          0,           0,           9,      -2.253124046,     -0.5479943205,     -0.6018680942,       3.285780624,      -9.992743562
          0,           0,          10,       -2.27721182,     -0.5623441466,     -0.7004396851,       3.261341728,      -10.03415827
          0,           0,          11,      -2.261162883,      -0.566869608,     -0.5356413438,       3.277787522,      -10.05954891
          0,           0,          12,      -2.137779329,     -0.5080379612,     -0.2273069937,       3.402576527,      -10.08255525
          0,           0,          13,      -2.295962946,     -0.5931122521,     -0.5617778763,       3.242600843,      -10.09118874
          0,           0,          14,       -2.32153458,     -0.5990353218,     -0.6875291362,       3.216561499,      -10.13373526
          0,           0,          15,      -2.288812139,     -0.5732527937,     -0.5238889537,       3.249779102,      -10.13178423
          0,           0,          16,      -2.155164127,     -0.4914644151,     -0.2345686433,       3.384906185,      -10.14126581
          0,           0,          17,      -2.327022494,     -0.5968584687,     -0.5921903433,       3.211030062,      -10.14511678
          0,           0,          18,        -2.3574246,     -0.6050895855,     -0.7378821911,       3.180099603,      -10.19803114
          0,           0,          19,      -2.326926051,     -0.5787167305,     -0.5625558149,       3.211266667,      -10.17777517
          0,           0,          20,      -2.196655046,     -0.5063091555,     -0.2813207653,        3.34332757,      -10.18392837
          0,           0,          21,      -2.370079633,     -0.5987666883,      -0.647263536,       3.167644811,      -10.18886168
          0,           0,          22,      -2.402126304,     -0.6029310804,     -0.7884943355,       3.135039123,       -10.2456705
          0,           0,          23,       -2.37162974,     -0.5707134195,     -0.6162093126,       3.166390506,       -10.1995599
          0,           0,          24,      -2.235855918,     -0.4864771066,     -0.3340826907,       3.304214578,      -10.19073401
          0,           0,          25,       -2.40828736,      -0.565286828,     -0.7002955347,        3.12932829,      -10.19748771
          0,           0,          26,      -2.442992954,     -0.5678730223,      -0.836639474,       3.093932401,      -10.24528544
          0,           0,          27,      -2.412166945,     -0.5319138325,     -0.6737107932,       3.125714093,      -10.18211249
          0,           0,          28,       -2.27569314,     -0.4433192391,      -0.393889689,       3.264419693,      -10.14018372
          0,           0,          29,      -2.446608422,     -0.5190620004,     -0.7567830794,       3.090852617,        -10.148198
          0,           0,          30,      -2.487234424,      -0.527465531,     -0.8892287866,       3.049297758,      -10.17208991
          0,           0,          31,      -2.460036845,     -0.4990506929,     -0.7414457654,       3.077550832,      -10.11036779
          0,           0,          32,      -2.332518939,     -0.4248264168,     -0.4716610554,       3.207493294,      -10.06470154
          0,           0,          33,      -2.501229554,     -0.5009357258,      -0.828258686,       3.035829787,      -10.06833932
          0,           0,          34,      -2.548145821,     -0.5167932329,     -0.9552694982,       2.987636604,      -10.07124082
          0,           0,          35,       -2.52713377,      -0.501089359,       -0.82241089,       3.009788462,      -10.01362143
          0,           0,          36,      -2.413601051,     -0.4482710432,     -0.5645645025,       3.125994203,      -9.980791567
          0,           0,          37,      -2.579439662,     -0.5242600379,     -0.9120315867,       2.956665353,      -9.975854535
          0,           0,          38,      -2.629983537,     -0.5442670151,      -1.033394348,       2.904401866,      -9.954005507
          0,           0,          39,      -2.615053036,     -0.5379656559,     -0.9097023295,        2.92050364,      -9.897731621
          0,           0,          40,      -2.514689558,     -0.4933891045,      -0.660438746,       3.023941973,      -9.841473654
          0,           0,          41,      -2.674535099,     -0.5805187022,     -0.9974028871,       2.859655184,      -9.875317042
          0,           0,          42,      -2.723974848,     -0.6032972408,      -1.115067341,       2.807983393,      -9.862326045
          0,           0,          43,      -2.713541259,     -0.6112634628,     -0.9935426934,       2.819642617,      -9.825737249
          0,           0,          44,      -2.621047744,     -0.5890602622,     -0.7456030828,       2.915990111,      -9.791119537
          0,           0,          45,      -2.776903836,     -0.6654658915,      -1.074508713,       2.754512594,      -9.789880685
          0,           0,          46,      -2.823164713,     -0.6894448838,      -1.191921082,       2.705823475,      -9.775198242
          0,           0,          47,      -2.813613595,      -0.697820209,      -1.070731588,       2.716854405,      -9.738197808
          0,           0,          48,      -2.719981639,     -0.6768948924,     -0.8205121081,        2.81544225,      -9.702042309
          0,           0,          49,      -2.869329499,     -0.7581157014,      -1.144857133,       2.659363726,      -9.698706967
          0,           0,          50,      -2.909406937,     -0.7821231724,      -1.262824213,       2.616874575,      -9.683999634
          0,           0,          51,      -2.896821958,     -0.7900237188,      -1.136858642,       2.631407761,      -9.649200473
          0,           0,          52,      -2.794413905,     -0.7561967807,     -0.8767418831,        2.74005254,      -9.610081766
          0,           0,          53,      -2.938260958,     -0.8512022942,      -1.200572028,       2.588904376,      -9.605856307
          0,           0,          54,      -2.972533561,     -0.8763597404,      -1.319599485,       2.552487113,      -9.591122554
          0,           0,          55,      -2.955237225,     -0.8790227876,      -1.185925605,       2.572205532,      -9.556974586
          0,           0,          56,      -2.844041215,     -0.8196664319,      -0.916757848,       2.690414661,      -9.518919295
          0,           0,          57,      -2.984445029,     -0.9364708197,      -1.242376126,        2.54274237,      -9.509979548
          0,           0,          58,      -3.015078959,     -0.9639417771,      -1.362697592,       2.510244361,       -9.49397557
          0,           0,          59,       -2.99450734,      -0.956640352,      -1.222042613,       2.533395307,      -9.459343776
          0,           0,          60,      -2.879294613,     -0.8642289429,      -0.948342507,       2.655635075,      -9.412510098
          0,           0,          61,      -3.017512187,      -1.005631338,      -1.275594086,       2.510475156,      -9.407591008
          0,           0,          62,      -3.046600556,       -1.03580415,      -1.397163561,       2.479691493,      -9.391783905
          0,           0,          63,      -3.025136289,       -1.01614484,      -1.252682491,        2.50360594,      -9.356167554
          0,           0,          64,      -2.910504312,      -0.895884724,     -0.9783361513,        2.62487226,      -9.310007398
          0,           0,          65,       -3.04677988,      -1.055180724,       -1.30590395,       2.481989779,      -9.300512861
          0,           0,          66,      -3.075430715,       -1.08715717,       -1.42841864,       2.451719541,      -9.282913519
          0,           0,          67,      -3.054675648,      -1.057249465,      -1.283007943,       2.474692406,      -9.245903005
          0,           0,          68,      -2.943133613,     -0.9193779326,      -1.009880289,       2.592435369,      -9.196161786
          0,           0,          69,      -3.077049781,      -1.088640916,      -1.336511495,       2.452117662,      -9.186344977
          0,           0,          70,      -3.105557774,      -1.121708723,      -1.459490967,       2.422004279,      -9.167883708
          0,           0,          71,      -3.086202955,      -1.086214971,      -1.314918095,       2.443359828,      -9.129521188
          0,           0,          72,      -2.978488863,     -0.9400795552,      -1.043402063,        2.55697841,      -9.071463464
          0,           0,          73,        -3.1095514,      -1.113564478,      -1.368123956,       2.419555009,      -9.065466554
          0,           0,          74,      -3.137772529,      -1.147297066,      -1.491112405,       2.389704333,       -9.04718972
          0,           0,          75,      -3.119871951,       -1.10989077,      -1.348105876,       2.409450385,      -9.007688634
          0,           0,          76,      -3.015666579,     -0.9618221272,      -1.077862457,       2.519450781,      -8.950924073
          0,           0,          77,      -3.143728386,      -1.135678922,      -1.400259288,       2.384928852,      -8.940478471
          0,           0,          78,      -3.171438065,       -1.16956392,      -1.522942321,       2.355550368,      -8.920525256
          0,           0,          79,       -3.15470951,      -1.131943161,      -1.381559983,       2.374043703,      -8.879918316
          0,           0,          80,      -3.053170676,     -0.9835601462,      -1.112127416,       2.481442793,      -8.820150651
          0,           0,          81,      -3.178277423,      -1.156739395,      -1.432107344,       2.349684003,      -8.809495514
          0,           0,          82,      -3.205347774,      -1.190647314,      -1.554335932,       2.320901321,      -8.789049425
          0,           0,          83,      -3.189485697,      -1.152539575,      -1.414488397,       2.338518037,      -8.742325996
          0,           0,          84,      -3.089828017,      -1.005409711,      -1.145606746,       2.444227057,      -8.685333055
          0,           0,          85,        -3.2122732,      -1.177131404,      -1.463327117,       2.314903478,       -8.67451225
          0,           0,          86,       -3.23874597,       -1.21088047,      -1.585142493,       2.286682864,      -8.653708742
          0,           0,          87,       -3.22356697,      -1.174091867,      -1.446716152,       2.303657328,      -8.611914595
          0,           0,          88,      -3.125496577,      -1.027254343,      -1.178452437,       2.408037587,      -8.546444326
          0,           0,          89,      -3.245750389,      -1.196781996,      -1.494160823,       2.280690444,      -8.535604298
          0,           0,          90,      -3.271833642,      -1.230197781,      -1.615730342,       2.252832673,      -8.514735208
          0,           0,          91,      -3.257331742,      -1.194153561,      -1.478736243,        2.26919661,      -8.472939267
