"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.200369102,      0.6811353175,      -7.537485085,       3.954598123
          0,           0,           1,        -1.4017287,      0.4948413192,     0.09974886994,       3.751132265
          0,           0,           2,      -1.591115301,      0.3205893708,      0.3953103776,       3.579125727
          0,           0,           3,      -1.606965659,      0.1968408632,      0.5188456784,        3.57336667
          0,           0,           4,      -1.986798511,    -0.05336917596,      0.0969414161,       3.186114981
          0,           0,           5,      -1.855168178,    -0.07178130118,      0.2673693384,       3.318075467
          0,           0,           6,      -2.121583763,     -0.3044933012,    -0.08458293339,       3.047425926
          0,           0,           7,      -2.114090314,      -0.360688403,    -0.03911886647,       3.054944797
          0,           0,           8,      -2.262860023,     -0.4625500196,     -0.3387655763,       2.901725803
          0,           0,           9,      -2.180478948,     -0.4379412611,     -0.1297085723,       2.987166893
          0,           0,          10,      -2.307216047,     -0.5118521461,     -0.4139022588,       2.855598193
          0,           0,          11,      -2.194134056,     -0.4528403368,     -0.1385656931,       2.973500533
          0,           0,          12,      -2.330609862,     -0.5284844083,     -0.4252128116,       2.831557599
          0,           0,          13,      -2.222665687,     -0.4699456189,     -0.1691184522,       2.944709767
          0,           0,          14,      -2.360296673,     -0.5374133489,     -0.4572803721,       2.801273677
          0,           0,          15,      -2.253164442,     -0.4913709997,     -0.2011393826,       2.914085006
          0,           0,          16,      -2.390655334,     -0.5500890647,     -0.4909232857,       2.770456877
          0,           0,          17,      -2.279339909,     -0.5053832075,     -0.2278392647,       2.887796846
          0,           0,          18,       -2.41677878,     -0.5559285678,     -0.5209529776,        2.74391474
          0,           0,          19,      -2.302450955,     -0.5127868445,     -0.2514840822,        2.86456271
          0,           0,          20,      -2.440161636,     -0.5582609978,     -0.5477786349,       2.720159326
          0,           0,          21,      -2.324816652,     -0.5166573061,     -0.2747708394,       2.842052489
          0,           0,          22,      -2.462614999,      -0.557530523,     -0.5737479178,       2.697357838
          0,           0,          23,      -2.347023721,     -0.5170354278,       -0.29819091,       2.819710543
          0,           0,          24,      -2.485057442,     -0.5547617776,     -0.5987335917,       2.674574546
          0,           0,          25,      -2.368988152,     -0.5136176654,     -0.3222282236,       2.797609593
          0,           0,          26,      -2.506902841,     -0.5480988629,     -0.6232201641,       2.652394354
          0,           0,          27,      -2.390662883,     -0.5038052366,     -0.3467924809,       2.775807271
          0,           0,          28,      -2.527904392,     -0.5356211751,     -0.6479462743,       2.631089768
          0,           0,          29,      -2.412693699,     -0.4887068029,     -0.3728777022,       2.753681875
          0,           0,          30,       -2.54884061,     -0.5173291642,     -0.6736349289,       2.609947765
          0,           0,          31,      -2.435599409,     -0.4677414695,     -0.4017716645,       2.730717697
          0,           0,          32,         -2.569705,     -0.4932466497,      -0.701403333,       2.588984019
          0,           0,          33,      -2.459526469,     -0.4420506616,     -0.4345619783,       2.706728831
          0,           0,          34,      -2.590906351,     -0.4655838693,     -0.7316980106,       2.567757529
