"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -1.087526046,    -0.07966372873,      -13.13124572,       4.936790483,       -9.12804637
          0,           0,           1,      -1.308072384,      0.2892564622,     -0.4118816705,       4.718025734,      -9.454379327
          0,           0,           2,      -1.651007506,      0.3559505346,     -0.1689062189,       4.376949938,      -9.557099798
          0,           0,           3,      -1.887034873,      0.1936994756,    -0.05081452797,       4.142654102,      -9.821864387
          0,           0,           4,      -1.935553258,     -0.0353062346,    -0.01857860402,       4.093953823,      -10.09677396
          0,           0,           5,      -2.110980049,     -0.2831185469,     -0.3438542154,         3.9180967,      -10.16723409
          0,           0,           6,      -2.160643718,      -0.398401451,      -0.497721764,       3.868320028,      -10.24789222
          0,           0,           7,      -2.180409001,     -0.4583012719,     -0.4767798129,       3.848635448,      -10.31629697
          0,           0,           8,      -2.132080095,      -0.513665666,      -0.270693365,       3.897299362,      -10.39257825
          0,           0,           9,      -2.260012201,     -0.5486110543,     -0.5860242148,       3.768913241,      -10.40283707
          0,           0,          10,      -2.284642472,     -0.5639708332,     -0.6602490431,       3.744174371,      -10.44408892
          0,           0,          11,      -2.270905792,     -0.5705243452,     -0.5094473552,       3.758018233,      -10.46104416
          0,           0,          12,      -2.145704199,     -0.5162045296,     -0.2186560282,       3.883633003,      -10.49092955
          0,           0,          13,        -2.3044383,     -0.5918460556,     -0.5331771345,       3.724366266,      -10.49067056
          0,           0,          14,       -2.32932969,     -0.5964553028,      -0.656423053,       3.699336364,      -10.53196995
          0,           0,          15,      -2.294662713,     -0.5725113595,     -0.5175296295,       3.734139815,      -10.51851664
          0,           0,          16,      -2.157796737,     -0.4950928457,     -0.2366179964,       3.871433594,      -10.53031683
          0,           0,          17,      -2.331004845,     -0.5954857176,      -0.592673208,       3.697613328,      -10.52943374
          0,           0,          18,      -2.361379398,     -0.6032589345,     -0.7394683169,       3.667073472,      -10.58213931
          0,           0,          19,      -2.330209429,     -0.5783229617,      -0.566840624,       3.698438104,      -10.55467782
          0,           0,          20,      -2.198827144,     -0.5095262851,     -0.2859245677,       3.830369643,      -10.56087804
          0,           0,          21,      -2.373409931,     -0.5968988482,     -0.6520858502,       3.655082059,      -10.56383574
          0,           0,          22,      -2.405823052,     -0.6002086244,     -0.7917256072,       3.622493105,      -10.61873557
          0,           0,          23,      -2.375139643,     -0.5684072596,     -0.6205835101,       3.653443805,      -10.56654979
          0,           0,          24,      -2.238366923,     -0.4862115814,     -0.3398310616,       3.790862324,      -10.55639714
          0,           0,          25,      -2.411668409,       -0.56054021,     -0.7060398192,       3.616788822,      -10.56176789
          0,           0,          26,      -2.446914635,     -0.5626973687,     -0.8412352681,       3.581322766,      -10.60419865
