"C<sub>p</sub>","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Mach","Pressure","Temperature","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3.0934e+16,71.593,1096,-0.046485,2.4163e+07,0.17521,8.9555e+05,541.89,0.99066,1,0,0,0,0
-3.0926e+16,71.593,1096,-0.039923,2.4163e+07,0.17522,8.9555e+05,541.89,0.99066,1,0.00012294,0.00012294,0,0
-3.0917e+16,71.594,1096.1,-0.033361,2.4163e+07,0.17522,8.9556e+05,541.89,0.99066,1,0.00024587,0.00024587,0,0
-3.0909e+16,71.594,1096.1,-0.026798,2.4163e+07,0.17523,8.9556e+05,541.89,0.99066,1,0.00036881,0.00036881,0,0
-3.09e+16,71.594,1096.2,-0.020236,2.4163e+07,0.17524,8.9556e+05,541.89,0.99067,1,0.00049175,0.00049175,0,0
-3.0894e+16,71.595,1096.2,-0.018686,2.4163e+07,0.17525,8.9556e+05,541.89,0.99067,1,0.00061469,0.00061469,0,0
-3.0889e+16,71.595,1096.3,-0.017469,2.4164e+07,0.17526,8.9556e+05,541.89,0.99067,1,0.00073762,0.00073762,0,0
-3.0883e+16,71.595,1096.4,-0.016253,2.4164e+07,0.17527,8.9557e+05,541.89,0.99067,1,0.00086056,0.00086056,0,0
-3.0878e+16,71.595,1096.5,-0.015037,2.4164e+07,0.17529,8.9557e+05,541.89,0.99067,1,0.0009835,0.0009835,0,0
-3.0874e+16,71.595,1096.6,-0.011237,2.4164e+07,0.1753,8.9557e+05,541.89,0.99067,1,0.0011064,0.0011064,0,0
-3.0871e+16,71.595,1096.7,-0.0070699,2.4164e+07,0.17532,8.9557e+05,541.89,0.99067,1,0.0012294,0.0012294,0,0
-3.0868e+16,71.595,1096.8,-0.0029023,2.4164e+07,0.17533,8.9557e+05,541.89,0.99067,1,0.0013523,0.0013523,0,0
-3.0865e+16,71.596,1096.9,0.0012653,2.4164e+07,0.17535,8.9557e+05,541.89,0.99068,1,0.0014752,0.0014752,0,0
-3.0864e+16,71.596,1097,0.002288,2.4164e+07,0.17537,8.9557e+05,541.89,0.99068,1,0.0015982,0.0015982,0,0
-3.0864e+16,71.596,1097.1,0.0025859,2.4164e+07,0.17539,8.9557e+05,541.89,0.99068,1,0.0017211,0.0017211,0,0
-3.0863e+16,71.596,1097.3,0.0028839,2.4164e+07,0.17541,8.9557e+05,541.89,0.99068,1,0.0018441,0.0018441,0,0
-3.0863e+16,71.596,1097.4,0.0031819,2.4164e+07,0.17543,8.9557e+05,541.89,0.99068,1,0.001967,0.001967,0,0
-3.0865e+16,71.596,1097.5,0.003836,2.4164e+07,0.17546,8.9557e+05,541.89,0.99068,1,0.0020899,0.0020899,0,0
-3.0868e+16,71.595,1097.7,0.0046086,2.4164e+07,0.17548,8.9557e+05,541.89,0.99068,1,0.0022129,0.0022129,0,0
-3.087e+16,71.595,1097.9,0.0053812,2.4164e+07,0.17551,8.9557e+05,541.89,0.99067,1,0.0023358,0.0023358,0,0
-3.0873e+16,71.595,1098,0.0061538,2.4164e+07,0.17553,8.9557e+05,541.89,0.99067,1,0.0024587,0.0024587,0,0
-3.0877e+16,71.595,1098.2,0.0055507,2.4164e+07,0.17556,8.9557e+05,541.89,0.99067,1,0.0025817,0.0025817,0,0
-3.0883e+16,71.595,1098.4,0.0043234,2.4164e+07,0.17559,8.9557e+05,541.89,0.99067,1,0.0027046,0.0027046,0,0
-3.0888e+16,71.595,1098.6,0.0030962,2.4164e+07,0.17562,8.9556e+05,541.89,0.99067,1,0.0028276,0.0028276,0,0
-3.0894e+16,71.595,1098.8,0.0018689,2.4164e+07,0.17565,8.9556e+05,541.89,0.99067,1,0.0029505,0.0029505,0,0
-3.0901e+16,71.594,1099,-0.0010459,2.4163e+07,0.17569,8.9556e+05,541.89,0.99066,1,0.0030734,0.0030734,0,0
-3.091e+16,71.594,1099.2,-0.0049713,2.4163e+07,0.17572,8.9556e+05,541.89,0.99066,1,0.0031964,0.0031964,0,0
-3.0919e+16,71.594,1099.4,-0.0088967,2.4163e+07,0.17576,8.9556e+05,541.89,0.99066,1,0.0033193,0.0033193,0,0
-3.0927e+16,71.593,1099.7,-0.012822,2.4163e+07,0.1758,8.9555e+05,541.89,0.99066,1,0.0034422,0.0034422,0,0
-3.0937e+16,71.593,1099.9,-0.013513,2.4163e+07,0.17584,8.9555e+05,541.89,0.99065,1,0.0035652,0.0035652,0,0
-3.0948e+16,71.593,1100.2,-0.011693,2.4163e+07,0.17588,8.9555e+05,541.89,0.99065,1,0.0036881,0.0036881,0,0
-3.0959e+16,71.592,1100.5,-0.0098734,2.4163e+07,0.17593,8.9555e+05,541.89,0.99065,1,0.003811,0.003811,0,0
-3.097e+16,71.592,1100.8,-0.0080538,2.4163e+07,0.17598,8.9554e+05,541.89,0.99064,1,0.003934,0.003934,0,0
-3.0983e+16,71.591,1101.1,-0.006401,2.4162e+07,0.17603,8.9554e+05,541.89,0.99064,1,0.0040569,0.0040569,0,0
-3.0996e+16,71.591,1101.4,-0.0049147,2.4162e+07,0.17608,8.9554e+05,541.89,0.99064,1,0.0041799,0.0041799,0,0
-3.1009e+16,71.59,1101.7,-0.0034283,2.4162e+07,0.17613,8.9553e+05,541.89,0.99063,1,0.0043028,0.0043028,0,0
-3.1023e+16,71.59,1102,-0.001942,2.4162e+07,0.17618,8.9553e+05,541.89,0.99063,1,0.0044257,0.0044257,0,0
-3.1037e+16,71.589,1102.4,-0.00029425,2.4162e+07,0.17624,8.9552e+05,541.89,0.99062,1,0.0045487,0.0045487,0,0
-3.1054e+16,71.589,1102.7,0.0015605,2.4162e+07,0.1763,8.9552e+05,541.88,0.99062,1,0.0046716,0.0046716,0,0
-3.107e+16,71.588,1103.1,0.0034152,2.4161e+07,0.17635,8.9551e+05,541.88,0.99061,1,0.0047945,0.0047945,0,0
-3.1086e+16,71.588,1103.5,0.0052699,2.4161e+07,0.17641,8.9551e+05,541.88,0.99061,1,0.0049175,0.0049175,0,0
-3.1104e+16,71.587,1103.8,0.0069102,2.4161e+07,0.17647,8.9551e+05,541.88,0.9906,1,0.0050404,0.0050404,0,0
-3.1124e+16,71.586,1104.2,0.0081944,2.4161e+07,0.17654,8.955e+05,541.88,0.9906,1,0.0051634,0.0051634,0,0
-3.1145e+16,71.586,1104.6,0.0094786,2.416e+07,0.1766,8.9549e+05,541.88,0.99059,1,0.0052863,0.0052863,0,0
-3.1165e+16,71.585,1105,0.010763,2.416e+07,0.17667,8.9549e+05,541.88,0.99059,1,0.0054092,0.0054092,0,0
-3.1185e+16,71.584,1105.4,0.013739,2.416e+07,0.17673,8.9548e+05,541.88,0.99058,1,0.0055322,0.0055322,0,0
-3.1207e+16,71.583,1105.9,0.020421,2.416e+07,0.17681,8.9548e+05,541.88,0.99057,1,0.0056551,0.0056551,0,0
-3.1228e+16,71.583,1106.3,0.027103,2.4159e+07,0.17688,8.9547e+05,541.88,0.99057,1,0.005778,0.005778,0,0
