"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -1.104573997,    -0.04833420872,      -13.25969376,       4.919578027,      -17.72142167,       2.616307607
          0,           0,           1,      -1.350155001,      0.1220987451,     -0.3643603854,       4.675267458,      -11.52436642,       6.316721274
          0,           0,           2,      -1.639045406,      0.2670819539,      0.0292815565,       4.389175766,      -11.53999703,       5.621071171
          0,           0,           3,      -1.748327854,      0.2776859601,      0.1987087816,       4.281604178,      -11.47980337,       5.142284735
          0,           0,           4,      -2.066776805,     0.05360505468,     -0.2010321456,       3.962210407,      -11.46695968,       4.926096314
          0,           0,           5,       -2.09924082,     -0.2307466729,     -0.2021908442,       3.929912342,      -11.39836655,        4.71569747
          0,           0,           6,      -2.258343955,     -0.5019791481,     -0.5228953145,       3.770952651,      -11.34393484,        5.15723873
          0,           0,           7,      -2.251415763,     -0.4788541267,     -0.4735059874,       3.777341878,      -10.18878946,       4.939213263
          0,           0,           8,      -2.237113781,     -0.4969727565,     -0.3924602521,       3.791988735,      -8.927183991,       5.149783308
          0,           0,           9,      -2.242694927,     -0.5811840822,      -0.357719263,        3.78639755,      -8.006688069,       5.295040803
          0,           0,          10,      -2.355640516,     -0.6811688833,     -0.6159476701,       3.673007112,        -7.7130893,       5.394921725
          0,           0,          11,      -2.329692232,     -0.6652550129,     -0.5069508929,       3.699016202,      -6.852629855,       5.251350322
          0,           0,          12,      -1.901813288,     -0.2811948275,     0.08381385035,       4.127724461,      -5.369627524,       4.865677428
          0,           0,          13,      -2.283622749,     -0.6407695703,     -0.3649430723,       3.745196932,       -4.97166799,       5.014246239
          0,           0,          14,       -2.29260726,     -0.6156632339,     -0.3670686323,       3.736378007,      -4.291220781,       4.187071372
          0,           0,          15,      -2.453874567,     -0.7390217311,     -0.6842771498,       3.574496567,      -4.123122854,       4.665480626
          0,           0,          16,      -2.468619228,     -0.7027023258,     -0.6679008446,        3.55956547,      -3.855074419,       3.926223988
          0,           0,          17,      -2.535606156,     -0.7310980068,     -0.9119312158,       3.492242446,      -3.763072778,       4.217601871
          0,           0,          18,      -2.515251938,     -0.7047560603,     -0.7471438701,       3.512811343,      -3.604831652,       4.022830138
          0,           0,          19,      -2.570303705,     -0.7278143567,     -0.9900380646,       3.457446284,      -3.540892159,       4.264058948
          0,           0,          20,      -2.521995118,      -0.702291114,     -0.7185598068,       3.506180116,      -3.415913112,       3.860144077
          0,           0,          21,      -2.584809257,     -0.7315763583,     -0.9628151738,       3.442888199,      -3.366283887,       4.523411931
          0,           0,          22,      -2.529417903,     -0.7006280306,     -0.7051814745,       3.498651878,      -3.264021969,       4.035263505
          0,           0,          23,      -2.596825695,     -0.7314152029,     -0.9481983927,       3.430684941,      -3.226041982,       4.579835345
          0,           0,          24,      -2.545579792,     -0.6956148042,     -0.7153458627,       3.482339773,      -3.143241419,       4.109293789
          0,           0,          25,      -2.615313505,      -0.725635431,     -0.9602331464,       3.412002917,      -3.116242791,       4.474131173
          0,           0,          26,      -2.574493563,     -0.6936635693,     -0.7470686584,        3.45323386,      -3.048293639,       4.001629282
          0,           0,          27,      -2.644278662,     -0.7208380619,     -0.9911027772,       3.382809223,      -3.031535048,       4.269317776
          0,           0,          28,       -2.61308744,     -0.6957058406,     -0.7918633341,       3.414413194,      -2.972689426,       3.868562087
          0,           0,          29,      -2.681238742,     -0.7194223488,      -1.029531597,       3.345585168,      -2.965513477,       4.096945325
          0,           0,          30,      -2.654912851,     -0.6992052283,     -0.8386949213,        3.37234864,      -2.911034194,       3.820094451
          0,           0,          31,      -2.720677821,       -0.72039179,      -1.067526508,       3.305867258,      -2.913085739,       4.080624551
          0,           0,          32,      -2.694053139,     -0.7031087246,     -0.8785469774,       3.332967091,      -2.860601043,       3.785328992
          0,           0,          33,      -2.757824623,     -0.7229204154,      -1.099018049,        3.26843914,      -2.871777526,       4.142344605
          0,           0,          34,      -2.728568479,     -0.7071471158,      -0.909931765,       3.298229831,      -2.821141914,       3.754526059
          0,           0,          35,      -2.791464774,     -0.7271801223,      -1.124750216,        3.23453309,      -2.841395126,       4.191750518
          0,           0,          36,      -2.760334763,     -0.7135722409,     -0.9384751604,       3.266267823,      -2.793623916,       3.747102312
          0,           0,          37,      -2.822899644,     -0.7337528958,      -1.149757899,       3.202852002,      -2.822726449,       4.197176801
          0,           0,          38,      -2.791226687,     -0.7207437185,     -0.9693384723,       3.235167975,      -2.778894469,       3.734282506
          0,           0,          39,       -2.85322564,     -0.7418791444,      -1.177807596,       3.172268486,      -2.816355232,       4.161617378
          0,           0,          40,      -2.820629673,     -0.7277288272,      -1.003578144,       3.205522679,      -2.776865121,       3.701492107
          0,           0,          41,      -2.881255411,     -0.7511575308,      -1.208374981,       3.143977442,      -2.821962986,       4.101954567
          0,           0,          42,      -2.845645818,      -0.733970444,      -1.038956431,       3.180119702,      -2.786480814,        3.65476381
          0,           0,          43,      -2.902989838,     -0.7596657954,      -1.238209525,       3.121866581,      -2.838378016,       4.039439177
          0,           0,          44,      -2.859205334,     -0.7316812298,      -1.070294815,       3.166143451,      -2.805964329,       3.612105896
          0,           0,          45,      -2.913399438,     -0.7639692247,      -1.265182707,        3.11116875,      -2.863769299,       3.991861448
          0,           0,          46,      -2.850648273,     -0.7092760406,      -1.097912819,       3.173515434,      -2.833315116,       3.577090894
          0,           0,          47,      -2.901703785,     -0.7541169723,      -1.282880994,       3.122936921,      -2.896150775,       3.956392315
          0,           0,          48,      -2.828331415,     -0.6774199087,      -1.112070961,       3.196196382,      -2.867132578,        3.54660273
          0,           0,          49,       -2.87555124,     -0.7359341237,      -1.280430142,       3.150713621,       -2.93431836,       3.921430632
          0,           0,          50,      -2.798989434,     -0.6487284826,      -1.114754838,       3.226056154,      -2.906932089,       3.518953746
          0,           0,          51,      -2.833159555,     -0.7161986059,      -1.267199075,       3.191651408,      -2.977874492,       3.878509838
          0,           0,          52,      -2.750883683,      -0.616711962,       -1.10784876,       3.270625492,      -2.953559039,       3.497278712
          0,           0,          53,      -2.779492913,     -0.6900597552,      -1.262249186,       3.241091255,      -3.027836486,       3.831608602
          0,           0,          54,      -2.686778095,     -0.5591498526,      -1.108287429,       3.328214969,      -3.009123568,       3.486065768
          0,           0,          55,       -2.71274929,     -0.6155229864,      -1.252653464,       3.299907259,       -3.08635631,       3.791938192
          0,           0,          56,       -2.62164405,     -0.4534673463,      -1.093723731,       3.387801358,      -3.079750597,        4.14942302
          0,           0,          57,      -2.568222835,     -0.3584378654,        -1.0285475,       3.442535266,      -3.112702847,       4.408301265
          0,           0,          58,      -2.219938315,      0.1476045705,     -0.5236511009,       3.790155309,      -2.985905906,       3.885318057
          0,           0,          59,      -2.174163126,    -0.04337921591,     -0.7483675959,       3.842671433,      -3.198368058,       4.511663167
          0,           0,          60,      -1.905881181,      0.3009810994,     -0.6405187933,       4.104166698,       -3.33812693,        3.85341661
          0,           0,          61,      -1.969294588,      0.2078419137,     -0.7385127597,        4.03739316,      -3.474354356,       4.219583996
          0,           0,          62,      -1.941284748,      0.3056496567,     -0.6684120942,       4.060635922,      -3.697290089,       4.852007213
          0,           0,          63,        -1.8819651,      0.4718662343,     -0.3252080794,       4.129782669,      -3.597052305,       3.939202177
          0,           0,          64,      -2.018426887,      0.2800276997,     -0.6132345976,       3.985682294,      -3.674706341,       4.894975331
          0,           0,          65,      -2.160956969,      0.1504187921,     -0.5715091904,       3.841871396,      -3.502650073,       4.580592327
          0,           0,          66,      -2.391050406,    -0.05519961159,     -0.7166778395,       3.605399793,      -3.460897666,       3.947089777
          0,           0,          67,      -2.633425337,     -0.2086711239,     -0.7799035779,       3.375409154,       -3.47676947,       4.606130277
          0,           0,          68,      -2.801425572,     -0.3971164212,     -0.9282012675,       3.211599738,      -3.556342355,       4.631289601
          0,           0,          69,      -2.756854204,     -0.3331219471,      -1.034246374,       3.245939607,      -3.538978883,       4.175729623
          0,           0,          70,      -2.842807158,     -0.3034848944,      -1.039811959,       3.156542588,      -3.479540579,       4.368246338
          0,           0,          71,      -2.604005865,     0.06673713738,     -0.6725843022,       3.392832626,      -3.177166168,       4.058379673
          0,           0,          72,      -2.469597237,      -0.445938642,     -0.8950998204,       3.535143779,      -3.140745325,       4.548605156
