"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -2.411642213,    -0.02502054286,      -8.342234085,       3.001807565
          0,           0,           1,      -2.599084035,     -0.2526164553,     -0.8702144014,       2.797396069
          0,           0,           2,      -2.776513849,     -0.4923865237,     -0.4070040965,       2.676489576
          0,           0,           3,      -2.759747127,     -0.6494202451,     -0.2622685441,       2.712901235
          0,           0,           4,      -3.046684078,     -0.9400721411,     -0.6528364862,       2.410040638
          0,           0,           5,      -2.921870877,     -0.9160026215,     -0.4374495531,       2.537001304
          0,           0,           6,      -3.155265991,      -1.139566786,     -0.7813320873,       2.289833515
          0,           0,           7,      -3.108493921,      -1.082536282,       -0.66953796,       2.339948034
          0,           0,           8,      -2.930695843,      -0.902252894,     -0.4395772107,       2.530187552
          0,           0,           9,      -3.246748964,      -1.204081168,     -0.8511321999,       2.196745691
          0,           0,          10,       -3.07424864,      -1.001340081,     -0.5945207464,       2.380930638
          0,           0,          11,       -3.34316484,      -1.208025159,     -0.9764948896,        2.09255876
          0,           0,          12,      -3.257144812,      -1.105733864,       -0.81571838,       2.186550601
          0,           0,          13,      -3.415534107,      -1.189109872,      -1.116314346,       2.009957662
          0,           0,          14,      -3.371309898,      -1.135775167,      -0.982913409,       2.060594032
          0,           0,          15,      -3.475428888,      -1.169922678,      -1.249637279,       1.939236829
          0,           0,          16,      -3.399106166,      -1.112437088,      -1.004615281,       2.029354558
          0,           0,          17,      -3.513947373,      -1.147421252,      -1.270414622,        1.89362964
          0,           0,          18,      -3.452739043,      -1.101811245,      -1.068566313,       1.969271783
          0,           0,          19,      -3.567685175,      -1.131401938,      -1.326320829,       1.829070078
          0,           0,          20,      -3.514236839,       -1.09529069,       -1.14074993,       1.899818928
          0,           0,          21,      -3.626562371,      -1.120310479,      -1.389149161,       1.757160648
          0,           0,          22,      -3.576468208,      -1.091222125,      -1.212361752,       1.829105116
          0,           0,          23,        -3.6870532,      -1.113615586,      -1.448560942,       1.682395291
          0,           0,          24,      -3.640700809,      -1.090865692,       -1.28716744,        1.75614016
          0,           0,          25,      -3.749167829,      -1.111507854,       -1.50725152,       1.605576888
          0,           0,          26,      -3.705189705,      -1.094807114,      -1.361976514,       1.684058283
          0,           0,          27,      -3.810866404,      -1.114337903,      -1.563633302,       1.531562826
          0,           0,          28,      -3.765912408,      -1.103285798,      -1.428953709,       1.619731269
          0,           0,          29,       -3.86818209,       -1.12228298,      -1.611598245,       1.469832107
          0,           0,          30,      -3.816854904,      -1.116360479,      -1.477965016,        1.57253835
          0,           0,          31,      -3.915129325,      -1.135324621,      -1.645257699,       1.431806103
          0,           0,          32,      -3.852539226,      -1.133823222,      -1.501908585,       1.548668478
          0,           0,          33,      -3.946230676,      -1.153174754,      -1.662913813,       1.422130929
          0,           0,          34,      -3.869945198,      -1.155214351,      -1.503000827,       1.546696223
          0,           0,          35,      -3.958556919,      -1.175332133,      -1.667541598,       1.434457717
          0,           0,          36,      -3.870111097,      -1.178704463,      -1.491279085,       1.560988174
          0,           0,          37,      -3.953672267,      -1.200660997,      -1.663221619,       1.459163483
          0,           0,          38,      -3.859566821,      -1.204430997,      -1.474479016,       1.579788602
          0,           0,          39,      -3.938549708,       -1.22867349,      -1.656047162,       1.484928485
          0,           0,          40,      -3.843155957,      -1.229696959,      -1.458752823,       1.599213717
          0,           0,          41,      -3.917737353,      -1.258192331,      -1.649687556,       1.507955577
          0,           0,          42,      -3.825934498,      -1.255064325,      -1.447183184,       1.614100855
          0,           0,          43,      -3.896417987,      -1.288960999,      -1.644250347,       1.524268819
          0,           0,          44,      -3.808317855,      -1.277239321,      -1.439185026,       1.625481121
          0,           0,          45,      -3.874739657,      -1.318080663,      -1.639742567,       1.536143502
          0,           0,          46,      -3.790289315,      -1.293085702,      -1.435415013,       1.635083201
          0,           0,          47,      -3.852529119,      -1.342267176,       -1.63628583,       1.545298046
          0,           0,          48,      -3.771553543,      -1.296004712,      -1.433046878,        1.64451993
          0,           0,          49,      -3.831245272,       -1.35662093,      -1.633751925,       1.554644365
          0,           0,          50,      -3.753076641,      -1.289609702,      -1.431967105,       1.654895049
          0,           0,          51,      -3.809280738,      -1.360373336,       -1.63044163,       1.565445815
          0,           0,          52,      -3.732127871,      -1.277091216,      -1.429038049,       1.665736516
          0,           0,          53,      -3.782867977,       -1.35310564,      -1.627036962,       1.580471081
          0,           0,          54,      -3.692501098,      -1.237633362,      -1.417868242,       1.694314577
          0,           0,          55,      -3.129724494,     -0.6195276194,     -0.8305830234,       2.218841094
          0,           0,          56,      -2.987682843,     -0.3200685031,       -1.04991678,       2.364891559
          0,           0,          57,      -3.025277404,     -0.1706036765,     -0.9704354248,       2.265305627
          0,           0,          58,      -3.174199531,     -0.5633080019,        -1.2656471,       2.251404949
          0,           0,          59,      -3.330829029,     -0.6654415658,      -1.523275193,       2.086464342
          0,           0,          60,      -3.828311656,      -1.149711603,      -1.692995205,       1.591702403
          0,           0,          61,      -4.113039985,      -1.333527515,      -2.020555029,       1.355296417
          0,           0,          62,      -4.257998675,      -1.426200489,      -2.125280051,       1.287058583
          0,           0,          63,      -4.407344065,      -1.526262624,      -2.350594494,       1.164836518
          0,           0,          64,      -4.495492359,      -1.610850112,      -2.300876731,       1.096963024
          0,           0,          65,      -4.604070652,        -1.6869503,      -2.509748829,        1.00441159
          0,           0,          66,      -4.650570707,      -1.758052252,      -2.420291739,      0.9496197868
          0,           0,          67,      -4.729526027,      -1.817256748,      -2.601169723,      0.8819918434
          0,           0,          68,      -4.704053419,      -1.873240488,       -2.37807006,      0.8757577326
          0,           0,          69,      -4.786285961,      -1.925043062,      -2.595050763,      0.8100704427
          0,           0,          70,      -4.734054791,      -1.980146666,       -2.35323472,       0.824753966
          0,           0,          71,      -4.817493314,      -2.021195297,      -2.581249048,      0.7602020115
          0,           0,          72,      -4.757188702,      -2.074526852,      -2.352202561,      0.7865135377
          0,           0,          73,      -4.840674348,      -2.101844295,        -2.5843132,      0.7237575397
          0,           0,          74,      -4.782045679,      -2.152206004,      -2.363034238,      0.7531041538
          0,           0,          75,      -4.865933375,       -2.16713775,      -2.602359542,      0.6904703732
          0,           0,          76,      -4.811660282,      -2.210494052,      -2.386462111,      0.7168236228
          0,           0,          77,      -4.894138178,      -2.215433581,      -2.633879819,      0.6557216867
          0,           0,          78,       -4.84894096,      -2.257260905,      -2.426015297,      0.6748066264
          0,           0,          79,      -4.865313392,      -2.279572503,      -2.429632026,      0.6534460932
          0,           0,          80,      -4.909479222,      -2.302930239,      -2.482160912,      0.6091069937
          0,           0,          81,      -4.962868097,      -2.329038132,      -2.548039195,      0.5558035868
          0,           0,          82,      -5.048778375,      -2.331322433,      -2.805209168,       0.492282195
          0,           0,          83,       -5.06570791,      -2.379510268,      -2.688621273,      0.4554646924
          0,           0,          84,      -5.132140487,      -2.378573897,      -2.923054553,      0.4086308716
          0,           0,          85,      -5.150975985,      -2.427708902,      -2.781083151,      0.3668687967
          0,           0,          86,       -5.21586376,      -2.426795348,      -3.003409403,      0.3214477654
          0,           0,          87,      -5.248119557,       -2.47533998,      -2.888575688,      0.2682060675
          0,           0,          88,      -5.309361741,      -2.475247732,       -3.08121177,      0.2254558394
          0,           0,          89,      -5.352181224,      -2.521810214,      -2.989483633,      0.1657511501
          0,           0,          90,      -5.408766317,      -2.522911954,       -3.14191669,       0.126054918
