"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -2.470871879,    -0.08425021014,      -14.12310764,         2.9425779,      -18.24693033,       1.025703173
          0,           0,           1,      -2.655829139,     -0.3048717343,     -0.9154206305,       2.740148342,      -13.02468937,       8.337113803
          0,           0,           2,      -2.889919547,     -0.5285028425,     -0.5714069143,       2.553279156,      -10.68858596,       9.585383802
          0,           0,           3,      -2.886156505,     -0.7278651953,     -0.3859120772,       2.587561175,      -10.95670666,       9.009339873
          0,           0,           4,      -3.214224441,     -0.9645003492,     -0.8036209155,       2.240393445,      -11.18095826,       8.357255687
          0,           0,           5,      -3.245844416,      -1.065732969,     -0.8216882166,       2.208627144,      -8.675818225,       7.696627179
          0,           0,           6,      -3.404988392,      -1.169951764,      -1.140987071,       2.034011227,      -8.172431111,       7.198780476
          0,           0,           7,      -3.412917047,      -1.197033387,      -1.108941431,       2.027724508,      -7.210997731,       6.655741571
          0,           0,           8,      -3.482446917,      -1.219814939,      -1.360401638,       1.948406267,      -6.914799842,       6.773202583
          0,           0,           9,      -3.451667158,      -1.222912026,      -1.144822913,       1.986029664,      -6.119486689,       6.601156348
          0,           0,          10,      -3.016649468,     -0.9082821689,     -0.5155862325,       2.443870258,      -4.826642685,         6.9369241
          0,           0,          11,      -3.401163684,       -1.24440749,     -0.9867247548,        2.03500018,      -4.460758811,       7.032910387
          0,           0,          12,      -3.404328526,      -1.160985922,     -0.9815306418,       2.040317096,      -3.854795148,       6.420597892
          0,           0,          13,      -3.576145533,      -1.243969469,      -1.293439184,       1.844959151,      -3.703780835,       6.721644702
          0,           0,          14,      -3.588852397,      -1.213724161,      -1.291689247,        1.83969281,      -3.470413112,       6.130937218
          0,           0,          15,       -3.66253001,      -1.236782599,      -1.528479664,       1.749608613,      -3.389901263,       6.417189769
          0,           0,          16,      -3.638554427,      -1.228629908,      -1.365989275,        1.78277724,       -3.25572799,       6.017916087
          0,           0,          17,      -3.700099844,      -1.245867124,      -1.601361329,       1.705642923,      -3.200401403,       6.340561611
