"Mach","Pressure","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.15074,98425,0.98425,1,0,0,0,0
0.15074,98425,0.98425,1,0.00012294,0.00012294,0,0
0.15074,98426,0.98426,1,0.00024587,0.00024587,0,0
0.15075,98426,0.98426,1,0.00036881,0.00036881,0,0
0.15075,98426,0.98426,1,0.00049175,0.00049175,0,0
0.15076,98427,0.98427,1,0.00061469,0.00061469,0,0
0.15076,98427,0.98427,1,0.00073762,0.00073762,0,0
0.15078,98427,0.98427,1,0.00086056,0.00086056,0,0
0.15079,98426,0.98426,1,0.0009835,0.0009835,0,0
0.15081,98426,0.98426,1,0.0011064,0.0011064,0,0
0.15082,98425,0.98425,1,0.0012294,0.0012294,0,0
0.15083,98425,0.98425,1,0.0013523,0.0013523,0,0
0.15085,98425,0.98425,1,0.0014752,0.0014752,0,0
0.15087,98424,0.98424,1,0.0015982,0.0015982,0,0
0.15089,98424,0.98424,1,0.0017211,0.0017211,0,0
0.15091,98424,0.98424,1,0.0018441,0.0018441,0,0
0.15092,98423,0.98423,1,0.001967,0.001967,0,0
0.15094,98423,0.98423,1,0.0020899,0.0020899,0,0
0.15097,98423,0.98423,1,0.0022129,0.0022129,0,0
0.15099,98422,0.98422,1,0.0023358,0.0023358,0,0
0.15102,98422,0.98422,1,0.0024587,0.0024587,0,0
0.15104,98421,0.98421,1,0.0025817,0.0025817,0,0
0.15107,98421,0.98421,1,0.0027046,0.0027046,0,0
0.1511,98420,0.9842,1,0.0028276,0.0028276,0,0
0.15113,98419,0.98419,1,0.0029505,0.0029505,0,0
0.15117,98419,0.98419,1,0.0030734,0.0030734,0,0
0.1512,98418,0.98418,1,0.0031964,0.0031964,0,0
0.15123,98417,0.98417,1,0.0033193,0.0033193,0,0
0.15127,98417,0.98417,1,0.0034422,0.0034422,0,0
0.1513,98416,0.98416,1,0.0035652,0.0035652,0,0
0.15134,98415,0.98415,1,0.0036881,0.0036881,0,0
0.15138,98414,0.98414,1,0.003811,0.003811,0,0
0.15142,98413,0.98413,1,0.003934,0.003934,0,0
0.15146,98412,0.98412,1,0.0040569,0.0040569,0,0
0.1515,98412,0.98412,1,0.0041799,0.0041799,0,0
0.15155,98411,0.98411,1,0.0043028,0.0043028,0,0
0.1516,98410,0.9841,1,0.0044257,0.0044257,0,0
0.15164,98409,0.98409,1,0.0045487,0.0045487,0,0
0.15169,98408,0.98408,1,0.0046716,0.0046716,0,0
0.15174,98407,0.98407,1,0.0047945,0.0047945,0,0
0.15179,98406,0.98406,1,0.0049175,0.0049175,0,0
0.15184,98405,0.98405,1,0.0050404,0.0050404,0,0
0.1519,98404,0.98404,1,0.0051634,0.0051634,0,0
0.15195,98402,0.98402,1,0.0052863,0.0052863,0,0
0.152,98401,0.98401,1,0.0054092,0.0054092,0,0
0.15206,98400,0.984,1,0.0055322,0.0055322,0,0
0.15212,98399,0.98399,1,0.0056551,0.0056551,0,0
0.15218,98398,0.98398,1,0.005778,0.005778,0,0
0.15224,98396,0.98396,1,0.005901,0.005901,0,0
0.1523,98395,0.98395,1,0.0060239,0.0060239,0,0
0.15236,98394,0.98394,1,0.0061469,0.0061469,0,0
0.15243,98392,0.98392,1,0.0062698,0.0062698,0,0
0.15249,98391,0.98391,1,0.0063927,0.0063927,0,0
0.15256,98389,0.98389,1,0.0065157,0.0065157,0,0
0.15263,98388,0.98388,1,0.0066386,0.0066386,0,0
0.1527,98387,0.98387,1,0.0067615,0.0067615,0,0
0.15277,98385,0.98385,1,0.0068845,0.0068845,0,0
0.15284,98384,0.98384,1,0.0070074,0.0070074,0,0
0.15292,98382,0.98382,1,0.0071303,0.0071303,0,0
0.15299,98381,0.98381,1,0.0072533,0.0072533,0,0
0.15307,98379,0.98379,1,0.0073762,0.0073762,0,0
0.15315,98378,0.98378,1,0.0074992,0.0074992,0,0
0.15322,98376,0.98376,1,0.0076221,0.0076221,0,0
0.15331,98374,0.98374,1,0.007745,0.007745,0,0
0.15339,98372,0.98372,1,0.007868,0.007868,0,0
0.15348,98371,0.98371,1,0.0079909,0.0079909,0,0
0.15356,98369,0.98369,1,0.0081138,0.0081138,0,0
0.15365,98367,0.98367,1,0.0082368,0.0082368,0,0
0.15373,98365,0.98365,1,0.0083597,0.0083597,0,0
0.15382,98363,0.98363,1,0.0084827,0.0084827,0,0
0.15392,98361,0.98361,1,0.0086056,0.0086056,0,0
0.15401,98359,0.98359,1,0.0087285,0.0087285,0,0
0.1541,98357,0.98357,1,0.0088515,0.0088515,0,0
0.15419,98356,0.98356,1,0.0089744,0.0089744,0,0
0.15429,98354,0.98354,1,0.0090973,0.0090973,0,0
0.15439,98351,0.98351,1,0.0092203,0.0092203,0,0
0.15449,98349,0.98349,1,0.0093432,0.0093432,0,0
0.15459,98347,0.98347,1,0.0094661,0.0094661,0,0
0.15469,98345,0.98345,1,0.0095891,0.0095891,0,0
0.15479,98343,0.98343,1,0.009712,0.009712,0,0
0.15489,98341,0.98341,1,0.009835,0.009835,0,0
0.155,98338,0.98338,1,0.0099579,0.0099579,0,0
0.15511,98336,0.98336,1,0.010081,0.010081,0,0
0.15522,98334,0.98334,1,0.010204,0.010204,0,0
0.15533,98331,0.98331,1,0.010327,0.010327,0,0
0.15544,98329,0.98329,1,0.01045,0.01045,0,0
0.15555,98327,0.98327,1,0.010573,0.010573,0,0
0.15567,98324,0.98324,1,0.010696,0.010696,0,0
0.15578,98322,0.98322,1,0.010818,0.010818,0,0
0.1559,98319,0.98319,1,0.010941,0.010941,0,0
0.15602,98317,0.98317,1,0.011064,0.011064,0,0
0.15613,98314,0.98314,1,0.011187,0.011187,0,0
0.15626,98312,0.98312,1,0.01131,0.01131,0,0
0.15638,98309,0.98309,1,0.011433,0.011433,0,0
0.15651,98306,0.98306,1,0.011556,0.011556,0,0
0.15663,98304,0.98304,1,0.011679,0.011679,0,0
0.15676,98301,0.98301,1,0.011802,0.011802,0,0
0.15689,98298,0.98298,1,0.011925,0.011925,0,0
0.15702,98295,0.98295,1,0.012048,0.012048,0,0
0.15715,98293,0.98293,1,0.012171,0.012171,0,0
0.15728,98290,0.9829,1,0.012294,0.012294,0,0
0.15742,98287,0.98287,1,0.012417,0.012417,0,0
0.15755,98284,0.98284,1,0.01254,0.01254,0,0
0.15769,98281,0.98281,1,0.012663,0.012663,0,0
0.15783,98278,0.98278,1,0.012785,0.012785,0,0
0.15797,98275,0.98275,1,0.012908,0.012908,0,0
0.15811,98272,0.98272,1,0.013031,0.013031,0,0
0.15826,98269,0.98269,1,0.013154,0.013154,0,0
0.1584,98266,0.98266,1,0.013277,0.013277,0,0
0.15855,98262,0.98262,1,0.0134,0.0134,0,0
0.1587,98259,0.98259,1,0.013523,0.013523,0,0
0.15885,98256,0.98256,1,0.013646,0.013646,0,0
0.159,98253,0.98253,1,0.013769,0.013769,0,0
0.15915,98249,0.98249,1,0.013892,0.013892,0,0
0.15931,98246,0.98246,1,0.014015,0.014015,0,0
0.15947,98242,0.98243,1,0.014138,0.014138,0,0
0.15963,98239,0.98239,1,0.014261,0.014261,0,0
0.15979,98236,0.98236,1,0.014384,0.014384,0,0
0.15995,98232,0.98232,1,0.014507,0.014507,0,0
0.16011,98229,0.98229,1,0.01463,0.01463,0,0
0.16028,98225,0.98225,1,0.014752,0.014752,0,0
0.16044,98221,0.98221,1,0.014875,0.014875,0,0
0.16061,98217,0.98217,1,0.014998,0.014998,0,0
0.16078,98214,0.98214,1,0.015121,0.015121,0,0
0.16095,98210,0.9821,1,0.015244,0.015244,0,0
0.16112,98206,0.98206,1,0.015367,0.015367,0,0
0.16129,98202,0.98202,1,0.01549,0.01549,0,0
0.16147,98198,0.98198,1,0.015613,0.015613,0,0
0.16165,98195,0.98195,1,0.015736,0.015736,0,0
0.16183,98191,0.98191,1,0.015859,0.015859,0,0
0.162,98187,0.98187,1,0.015982,0.015982,0,0
0.16219,98183,0.98183,1,0.016105,0.016105,0,0
0.16237,98179,0.98179,1,0.016228,0.016228,0,0
0.16256,98174,0.98174,1,0.016351,0.016351,0,0
0.16274,98170,0.9817,1,0.016474,0.016474,0,0
0.16293,98166,0.98166,1,0.016596,0.016596,0,0
0.16312,98162,0.98162,1,0.016719,0.016719,0,0
0.16331,98158,0.98158,1,0.016842,0.016842,0,0
0.16351,98153,0.98153,1,0.016965,0.016965,0,0
0.16371,98149,0.98149,1,0.017088,0.017088,0,0
0.16391,98145,0.98145,1,0.017211,0.017211,0,0
0.1641,98140,0.9814,1,0.017334,0.017334,0,0
0.1643,98136,0.98136,1,0.017457,0.017457,0,0
0.16451,98131,0.98131,1,0.01758,0.01758,0,0
0.16472,98126,0.98126,1,0.017703,0.017703,0,0
0.16492,98122,0.98122,1,0.017826,0.017826,0,0
0.16513,98117,0.98117,1,0.017949,0.017949,0,0
0.16534,98112,0.98112,1,0.018072,0.018072,0,0
0.16555,98107,0.98107,1,0.018195,0.018195,0,0
0.16577,98103,0.98103,1,0.018318,0.018318,0,0
0.16598,98098,0.98098,1,0.018441,0.018441,0,0
0.1662,98093,0.98093,1,0.018563,0.018563,0,0
0.16642,98088,0.98088,1,0.018686,0.018686,0,0
0.16663,98083,0.98083,1,0.018809,0.018809,0,0
0.16686,98078,0.98078,1,0.018932,0.018932,0,0
0.16709,98073,0.98073,1,0.019055,0.019055,0,0
0.16731,98067,0.98067,1,0.019178,0.019178,0,0
0.16754,98062,0.98062,1,0.019301,0.019301,0,0
0.16777,98057,0.98057,1,0.019424,0.019424,0,0
0.168,98052,0.98052,1,0.019547,0.019547,0,0
0.16824,98046,0.98046,1,0.01967,0.01967,0,0
0.16848,98041,0.98041,1,0.019793,0.019793,0,0
0.16872,98035,0.98035,1,0.019916,0.019916,0,0
0.16896,98030,0.9803,1,0.020039,0.020039,0,0
0.1692,98024,0.98024,1,0.020162,0.020162,0,0
0.16944,98019,0.98019,1,0.020285,0.020285,0,0
0.16969,98013,0.98013,1,0.020408,0.020408,0,0
0.16994,98007,0.98007,1,0.02053,0.02053,0,0
0.17019,98001,0.98001,1,0.020653,0.020653,0,0
0.17044,97996,0.97995,1,0.020776,0.020776,0,0
0.17069,97990,0.9799,1,0.020899,0.020899,0,0
0.17095,97984,0.97984,1,0.021022,0.021022,0,0
0.17121,97978,0.97978,1,0.021145,0.021145,0,0
0.17147,97971,0.97971,1,0.021268,0.021268,0,0
0.17173,97965,0.97965,1,0.021391,0.021391,0,0
0.17199,97959,0.97959,1,0.021514,0.021514,0,0
0.17226,97953,0.97953,1,0.021637,0.021637,0,0
0.17253,97947,0.97947,1,0.02176,0.02176,0,0
0.1728,97940,0.9794,1,0.021883,0.021883,0,0
0.17307,97934,0.97934,1,0.022006,0.022006,0,0
0.17334,97927,0.97927,1,0.022129,0.022129,0,0
0.17361,97921,0.97921,1,0.022252,0.022252,0,0
0.17389,97914,0.97914,1,0.022375,0.022375,0,0
0.17418,97908,0.97908,1,0.022497,0.022497,0,0
0.17446,97901,0.97901,1,0.02262,0.02262,0,0
0.17475,97894,0.97894,1,0.022743,0.022743,0,0
0.17503,97888,0.97888,1,0.022866,0.022866,0,0
0.17531,97881,0.97881,1,0.022989,0.022989,0,0
0.17561,97874,0.97874,1,0.023112,0.023112,0,0
0.17591,97867,0.97867,1,0.023235,0.023235,0,0
0.1762,97859,0.97859,1,0.023358,0.023358,0,0
0.1765,97852,0.97852,1,0.023481,0.023481,0,0
0.1768,97845,0.97845,1,0.023604,0.023604,0,0
0.1771,97838,0.97838,1,0.023727,0.023727,0,0
0.17741,97831,0.97831,1,0.02385,0.02385,0,0
0.17772,97823,0.97823,1,0.023973,0.023973,0,0
0.17803,97816,0.97816,1,0.024096,0.024096,0,0
0.17834,97808,0.97808,1,0.024219,0.024219,0,0
0.17865,97801,0.97801,1,0.024342,0.024342,0,0
0.17897,97793,0.97793,1,0.024464,0.024464,0,0
0.17929,97785,0.97785,1,0.024587,0.024587,0,0
0.17961,97777,0.97777,1,0.02471,0.02471,0,0
0.17993,97769,0.97769,1,0.024833,0.024833,0,0
0.18026,97761,0.97761,1,0.024956,0.024956,0,0
0.18058,97753,0.97753,1,0.025079,0.025079,0,0
0.18091,97745,0.97745,1,0.025202,0.025202,0,0
0.18125,97737,0.97737,1,0.025325,0.025325,0,0
0.18158,97728,0.97728,1,0.025448,0.025448,0,0
0.18192,97720,0.9772,1,0.025571,0.025571,0,0
0.18226,97712,0.97712,1,0.025694,0.025694,0,0
0.18259,97704,0.97704,1,0.025817,0.025817,0,0
0.18294,97695,0.97695,1,0.02594,0.02594,0,0
0.18329,97686,0.97686,1,0.026063,0.026063,0,0
0.18364,97678,0.97678,1,0.026186,0.026186,0,0
0.18399,97669,0.97669,1,0.026309,0.026309,0,0
0.18434,97660,0.9766,1,0.026431,0.026431,0,0
0.1847,97651,0.97651,1,0.026554,0.026554,0,0
0.18506,97642,0.97642,1,0.026677,0.026677,0,0
0.18543,97633,0.97633,1,0.0268,0.0268,0,0
0.1858,97624,0.97624,1,0.026923,0.026923,0,0
0.18616,97615,0.97615,1,0.027046,0.027046,0,0
0.18653,97605,0.97605,1,0.027169,0.027169,0,0
0.18691,97596,0.97596,1,0.027292,0.027292,0,0
0.18729,97586,0.97586,1,0.027415,0.027415,0,0
0.18767,97576,0.97576,1,0.027538,0.027538,0,0
0.18805,97567,0.97567,1,0.027661,0.027661,0,0
0.18843,97557,0.97557,1,0.027784,0.027784,0,0
0.18881,97547,0.97547,1,0.027907,0.027907,0,0
0.1892,97537,0.97537,1,0.02803,0.02803,0,0
0.18959,97527,0.97527,1,0.028153,0.028153,0,0
0.18999,97517,0.97517,1,0.028276,0.028276,0,0
0.19038,97507,0.97507,1,0.028398,0.028398,0,0
0.19077,97496,0.97496,1,0.028521,0.028521,0,0
0.19118,97486,0.97486,1,0.028644,0.028644,0,0
0.19159,97475,0.97475,1,0.028767,0.028767,0,0
0.19199,97465,0.97465,1,0.02889,0.02889,0,0
0.1924,97454,0.97454,1,0.029013,0.029013,0,0
0.19281,97444,0.97444,1,0.029136,0.029136,0,0
0.19322,97433,0.97433,1,0.029259,0.029259,0,0
0.19365,97422,0.97422,1,0.029382,0.029382,0,0
0.19408,97411,0.97411,1,0.029505,0.029505,0,0
