,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
0,145.48,45216000.0,1.7,10508.0,1.4385e-12,0,859370.0,2.7186e-14,621.72,1,0.0,0.0,0.25,0,-0.0033358620902452785,0.4397737474748393,550.2038088984498
1,145.48,45216000.0,1.7,10508.0,1.775e-12,0,859370.0,2.7811e-14,621.72,1,0.001,0.001,0.25,0,-0.0033358620902452785,0.4397737474748393,550.2038088984498
2,145.48,45216000.0,1.7,10508.0,2.1115e-12,0,859370.0,2.8437e-14,621.72,1,0.002,0.002,0.25,0,-0.0033358620902452785,0.4397737474748393,550.2038088984498
3,145.48,45216000.0,1.7,10508.0,2.448e-12,0,859370.0,2.9062e-14,621.72,1,0.003,0.003,0.25,0,-0.0033358620902452785,0.4397737474748393,550.2038088984498
4,145.48,45216000.0,1.7,10508.0,2.7845e-12,0,859370.0,2.9688e-14,621.72,1,0.004,0.004,0.25,0,-0.0033358620902452785,0.4397737474748393,550.2038088984498
5,145.48,45216000.0,1.7,10508.0,3.121e-12,0,859370.0,3.0314e-14,621.72,1,0.005,0.005,0.25,0,-0.0033358620902452785,0.4397737474748393,550.2038088984498
6,145.48,45216000.0,1.7,10508.0,3.4575e-12,0,859370.0,3.0939e-14,621.72,1,0.006,0.006,0.25,0,-0.0033358620902452785,0.4397737474748393,550.2038088984498
7,145.48,45216000.0,1.7,10508.0,3.7939e-12,0,859370.0,3.1565e-14,621.72,1,0.007,0.007,0.25,0,-0.0033358620902452785,0.4397737474748393,550.2038088984498
8,145.48,45216000.0,1.7,10508.0,4.1304e-12,0,859370.0,3.2191e-14,621.72,1,0.008,0.008,0.25,0,-0.0033358620902452785,0.4397737474748393,550.2038088984498
9,145.48,45216000.0,1.7,10508.0,4.4669e-12,0,859370.0,3.2816e-14,621.72,1,0.009,0.009,0.25,0,-0.0033358620902452785,0.4397737474748393,550.2038088984498
10,145.48,45216000.0,1.7,10508.0,4.8034e-12,0,859370.0,3.3442e-14,621.72,1,0.01,0.01,0.25,0,-0.0033358620902452785,0.4397737474748393,550.2038088984498
11,145.48,45216000.0,1.7,10508.0,5.1399e-12,0,859370.0,3.4068e-14,621.72,1,0.011,0.011,0.25,0,-0.0033358620902452785,0.4397737474748393,550.2038088984498
