,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G
0,202.89,75001000.0,1.7,17306,-8.4572e-12,0,1499900.0,-2.0347e-14,569.84,1,0.0,0.0,0.25,0,0.7577617356292932
1,202.89,75001000.0,1.7,17306,-1.0331e-11,0,1499900.0,-1.9675e-14,569.84,1,0.001,0.001,0.25,0,0.7577617356292932
2,202.89,75001000.0,1.7,17306,-1.2204e-11,0,1499900.0,-1.9002e-14,569.84,1,0.002,0.002,0.25,0,0.7577617356292932
3,202.89,75001000.0,1.7,17306,-1.4077e-11,0,1499900.0,-1.833e-14,569.84,1,0.003,0.003,0.25,0,0.7577617356292932
4,202.89,75001000.0,1.7,17306,-1.5951e-11,0,1499900.0,-1.7658e-14,569.84,1,0.004,0.004,0.25,0,0.7577617356292932
5,202.89,75001000.0,1.7,17306,-1.7824e-11,0,1499900.0,-1.6986e-14,569.84,1,0.005,0.005,0.25,0,0.7577617356292932
6,202.89,75001000.0,1.7,17306,-1.9698e-11,0,1499900.0,-1.6313e-14,569.84,1,0.006,0.006,0.25,0,0.7577617356292932
7,202.89,75001000.0,1.7,17306,-2.1571e-11,0,1499900.0,-1.5641e-14,569.84,1,0.007,0.007,0.25,0,0.7577617356292932
8,202.89,75001000.0,1.7,17306,-2.3444e-11,0,1499900.0,-1.4969e-14,569.84,1,0.008,0.008,0.25,0,0.7577617356292932
9,202.89,75001000.0,1.7,17306,-2.5318e-11,0,1499900.0,-1.4297e-14,569.84,1,0.009,0.009,0.25,0,0.7577617356292932
10,202.89,75001000.0,1.7,17306,-2.7191e-11,0,1499900.0,-1.3624e-14,569.84,1,0.01,0.01,0.25,0,0.7577617356292932
11,202.89,75001000.0,1.7,17306,-2.9064e-11,0,1499900.0,-1.2952e-14,569.84,1,0.011,0.011,0.25,0,0.7577617356292932
12,202.89,75001000.0,1.7,17306,-3.0938e-11,0,1499900.0,-1.228e-14,569.84,1,0.012,0.012,0.25,0,0.7577617356292932
13,202.89,75001000.0,1.7,17306,-3.2811e-11,0,1499900.0,-1.1607e-14,569.84,1,0.013,0.013,0.25,0,0.7577617356292932
14,202.89,75001000.0,1.7,17306,-3.4685e-11,0,1499900.0,-1.0935e-14,569.84,1,0.014,0.014,0.25,0,0.7577617356292932
15,202.89,75001000.0,1.7,17306,-3.6558e-11,0,1499900.0,-1.0263e-14,569.84,1,0.015,0.015,0.25,0,0.7577617356292932
16,202.89,75001000.0,1.7,17306,-3.8431e-11,0,1499900.0,-9.5907e-15,569.84,1,0.016,0.016,0.25,0,0.7577617356292932
17,202.89,75001000.0,1.7,17306,-3.9918e-11,0,1499900.0,-9.1068e-15,569.84,1,0.017,0.017,0.25,0,0.7577617356292932
18,202.89,75001000.0,1.7,17306,-4.087e-11,0,1499900.0,-8.8939e-15,569.84,1,0.018,0.018,0.25,0,0.7577617356292932
19,202.89,75001000.0,1.7,17306,-4.1837e-11,0,1499900.0,-8.9798e-15,569.84,1,0.019,0.019,0.25,0,0.7577617356292932
20,202.89,75001000.0,1.7,17306,-4.1531e-11,0,1499900.0,-9.0486e-15,569.84,1,0.02,0.02,0.25,0,0.7577617356292932
21,202.89,75001000.0,1.7,17306,-3.996e-11,0,1499900.0,-9.1003e-15,569.84,1,0.021,0.021,0.25,0,0.7577617356292932
