"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
202.89,3.1627e+08,1.7,16309,5.6706e-11,0,1.4999e+06,4.9016e-14,569.36,1,0,0,0.4,0
202.89,3.1627e+08,1.7,16309,5.5589e-11,0,1.4999e+06,4.8236e-14,569.36,1,0.001,0.001,0.4,0
202.89,3.1627e+08,1.7,16309,5.4472e-11,0,1.4999e+06,4.7457e-14,569.36,1,0.002,0.002,0.4,0
202.89,3.1627e+08,1.7,16309,5.3355e-11,0,1.4999e+06,4.6677e-14,569.36,1,0.003,0.003,0.4,0
202.89,3.1627e+08,1.7,16309,5.2238e-11,0,1.4999e+06,4.5897e-14,569.36,1,0.004,0.004,0.4,0
202.89,3.1627e+08,1.7,16309,5.1121e-11,0,1.4999e+06,4.5118e-14,569.36,1,0.005,0.005,0.4,0
202.89,3.1627e+08,1.7,16309,5.0004e-11,0,1.4999e+06,4.4338e-14,569.36,1,0.006,0.006,0.4,0
202.89,3.1627e+08,1.7,16309,4.8887e-11,0,1.4999e+06,4.3558e-14,569.36,1,0.007,0.007,0.4,0
202.89,3.1627e+08,1.7,16309,4.777e-11,0,1.4999e+06,4.2779e-14,569.36,1,0.008,0.008,0.4,0
202.89,3.1627e+08,1.7,16309,4.6653e-11,0,1.4999e+06,4.1999e-14,569.36,1,0.009,0.009,0.4,0
202.89,3.1627e+08,1.7,16309,4.5536e-11,0,1.4999e+06,4.1219e-14,569.36,1,0.01,0.01,0.4,0
202.89,3.1627e+08,1.7,16309,4.4419e-11,0,1.4999e+06,4.044e-14,569.36,1,0.011,0.011,0.4,0
202.89,3.1627e+08,1.7,16309,4.3302e-11,0,1.4999e+06,3.966e-14,569.36,1,0.012,0.012,0.4,0
202.89,3.1627e+08,1.7,16309,4.2185e-11,0,1.4999e+06,3.888e-14,569.36,1,0.013,0.013,0.4,0
202.89,3.1627e+08,1.7,16309,4.1068e-11,0,1.4999e+06,3.8101e-14,569.36,1,0.014,0.014,0.4,0
202.89,3.1627e+08,1.7,16309,3.9951e-11,0,1.4999e+06,3.7321e-14,569.36,1,0.015,0.015,0.4,0
202.89,3.1627e+08,1.7,16309,3.8834e-11,0,1.4999e+06,3.6542e-14,569.36,1,0.016,0.016,0.4,0
202.89,3.1627e+08,1.7,16309,3.7717e-11,0,1.4999e+06,3.5762e-14,569.36,1,0.017,0.017,0.4,0
202.89,3.1627e+08,1.7,16309,4.2416e-11,0,1.4999e+06,3.4672e-14,569.36,1,0.018,0.018,0.4,0
202.89,3.1627e+08,1.7,16309,4.9781e-11,0,1.4999e+06,3.3441e-14,569.36,1,0.019,0.019,0.4,0
202.89,3.1627e+08,1.7,16309,5.7146e-11,0,1.4999e+06,3.2209e-14,569.36,1,0.02,0.02,0.4,0
202.89,3.1627e+08,1.7,16309,6.4511e-11,0,1.4999e+06,3.0978e-14,569.36,1,0.021,0.021,0.4,0
202.89,3.1627e+08,1.7,16309,7.1876e-11,0,1.4999e+06,2.9746e-14,569.36,1,0.022,0.022,0.4,0
202.89,3.1627e+08,1.7,16309,7.9242e-11,0,1.4999e+06,2.8515e-14,569.36,1,0.023,0.023,0.4,0
202.89,3.1627e+08,1.7,16309,8.6607e-11,0,1.4999e+06,2.7283e-14,569.36,1,0.024,0.024,0.4,0
202.89,3.1627e+08,1.7,16309,9.3972e-11,0,1.4999e+06,2.6052e-14,569.36,1,0.025,0.025,0.4,0
202.89,3.1627e+08,1.7,16309,1.0134e-10,0,1.4999e+06,2.482e-14,569.36,1,0.026,0.026,0.4,0
202.89,3.1627e+08,1.7,16309,1.087e-10,0,1.4999e+06,2.3588e-14,569.36,1,0.027,0.027,0.4,0
202.89,3.1627e+08,1.7,16309,1.1607e-10,0,1.4999e+06,2.2357e-14,569.36,1,0.028,0.028,0.4,0
202.89,3.1627e+08,1.7,16309,1.2343e-10,0,1.4999e+06,2.1125e-14,569.36,1,0.029,0.029,0.4,0
202.89,3.1627e+08,1.7,16309,1.308e-10,0,1.4999e+06,1.9894e-14,569.36,1,0.03,0.03,0.4,0
202.89,3.1627e+08,1.7,16309,1.3816e-10,0,1.4999e+06,1.8662e-14,569.36,1,0.031,0.031,0.4,0
202.89,3.1627e+08,1.7,16309,1.4553e-10,0,1.4999e+06,1.7431e-14,569.36,1,0.032,0.032,0.4,0
202.89,3.1627e+08,1.7,16309,1.5289e-10,0,1.4999e+06,1.6199e-14,569.36,1,0.033,0.033,0.4,0
202.89,3.1627e+08,1.7,16309,1.6026e-10,0,1.4999e+06,1.4968e-14,569.36,1,0.034,0.034,0.4,0
202.89,3.1627e+08,1.7,16309,1.6649e-10,0,1.4999e+06,1.5303e-14,569.36,1,0.035,0.035,0.4,0
202.89,3.1627e+08,1.7,16309,1.6978e-10,0,1.4999e+06,1.8096e-14,569.36,1,0.036,0.036,0.4,0
