"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       1.861089919,       3.616418949,       1.973337922,       7.842334366
          0,           0,           1,       1.759265902,       3.592578958,       2.404048192,       7.742771472
          0,           0,           2,       1.667152277,       3.584466208,       2.706235359,       7.653818594
          0,           0,           3,       1.603555326,       3.580795159,       3.067633108,       7.597656828
          0,           0,           4,       1.519449758,       3.553945035,       2.550952672,       7.515264281
          0,           0,           5,       1.380370784,       3.436939034,       2.907782331,       7.382956312
          0,           0,           6,       1.246003012,       3.272038006,       2.566802894,       7.240208137
          0,           0,           7,       1.175502193,       3.119206043,       2.744887196,       7.168050944
          0,           0,           8,       1.132828579,       3.070578673,       2.471123216,       7.122182066
          0,           0,           9,       1.097016889,       2.968710294,       2.711451435,       7.092047563
          0,           0,          10,       1.078631046,       2.950954273,       2.470960405,       7.070427707
          0,           0,          11,       1.091551026,       2.910162285,       2.771423901,        7.09037072
          0,           0,          12,        1.06856538,       2.894034053,       2.530111436,       7.062640189
          0,           0,          13,       1.092585996,       2.874119017,       2.799386316,       7.093606416
          0,           0,          14,       1.066873222,       2.853400185,       2.568624325,       7.062607891
          0,           0,          15,        1.09456458,       2.849847766,       2.815075475,        7.09682955
          0,           0,          16,       1.066606331,       2.822373531,       2.596558724,       7.063449043
          0,           0,          17,       1.095347802,       2.838210904,       2.827251104,       7.098438668
          0,           0,          18,       1.064360661,       2.802583624,       2.616643186,        7.06197589
          0,           0,          19,       1.093657485,       2.840604126,       2.837591837,       7.097432599
          0,           0,          20,       1.058551102,       2.797308081,         2.6285212,       7.056779302
          0,           0,          21,       1.088292109,       2.854181021,       2.845310369,       7.092642595
          0,           0,          22,       1.097446147,       2.885747779,       2.894610075,       7.103711147
          0,           0,          23,       1.090408053,       2.904318194,        2.89843662,       7.096933725
          0,           0,          24,       1.075903711,       2.921436005,       2.890001518,        7.08226208
          0,           0,          25,       1.058468918,       2.941510958,       2.877704007,       7.064629264
          0,           0,          26,        1.03916638,        2.96540009,       2.859868724,       7.045113967
          0,           0,          27,      0.9675700219,       2.898437675,       2.628760483,       6.967002777
          0,           0,          28,      0.9825540286,       2.970327771,       2.760249421,       6.986097237
          0,           0,          29,      0.9247347947,       2.919706044,       2.537704153,       6.922788839
          0,           0,          30,      0.9486103091,       2.994430837,       2.720697986,        6.95200557
          0,           0,          31,       0.886237079,       2.944536678,        2.49382343,        6.88398301
          0,           0,          32,      0.9054357966,       3.007171296,       2.653583411,       6.908323107
          0,           0,          33,       0.841171751,       2.958780343,       2.429999422,       6.838369926
          0,           0,          34,       0.854172258,       3.008031905,       2.566010695,       6.856399018
          0,           0,          35,      0.7908367064,       2.961838639,       2.354196544,       6.787511336
          0,           0,          36,      0.8004103182,       2.999645292,       2.482160453,       6.802267551
          0,           0,          37,      0.7390169203,        2.95515388,       2.291458848,       6.735594222
          0,           0,          38,      0.7500536643,       2.983207638,        2.43713619,       6.752145929
          0,           0,          39,      0.6899562942,       2.939903406,       2.267359223,       6.687237858
          0,           0,          40,      0.7105540239,       2.959947051,       2.454662427,       6.713844704
          0,           0,          41,      0.6488487957,       2.917251228,       2.288387191,       6.647981998
          0,           0,          42,      0.6883878015,       2.930756169,       2.512100019,       6.693885681
          0,           0,          43,      0.6208934278,       2.888186164,       2.333128285,       6.623003815
          0,           0,          44,      0.6857913874,       2.896668951,       2.574562602,       6.693886581
          0,           0,          45,      0.6083694552,       2.853528598,       2.379532406,       6.613915661
          0,           0,          46,      0.6972028385,       2.858318526,       2.625430366,       6.707492335
          0,           0,          47,      0.6083243174,       2.814042408,        2.41661967,       6.616904485
          0,           0,          48,      0.7140967059,       2.816512045,       2.660616446,       6.725893103
          0,           0,          49,       0.614698863,       2.770715226,       2.441447562,        6.62548842
          0,           0,          50,      0.7296164165,        2.77241414,       2.680071381,       6.742331317
          0,           0,          51,      0.6217329113,       2.724782335,       2.453628478,       6.633946765
          0,           0,          52,      0.7395304502,        2.72729769,       2.684915205,       6.752772824
          0,           0,          53,       0.624921625,       2.677372671,       2.453537332,       6.638015944
          0,           0,          54,      0.7413566923,       2.681899624,         2.6763509,       6.754919716
          0,           0,          55,      0.6220947681,       2.630588432,       2.441847946,       6.635738346
          0,           0,          56,      0.7343516669,       2.641217688,       2.654830898,       6.748121276
          0,           0,          57,      0.6125166129,       2.590468437,       2.418649104,       6.626517152
          0,           0,          58,      0.7172904372,        2.60660788,       2.621428376,        6.73126923
          0,           0,          59,      0.5940301079,       2.556693757,        2.38469237,         6.6083773
          0,           0,          60,      0.6904806671,       2.577473827,       2.578462218,       6.704686355
          0,           0,          61,      0.5669563035,        2.52858465,       2.341602847,       6.581684754
          0,           0,          62,      0.6553099784,       2.554919054,       2.528199963,       6.669719212
          0,           0,          63,      0.5325109642,       2.507113562,       2.291355487,       6.547629961
          0,           0,          64,      0.6123848354,       2.540102194,       2.470739885,       6.626977727
          0,           0,          65,      0.4916079218,       2.492983737,       2.234297503,       6.507112306
          0,           0,          66,      0.5615889701,       2.530660649,        2.40533752,       6.576395913
          0,           0,          67,      0.4442750401,       2.483190259,        2.17077991,       6.460188937
          0,           0,          68,      0.5037539977,       2.522940113,       2.333349909,       6.518821201
          0,           0,          69,      0.3910133549,       2.474414249,       2.102574009,        6.40734005
          0,           0,          70,      0.4408133308,       2.514352026,       2.256564576,       6.456099763
          0,           0,          71,      0.3333915829,       2.464422965,        2.03214967,       6.350027256
          0,           0,          72,      0.3759039136,       2.502654292,       2.178028622,       6.391169302
          0,           0,          73,      0.2745125197,       2.451420935,       1.962955392,       6.291095812
          0,           0,          74,      0.3137879046,       2.486721704,       2.103431612,       6.328490145
          0,           0,          75,      0.2192073992,       2.434259142,       1.900638844,       6.234936517
          0,           0,          76,      0.2612922456,       2.465606592,       2.042023783,       6.274442084
          0,           0,          77,      0.1736981629,       2.412255667,       1.852072012,       6.187343302
          0,           0,          78,      0.2266116953,       2.439107778,       2.003724234,       6.237056365
          0,           0,          79,      0.1446824841,       2.385234881,       1.823664207,       6.154962836
          0,           0,          80,      0.2130205587,       2.407017576,       1.991965961,       6.220181553
          0,           0,          81,      0.1341474808,       2.353167505,       1.815830191,       6.140502265
          0,           0,          82,      0.2173886324,       2.369794516,       2.001620165,       6.221554526
          0,           0,          83,      0.1389514439,       2.316565968,       1.822361739,       6.141790644
          0,           0,          84,      0.2323347894,       2.328129014,       2.021911639,        6.23429797
          0,           0,          85,      0.1525972588,       2.276271988,       1.835384972,       6.152857716
          0,           0,          86,      0.2508200571,       2.283811469,       2.044335713,       6.251365271
          0,           0,          87,      0.1692354232,       2.234018978,       1.848912025,       6.167868647
          0,           0,          88,      0.2678519561,       2.239833989,       2.063651466,       6.267553078
          0,           0,          89,      0.1844463129,        2.19211151,       1.859636864,       6.182147754
          0,           0,          90,      0.2805714973,       2.199610864,          2.077197,       6.279768107
          0,           0,          91,      0.1958614398,       2.153501455,       1.865637598,       6.193065652
          0,           0,          92,       0.287888232,       2.168058095,       2.083855848,        6.28677079
          0,           0,          93,      0.2024678811,       2.121887409,       1.865942207,       6.199429316
          0,           0,          94,      0.2894535858,       2.149116238,       2.083355276,       6.288131063
          0,           0,          95,       0.203908841,       2.100072058,       1.860267924,       6.200769636
          0,           0,          96,      0.2853397425,        2.14322491,       2.075760168,         6.2838733
          0,           0,          97,      0.2002471199,       2.089097419,       1.848550616,       6.197089995
          0,           0,          98,      0.2758710529,       2.148464091,        2.06119167,       6.274296543
          0,           0,          99,      0.1918430787,       2.087647811,       1.831008935,       6.188699614
          0,           0,         100,      0.2614070125,       2.160314191,       2.039648072,       6.259751688
          0,           0,         101,      0.2703894539,       2.193201419,       2.063114289,       6.269061379
          0,           0,         102,      0.4772998763,       2.538803205,       2.382954257,       6.479930095
          0,           0,         103,      0.1949090819,       2.238674392,       1.954652057,       6.194193041
          0,           0,         104,      0.2806108032,       2.381013688,       2.102463827,       6.281609696
          0,           0,         105,      0.1232421936,       2.197497057,       1.816782809,       6.122122315
          0,           0,         106,       0.121824721,       2.213755548,       1.852421505,       6.120540084
          0,           0,         107,     0.04676238522,       2.120193441,       1.642397069,       6.044471961
          0,           0,         108,      0.0657936033,       2.171886798,       1.774630797,       6.063869609
          0,           0,         109,     0.00708606356,       2.093714115,       1.582573924,       6.004162602
          0,           0,         110,     0.03804834093,       2.168648902,       1.764132976,       6.036347526
          0,           0,         111,    -0.02197919914,       2.083006726,       1.572077549,       5.975010121
          0,           0,         112,    0.003741323387,       2.150381599,       1.738794936,       6.002362606
          0,           0,         113,     -0.0542137207,       2.063168409,       1.550305188,       5.942834533
          0,           0,         114,    -0.03183114245,       2.123623782,       1.716778365,       5.967196622
          0,           0,         115,    -0.08741829879,        2.03662483,        1.53121492,       5.909776819
          0,           0,         116,    -0.06543183156,       2.094126904,       1.703964534,       5.934156822
          0,           0,         117,     -0.1196536549,       2.007497636,       1.516631469,       5.877788211
          0,           0,         118,    -0.09639615623,       2.063774175,       1.697025964,       5.903845744
          0,           0,         119,     -0.1504469917,       1.977670956,       1.503427107,        5.84732662
          0,           0,         120,     -0.1251227777,       2.032957424,       1.690800094,       5.875753197
          0,           0,         121,     -0.1800535919,        1.94761589,       1.488540775,        5.81808295
          0,           0,         122,      -0.152848342,       2.002176079,       1.681018832,       5.848572694
          0,           0,         123,      -0.209223901,       1.917547876,       1.470738667,       5.789236773
          0,           0,         124,     -0.1813673462,        1.97025013,       1.665432105,       5.820457176
          0,           0,         125,     -0.2389577231,       1.886566917,       1.449329453,       5.759735055
          0,           0,         126,     -0.2115527887,       1.937928637,       1.643608336,       5.790518525
          0,           0,         127,     -0.2697838952,       1.854763843,       1.424436728,        5.72899968
          0,           0,         128,     -0.2438008763,       1.905101156,       1.616254723,       5.758345741
          0,           0,         129,     -0.3018926297,       1.822337768,       1.396259384,       5.696850618
          0,           0,         130,     -0.2779893724,        1.87196788,       1.584197265,       5.724068473
          0,           0,         131,     -0.3353474262,       1.789184425,       1.365645905,       5.663250455
          0,           0,         132,     -0.3138799826,       1.839105634,       1.548333525,       5.687952079
          0,           0,         133,     -0.3700109243,       1.755731922,       1.333409798,       5.628291657
          0,           0,         134,     -0.3512845028,       1.807181513,        1.50907478,       5.650197895
          0,           0,         135,     -0.4058590135,       1.722653062,       1.299010738,       5.592033618
          0,           0,         136,     -0.3903164607,       1.775079704,       1.466191334,       5.610687002
          0,           0,         137,      -0.443165118,       1.689104415,       1.263025894,        5.55423173
          0,           0,         138,     -0.4310986066,       1.742386322,       1.419106503,       5.569356339
          0,           0,         139,      -0.481909047,        1.65530792,       1.224016561,       5.514927966
          0,           0,         140,     -0.4733632758,        1.70862993,       1.368390963,       5.526407953
          0,           0,         141,     -0.5219153398,       1.621036455,       1.182091528,       5.474254237
          0,           0,         142,      -0.516016334,       1.673761181,        1.31523332,         5.4828789
          0,           0,         143,     -0.5626433645,       1.585896019,       1.138965257,       5.432738801
          0,           0,         144,     -0.5578127178,       1.637329953,       1.261823793,       5.440031399
          0,           0,         145,     -0.6031629141,       1.549723264,       1.095979502,       5.391321933
          0,           0,         146,     -0.5974882349,        1.59822836,       1.210297344,       5.399211482
          0,           0,         147,     -0.6425520109,       1.511740142,       1.051778512,       5.351052715
          0,           0,         148,     -0.6333919343,       1.555990891,       1.165146077,       5.362138954
          0,           0,         149,     -0.6799160149,       1.471394253,        1.00910022,       5.312902487
          0,           0,         150,     -0.6640559899,       1.511287622,       1.129935393,       5.330461551
          0,           0,         151,     -0.7140466862,       1.428503488,      0.9704258694,       5.278129494
          0,           0,         152,      -0.688850242,       1.464065059,       1.105609518,       5.304938759
          0,           0,         153,     -0.7442575279,       1.383378321,      0.9365047759,       5.247546793
          0,           0,         154,     -0.7087318747,       1.414081867,       1.090027951,       5.284630124
          0,           0,         155,     -0.7707542109,       1.336121171,      0.9069228996,       5.220934615
          0,           0,         156,     -0.7249397584,       1.363116802,       1.079845914,       5.268258834
          0,           0,         157,     -0.7939617595,       1.288078609,      0.8812528194,        5.19781697
          0,           0,         158,     -0.7394390694,        1.31175042,         1.0706086,       5.253787712
          0,           0,         159,     -0.8149730035,       1.239982947,      0.8572664231,       5.177062663
          0,           0,         160,     -0.7535942196,       1.261466558,       1.059671461,       5.239758972
          0,           0,         161,      -0.834576802,       1.194664715,      0.8336520039,       5.157819102
          0,           0,         162,     -0.7688769771,       1.216919415,       1.044960915,       5.224652281
          0,           0,         163,     -0.8540187362,       1.154129479,      0.8092783334,       5.138730576
          0,           0,         164,     -0.7863147318,       1.180886617,       1.024282007,       5.207355677
          0,           0,         165,      -0.874147537,        1.12174117,      0.7824281544,        5.11888444
          0,           0,         166,     -0.8068221504,       1.153808029,      0.9971217362,       5.186918607
          0,           0,         167,     -0.8956777523,       1.096957357,      0.7530975486,       5.097538667
          0,           0,         168,     -0.8310510882,       1.135826699,      0.9631773331,        5.16266054
          0,           0,         169,     -0.9195202683,       1.080369851,      0.7217349076,       5.073734827
          0,           0,         170,     -0.8585657476,       1.126708372,      0.9238051618,       5.135043006
          0,           0,         171,     -0.9451460992,       1.070121683,      0.6888433691,       5.048044038
          0,           0,         172,     -0.8890556808,       1.121289522,      0.8782015763,       5.104364365
          0,           0,         173,     -0.9729037459,       1.063257008,      0.6543653339,        5.02010728
          0,           0,         174,     -0.9227666597,       1.116951218,      0.8281999235,       5.070406967
          0,           0,         175,      -1.002870577,       1.056611892,      0.6204621698,       4.989869221
          0,           0,         176,     -0.9588251645,       1.110661736,      0.7778938265,       5.034088544
          0,           0,         177,      -1.034443435,       1.048877699,      0.5898492746,       4.957987577
          0,           0,         178,     -0.9963704229,        1.10215341,      0.7313257296,       4.996367628
          0,           0,         179,      -1.067213024,       1.038426927,      0.5643917932,       4.924914308
          0,           0,         180,      -1.034305578,       1.089382152,      0.6938750086,       4.958366786
          0,           0,         181,      -1.100502975,       1.024071502,      0.5452921772,       4.891403748
          0,           0,         182,      -1.071508648,       1.072846301,      0.6698745336,       4.921336087
          0,           0,         183,      -1.133585565,       1.006644174,      0.5325146788,       4.858256692
          0,           0,         184,      -1.106576128,       1.052099456,      0.6610117115,        4.88673173
          0,           0,         185,      -1.165567327,      0.9850107581,      0.5257571008,        4.82643048
          0,           0,         186,      -1.138285525,       1.027250612,      0.6643804909,       4.855861883
          0,           0,         187,      -1.195808414,      0.9597389658,      0.5235391845,       4.796657532
          0,           0,         188,      -1.166092491,      0.9978924574,      0.6741990668,       4.829163503
          0,           0,         189,      -1.223852977,      0.9300239563,      0.5231606106,       4.769311171
          0,           0,         190,      -1.190026425,      0.9656493562,      0.6851880605,       4.806590572
          0,           0,         191,      -1.249639017,      0.8980246081,      0.5227004858,       4.744483191
          0,           0,         192,      -1.211002892,      0.9319443424,      0.6934358124,       4.787068114
