"Density","Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.8418,0.15945,98757,1,0,0,0,0
5.8418,0.15953,98757,1,0.00061468,0.00061468,0,0
5.8418,0.15961,98757,1,0.0012294,0.0012294,0,0
5.8417,0.15969,98756,1,0.0018441,0.0018441,0,0
5.8416,0.15983,98754,1,0.0024587,0.0024587,0,0
5.8414,0.15998,98750,1,0.0030734,0.0030734,0,0
5.8412,0.16015,98748,1,0.0036881,0.0036881,0,0
5.841,0.16036,98745,1,0.0043028,0.0043028,0,0
5.8408,0.1606,98740,1,0.0049175,0.0049175,0,0
5.8405,0.1609,98736,1,0.0055322,0.0055322,0,0
5.8402,0.16121,98731,1,0.0061468,0.0061468,0,0
5.8399,0.16156,98725,1,0.0067615,0.0067615,0,0
5.8395,0.16195,98719,1,0.0073762,0.0073762,0,0
5.8391,0.16237,98713,1,0.0079909,0.0079909,0,0
5.8387,0.16283,98705,1,0.0086056,0.0086056,0,0
5.8382,0.16332,98698,1,0.0092203,0.0092203,0,0
5.8377,0.16385,98690,1,0.0098349,0.0098349,0,0
5.8372,0.16442,98680,1,0.01045,0.01045,0,0
5.8366,0.16502,98671,1,0.011064,0.011064,0,0
5.836,0.16567,98661,1,0.011679,0.011679,0,0
5.8353,0.16636,98650,1,0.012294,0.012294,0,0
5.8346,0.16708,98638,1,0.012908,0.012908,0,0
5.8339,0.16787,98626,1,0.013523,0.013523,0,0
5.8331,0.16868,98613,1,0.014138,0.014138,0,0
5.8322,0.16953,98599,1,0.014752,0.014752,0,0
5.8314,0.17043,98584,1,0.015367,0.015367,0,0
5.8304,0.17136,98569,1,0.015982,0.015982,0,0
5.8294,0.17234,98552,1,0.016596,0.016596,0,0
5.8284,0.17336,98535,1,0.017211,0.017211,0,0
5.8274,0.17442,98518,1,0.017826,0.017826,0,0
5.8262,0.17554,98499,1,0.018441,0.018441,0,0
5.825,0.17669,98479,1,0.019055,0.019055,0,0
5.8238,0.1779,98458,1,0.01967,0.01967,0,0
5.8225,0.17916,98436,1,0.020285,0.020285,0,0
5.8211,0.18045,98414,1,0.020899,0.020899,0,0
5.8197,0.18182,98390,1,0.021514,0.021514,0,0
5.8181,0.18323,98364,1,0.022129,0.022129,0,0
5.8166,0.18468,98338,1,0.022743,0.022743,0,0
5.8149,0.18622,98311,1,0.023358,0.023358,0,0
5.8132,0.1878,98282,1,0.023973,0.023973,0,0
5.8114,0.18945,98252,1,0.024587,0.024587,0,0
5.8095,0.19117,98221,1,0.025202,0.025202,0,0
5.8075,0.19293,98188,1,0.025817,0.025817,0,0
5.8055,0.19478,98154,1,0.026431,0.026431,0,0
5.8033,0.19669,98118,1,0.027046,0.027046,0,0
5.8011,0.19868,98080,1,0.027661,0.027661,0,0
5.7986,0.20076,98040,1,0.028275,0.028275,0,0
5.7962,0.2029,97999,1,0.02889,0.02889,0,0
5.7936,0.20517,97957,1,0.029505,0.029505,0,0
5.7913,0.20745,97918,1,0.03012,0.03012,0,0
5.7881,0.2097,97866,1,0.030734,0.030734,0,0
5.7851,0.21215,97816,1,0.031349,0.031349,0,0
5.782,0.21465,97764,1,0.031964,0.031964,0,0
5.7788,0.21721,97711,1,0.032578,0.032578,0,0
5.7754,0.21989,97654,1,0.033193,0.033193,0,0
5.7719,0.22263,97597,1,0.033808,0.033808,0,0
5.7682,0.22548,97535,1,0.034422,0.034422,0,0
5.7644,0.22843,97471,1,0.035037,0.035037,0,0
5.7604,0.23145,97404,1,0.035652,0.035652,0,0
5.7561,0.23461,97333,1,0.036266,0.036266,0,0
5.7517,0.23783,97261,1,0.036881,0.036881,0,0
5.7471,0.24118,97184,1,0.037496,0.037496,0,0
5.7422,0.24466,97103,1,0.03811,0.03811,0,0
5.7372,0.24824,97019,1,0.038725,0.038725,0,0
5.732,0.25209,96932,1,0.03934,0.03934,0,0
5.7266,0.25597,96843,1,0.039954,0.039954,0,0
5.7207,0.25993,96745,1,0.040569,0.040569,0,0
5.7147,0.26385,96646,1,0.041184,0.041184,0,0
5.7085,0.26791,96541,1,0.041799,0.041799,0,0
5.7017,0.27212,96428,1,0.042413,0.042413,0,0
5.6947,0.27662,96312,1,0.043028,0.043028,0,0
5.688,0.2813,96200,1,0.043643,0.043643,0,0
5.6805,0.28614,96075,1,0.044257,0.044257,0,0
5.6725,0.29089,95942,1,0.044872,0.044872,0,0
5.6643,0.29562,95807,1,0.045487,0.045487,0,0
5.656,0.30055,95668,1,0.046101,0.046101,0,0
5.6463,0.30575,95507,1,0.046716,0.046716,0,0
5.6375,0.31106,95360,1,0.047331,0.047331,0,0
5.6279,0.31653,95200,1,0.047945,0.047945,0,0
5.6178,0.32212,95032,1,0.04856,0.04856,0,0
5.6073,0.32808,94859,1,0.049175,0.049175,0,0
5.5967,0.33411,94681,1,0.049789,0.049789,0,0
5.5851,0.34029,94488,1,0.050404,0.050404,0,0
5.5732,0.34632,94290,1,0.051019,0.051019,0,0
5.5609,0.35248,94085,1,0.051633,0.051633,0,0
5.548,0.35892,93871,1,0.052248,0.052248,0,0
5.5347,0.3655,93649,1,0.052863,0.052863,0,0
5.5208,0.37225,93417,1,0.053478,0.053478,0,0
5.5064,0.37907,93177,1,0.054092,0.054092,0,0
5.4915,0.38614,92929,1,0.054707,0.054707,0,0
5.476,0.39336,92671,1,0.055322,0.055322,0,0
5.4599,0.40072,92403,1,0.055936,0.055936,0,0
5.4432,0.40826,92125,1,0.056551,0.056551,0,0
5.4259,0.41596,91836,1,0.057166,0.057166,0,0
5.4079,0.42382,91536,1,0.05778,0.05778,0,0
5.3893,0.43184,91226,1,0.058395,0.058395,0,0
