"Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.93457,7e+05,1,0,0,0,0
0.93707,6.9822e+05,1,0.0061618,0.0061618,0,0
0.93958,6.9645e+05,1,0.012324,0.012324,0,0
0.94208,6.9467e+05,1,0.018485,0.018485,0,0
0.94458,6.929e+05,1,0.024647,0.024647,0,0
0.94709,6.9112e+05,1,0.030809,0.030809,0,0
0.94958,6.8935e+05,1,0.036971,0.036971,0,0
0.95206,6.876e+05,1,0.043133,0.043133,0,0
0.95454,6.8584e+05,1,0.049294,0.049294,0,0
0.95702,6.8408e+05,1,0.055456,0.055456,0,0
0.95949,6.8233e+05,1,0.061618,0.061618,0,0
0.96197,6.8057e+05,1,0.06778,0.06778,0,0
0.96445,6.7882e+05,1,0.073942,0.073942,0,0
0.96693,6.7706e+05,1,0.080103,0.080103,0,0
0.9694,6.7531e+05,1,0.086265,0.086265,0,0
0.97185,6.7358e+05,1,0.092427,0.092427,0,0
0.9743,6.7185e+05,1,0.098589,0.098589,0,0
0.97675,6.7012e+05,1,0.10475,0.10475,0,0
0.97921,6.6839e+05,1,0.11091,0.11091,0,0
0.98166,6.6666e+05,1,0.11707,0.11707,0,0
0.98411,6.6494e+05,1,0.12324,0.12324,0,0
0.98656,6.6321e+05,1,0.1294,0.1294,0,0
0.989,6.6148e+05,1,0.13556,0.13556,0,0
0.99143,6.5978e+05,1,0.14172,0.14172,0,0
0.99385,6.5807e+05,1,0.14788,0.14788,0,0
0.99627,6.5637e+05,1,0.15405,0.15405,0,0
0.99869,6.5466e+05,1,0.16021,0.16021,0,0
1.0011,6.5296e+05,1,0.16637,0.16637,0,0
1.0035,6.5125e+05,1,0.17253,0.17253,0,0
1.006,6.4955e+05,1,0.17869,0.17869,0,0
1.0084,6.4784e+05,1,0.18485,0.18485,0,0
1.0108,6.4617e+05,1,0.19102,0.19102,0,0
1.0132,6.445e+05,1,0.19718,0.19718,0,0
1.0155,6.4282e+05,1,0.20334,0.20334,0,0
1.0179,6.4115e+05,1,0.2095,0.2095,0,0
1.0203,6.3947e+05,1,0.21566,0.21566,0,0
