"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Pressure_Coefficient","Mach"
0, 8.752535211749343e-03, 2.087378954630404e-01, 2.094989236197097e+02, 1.468493954371488e+04, 1.250256117057700e-03, 1.173134002213587e+08, 8.202711700299536e+05, 6.524330192882288e+02, -3.555591244931419e-06, 1.700012320325630e+00
1, 9.878920421579699e-01, 6.490762988935643e-02, 1.317137485899354e+02, 1.005872026847337e+04, -2.156564730870032e+03, 7.356545437334128e+07, 6.939327374703281e+05, 6.383397032690909e+02, -2.454763301801351e-01, 1.735469331136892e+00
2, 8.735877593795363e-03, 9.912413198062923e-01, 2.094999968631356e+02, 1.468497072961713e+04, -6.861942038521044e-06, 1.173140023218567e+08, 8.202729946669503e+05, 6.524331945877883e+02, -1.036199735528448e-08, 1.700000035708042e+00
3, 4.201342122620277e-01, 5.840250989759460e-01, 2.086326454243197e+02, 1.465263240788549e+04, -2.217447205636190e+01, 1.168269192323664e+08, 8.188035840680096e+05, 6.522914037603331e+02, -2.855042591101982e-03, 1.709073869093143e+00
4, 4.366405372502142e-01, 5.722713747350280e-01, 2.082835115530504e+02, 1.463920383924586e+04, -3.155417281282872e+01, 1.166308307473539e+08, 8.182149772498198e+05, 6.522342583791205e+02, -3.998692594317029e-03, 1.712661992285685e+00
5, 4.429473089205138e-01, 5.873817088043708e-01, 2.083879288037974e+02, 1.464291058451460e+04, -2.901694083555259e+01, 1.166894537800695e+08, 8.183908373944028e+05, 6.522513527368948e+02, -3.657000230751972e-03, 1.711553830639112e+00
6, 4.555283178780878e-01, 5.726874718962656e-01, 2.079423625903477e+02, 1.462566433127476e+04, -4.109151949906641e+01, 1.164392003178275e+08, 8.176413865172123e+05, 6.521783795758829e+02, -5.113166676027614e-03, 1.716109519877844e+00
7, 4.633365386905710e-01, 5.892550865490442e-01, 2.080921550930912e+02, 1.463091365482963e+04, -3.750837316694117e+01, 1.165232924427092e+08, 8.178930369542479e+05, 6.522029184219073e+02, -4.624215453868980e-03, 1.714515703471909e+00
8, 4.798881326288815e-01, 5.924128831146420e-01, 2.078708638552869e+02, 1.462170392130338e+04, -4.390730290549633e+01, 1.163989585695374e+08, 8.175213149398011e+05, 6.521666583994030e+02, -5.346463089947171e-03, 1.716699457466110e+00
9, 4.794609296087470e-01, 5.746988090736580e-01, 2.074881621622112e+02, 1.460708357249767e+04, -5.420674198086941e+01, 1.161840316632469e+08, 8.168800641586143e+05, 6.521039206748547e+02, -6.592399146585688e-03, 1.720618887540037e+00
