"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -0.223566763,      0.8326730276,      -7.084835958,       5.800585261
          0,           0,           1,     -0.4510307393,       1.195743631,      0.7949193021,       5.575080864
          0,           0,           2,     -0.7721043023,       1.282443214,        1.09806059,       5.257021553
          0,           0,           3,     -0.8449487931,       1.086108287,        1.12890334,       5.184803843
          0,           0,           4,      -1.032473125,      0.7079728616,       0.824887996,       4.997198865
          0,           0,           5,     -0.9204357491,      0.6625722492,       1.042723261,        5.10909808
          0,           0,           6,      -1.143545748,      0.2931517251,      0.6595704304,       4.885742539
          0,           0,           7,      -1.044091121,      0.5281485988,      0.8920391246,       4.985288271
          0,           0,           8,      -1.032910911,      0.5881024326,      0.9415497745,       4.996509185
          0,           0,           9,      -1.252035503,      0.4124806591,      0.6149772325,       4.777092294
          0,           0,          10,      -1.160362805,      0.6152061532,      0.7962152836,       4.869051026
          0,           0,          11,       -1.38043869,      0.3815265501,      0.4036890261,       4.648435214
          0,           0,          12,      -1.299657147,      0.5363515017,      0.6472750901,          4.729505
          0,           0,          13,      -1.479346187,      0.3112537984,      0.2976043662,       4.549017955
          0,           0,          14,      -1.428888766,      0.4387264134,      0.5020497815,        4.59980388
          0,           0,          15,      -1.324337946,      0.6200868182,      0.6715897234,        4.70485384
          0,           0,          16,      -1.580311043,      0.2941316493,      0.2840488452,       4.447790427
          0,           0,          17,      -1.420354774,      0.5731982532,      0.5669622386,       4.608633966
          0,           0,          18,      -1.644545784,      0.2206060835,      0.1915793693,       4.383028635
          0,           0,          19,      -1.543479028,      0.4505171164,      0.4097219303,       4.484944258
          0,           0,          20,      -1.333419357,      0.7533522544,      0.6802908058,       4.695987797
          0,           0,          21,      -1.635431014,      0.3558824614,      0.2800546424,       4.392128074
          0,           0,          22,      -1.431430717,      0.6798081426,      0.5650148882,       4.597625597
          0,           0,          23,      -1.684760357,      0.2932107942,      0.1849993962,       4.342267889
          0,           0,          24,      -1.563090394,      0.5259280265,      0.3863634724,       4.465280674
          0,           0,          25,      -1.337429775,      0.8587602831,      0.6571390661,       4.691696283
          0,           0,          26,      -1.621917185,      0.4090550727,      0.3097108304,       4.405499803
          0,           0,          27,      -1.384005492,      0.8158555499,      0.5716821149,       4.644675445
          0,           0,          28,      -1.258996368,      0.9597715688,      0.7516948794,       4.769578566
          0,           0,          29,      -1.204445443,      0.9689020172,      0.8433540396,       4.823500717
          0,           0,          30,      -1.188754861,       1.049186211,      0.8937301929,       4.838830044
          0,           0,          31,      -1.105816425,       1.250011881,      0.9518682473,       4.918274397
