"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -0.251223047,      0.2781329346,       -7.03677429,       5.777929413
          0,           0,           1,     -0.4903864043,       1.205803213,      0.8478451862,        5.54036608
          0,           0,           2,     -0.8001644318,       1.257558685,       1.126027324,       5.233868511
          0,           0,           3,      -0.857466283,       1.067296962,       1.163569776,       5.177267745
          0,           0,           4,       -1.04892745,      0.6890393343,      0.8523798317,       4.985698965
          0,           0,           5,     -0.9387815441,      0.6671300403,       1.066400168,       5.095711476
          0,           0,           6,      -1.161879129,       0.319144132,      0.6798389543,       4.872303112
          0,           0,           7,      -1.063070162,      0.5488738638,      0.9138482611,       4.971226492
          0,           0,           8,      -1.052651194,       0.611466328,      0.9614063359,       4.981687688
          0,           0,           9,      -1.272030789,      0.4446069743,      0.6315675993,       4.761968489
          0,           0,          10,      -1.180892023,      0.6402243772,      0.8114835748,       4.853448324
          0,           0,          11,      -1.400747359,      0.4150895756,      0.4168874505,       4.632971917
          0,           0,          12,      -1.321118883,      0.5594849692,       0.659944727,       4.712935957
          0,           0,          13,      -1.500871559,      0.3434604779,      0.3096017153,       4.532258349
          0,           0,          14,      -1.451425675,      0.4607071293,      0.5125450992,       4.582085608
          0,           0,          15,      -1.342823686,      0.6410957864,      0.6834961739,       4.691281035
          0,           0,          16,      -1.600131204,      0.3183872191,      0.2928745751,       4.432704121
          0,           0,          17,      -1.435808063,      0.5945570715,      0.5798698111,       4.598078145
          0,           0,          18,       -1.66088953,      0.2425078328,      0.2043566739,       4.371354805
          0,           0,          19,      -1.557358025,      0.4706810577,      0.4225592204,        4.47588344
          0,           0,          20,      -1.340540245,      0.7813643018,      0.6989707645,       4.693833171
          0,           0,          21,      -1.640270177,      0.3804019219,      0.2981296532,       4.391957349
          0,           0,          22,      -1.433825715,      0.7121550276,      0.5816803229,       4.600130548
          0,           0,          23,      -1.678855466,      0.3247663999,      0.2116932944,       4.352800591
          0,           0,          24,      -1.551521773,      0.5834007674,      0.4192766722,       4.481654226
          0,           0,          25,      -1.327540547,      0.9142002632,      0.7035767633,       4.706329203
          0,           0,          26,       -1.60603325,      0.4747970745,      0.3395544899,       4.425841924
          0,           0,          27,      -1.361016615,      0.8907420822,      0.6172392963,       4.672508049
          0,           0,          28,      -1.246918373,      0.9758303338,      0.8414653337,       4.786236781
          0,           0,          29,      -1.191064362,       1.063513414,      0.9209201657,       4.841742397
          0,           0,          30,      -1.100728032,       1.175231101,      0.9823943371,       4.929143532
          0,           0,          31,      -1.119569256,       1.340580595,       1.003313588,       4.908668661
          0,           0,          32,      -1.435540394,       1.093594305,      0.7719691229,       4.593676707
          0,           0,          33,      -2.303687204,     0.03771003345,     -0.1747555382,       3.732106801
          0,           0,          34,      -2.853224198,     -0.6600934611,     -0.7759352136,       3.181512515
          0,           0,          35,      -3.397500109,      -1.331815929,      -1.423874044,       2.636645252
          0,           0,          36,      -3.585690999,      -1.521298611,      -1.842975598,        2.45017299
          0,           0,          37,      -3.779945232,      -1.740644173,      -2.081690184,       2.256060821
          0,           0,          38,      -3.723414676,      -1.816762678,      -1.815177361,       2.312537962
          0,           0,          39,      -3.997943114,      -2.066704814,      -2.203983433,       2.038141983
          0,           0,          40,      -3.800702117,      -2.105422092,      -1.809585208,       2.235119817
          0,           0,          41,      -4.075446958,      -2.252678252,      -2.225626618,       1.960575625
          0,           0,          42,      -3.950520913,      -2.126067015,      -1.989404788,       2.085335767
          0,           0,          43,      -4.019903191,      -2.109431068,      -2.072965927,       2.015929365
          0,           0,          44,      -4.007260578,      -2.020495077,       -2.09102587,       2.028538255
          0,           0,          45,      -4.275890497,      -2.203811596,       -2.51322117,       1.759893457
          0,           0,          46,      -4.251353344,      -2.176865548,      -2.430615482,       1.784444003
          0,           0,          47,      -4.463714679,      -2.356989493,      -2.814854401,       1.571922222
          0,           0,          48,      -4.409573246,      -2.419875381,      -2.498561821,       1.626120869
          0,           0,          49,      -4.612169683,      -2.559835511,      -2.831292259,        1.42337967
          0,           0,          50,      -4.530114229,      -2.620591946,      -2.593903611,       1.505613896
          0,           0,          51,      -4.681781551,      -2.693339195,      -2.892282054,       1.354026553
          0,           0,          52,      -4.557694022,      -2.694759701,      -2.610447055,        1.47818117
          0,           0,          53,      -4.514345604,      -2.670828282,      -2.511788939,       1.521517348
          0,           0,          54,        -4.7823036,      -2.807737307,      -2.960343539,       1.253613853
          0,           0,          55,      -4.721521115,      -2.769850379,      -2.771791072,       1.314213883
          0,           0,          56,      -4.952843934,       -2.91985358,      -3.209112149,       1.082875281
          0,           0,          57,      -4.957915005,      -2.910141516,      -3.062715376,       1.077768056
          0,           0,          58,      -5.129927084,      -3.018241148,      -3.420365495,      0.9055469261
          0,           0,          59,      -5.140871831,      -3.020112557,      -3.280090368,       0.894602963
          0,           0,          60,      -5.293902152,      -3.106372782,      -3.571769803,      0.7412088896
          0,           0,          61,      -5.264198469,      -3.122529218,      -3.397025352,      0.7712970244
          0,           0,          62,      -5.415546136,      -3.196817225,      -3.642494344,      0.6197070645
          0,           0,          63,      -5.294233927,      -3.225777893,      -3.382617516,      0.7416089805
          0,           0,          64,      -5.445131917,      -3.287010333,      -3.641223274,      0.5908475105
          0,           0,          65,      -5.117745115,      -3.100264624,      -3.341803693,      0.9178035338
          0,           0,          66,      -5.338001092,      -3.294797594,       -3.61477035,      0.6979807788
          0,           0,          67,      -5.294035913,      -3.381810455,      -3.346729201,      0.7420579077
          0,           0,          68,       -5.21096984,      -3.403033858,      -3.200339415,        0.82490865
          0,           0,          69,      -5.193277113,      -3.164495882,      -3.639331357,      0.8420378704
          0,           0,          70,      -5.267441633,      -3.351462968,      -3.348912555,      0.7678647548
          0,           0,          71,      -5.529372785,      -3.509044687,      -3.783751456,      0.5059306365
          0,           0,          72,      -5.508017258,      -3.490878366,      -3.628920852,      0.5276303231
          0,           0,          73,      -5.260686041,      -3.213225115,      -3.985488175,      0.7744308992
          0,           0,          74,      -5.416799471,      -3.383572629,      -3.751225644,      0.6181251267
          0,           0,          75,      -5.503922165,      -3.439579135,      -3.846743729,      0.5319917157
          0,           0,          76,      -5.304371131,      -3.252937052,      -4.132358452,      0.7306320984
          0,           0,          77,      -5.425426678,      -3.409119479,      -3.784891461,      0.6094272369
          0,           0,          78,      -5.669423261,      -3.580957788,      -4.155197895,      0.3655561648
