"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       2.424419775,       4.033853263,      -3.849757373,       8.442309192
          0,           0,           1,       2.423886756,       4.030710717,      0.7430210723,       8.441770197
          0,           0,           2,       2.423360219,       4.027562397,       1.042799185,       8.441237725
          0,           0,           3,       2.422840142,       4.024408232,       1.217643646,       8.440711752
          0,           0,           4,       2.422326504,        4.02124816,       1.341340608,       8.440192257
          0,           0,           5,       2.421819283,       4.018082126,       1.437013806,       8.439679217
          0,           0,           6,       2.421318457,        4.01491008,       1.514963135,       8.439172611
          0,           0,           7,       2.420824006,       4.011731983,       1.580682839,       8.438672418
          0,           0,           8,       2.420335907,       4.008547802,        1.63745247,       8.438178615
          0,           0,           9,        2.41985414,       4.005357513,        1.68738738,        8.43769118
          0,           0,          10,       2.419378683,       4.002161103,       1.731931898,       8.437210094
          0,           0,          11,       2.418909516,       3.998958569,       1.772116186,       8.436735333
          0,           0,          12,       2.418446617,       3.995749917,        1.80870086,       8.436266877
          0,           0,          13,       2.417989966,       3.992535166,       1.842263527,       8.435804706
          0,           0,          14,       2.417539543,       3.989314349,       1.873253155,       8.435348797
          0,           0,          15,       2.417095326,       3.986087509,       1.902025642,       8.434899131
          0,           0,          16,       2.416657297,       3.982854706,       1.928867881,       8.434455686
          0,           0,          17,       2.416225434,       3.979616011,       1.954014522,       8.434018442
          0,           0,          18,       2.415799718,       3.976371514,        1.97765993,       8.433587379
          0,           0,          19,       2.415380129,       3.973121321,       1.999966907,       8.433162477
          0,           0,          20,       2.414966648,       3.969865555,       2.021073174,       8.432743716
          0,           0,          21,       2.414559255,       3.966604359,        2.04109627,       8.432331077
          0,           0,          22,       2.414157933,       3.963337893,       2.060137314,       8.431924539
          0,           0,          23,        2.41376266,        3.96006634,       2.078283921,       8.431524083
          0,           0,          24,       2.413373421,       3.956789906,       2.095612509,       8.431129691
          0,           0,          25,       2.412990195,       3.953508818,       2.112190121,       8.430741344
          0,           0,          26,       2.412612965,       3.950223329,       2.128075905,       8.430359023
          0,           0,          27,       2.412241713,       3.946933718,       2.143322302,       8.429982709
          0,           0,          28,       2.411876422,       3.943640291,       2.157976021,       8.429612386
          0,           0,          29,       2.411517075,       3.940343384,       2.172078846,       8.429248034
          0,           0,          30,       2.411163654,        3.93704336,       2.185668302,       8.428889637
          0,           0,          31,       2.410816144,       3.933740619,       2.198778217,       8.428537177
          0,           0,          32,       2.410474527,        3.93043559,       2.211439189,       8.428190638
          0,           0,          33,       2.410138787,       3.927128741,       2.223678985,       8.427850002
          0,           0,          34,        2.40980891,       3.923820574,       2.235522879,       8.427515254
          0,           0,          35,        2.40948488,       3.920511632,       2.246993942,       8.427186378
          0,           0,          36,       2.409166682,       3.917202499,       2.258113288,       8.426863357
          0,           0,          37,       2.408854301,         3.9138938,       2.268900292,       8.426546178
          0,           0,          38,       2.408547724,       3.910586207,       2.279372772,       8.426234824
          0,           0,          39,       2.408246936,       3.907280437,       2.289547153,       8.425929281
          0,           0,          40,       2.407951923,       3.903977258,       2.299438608,       8.425629535
          0,           0,          41,       2.407662674,       3.900677488,       2.309061182,       8.425335573
          0,           0,          42,       2.407379176,          3.897382,       2.318427898,        8.42504738
          0,           0,          43,       2.407101416,       3.894091719,       2.327550857,       8.424764944
          0,           0,          44,       2.406829382,       3.890807634,       2.336441321,       8.424488253
