"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.166589454,      0.2945752846,      -7.965670085,       4.365252033
          0,           0,           1,      -1.463718298,      0.3700229362,     -0.3004125291,        4.07257146
          0,           0,           2,      -1.728193005,      0.1982988863,     0.07969147802,       3.813253277
          0,           0,           3,      -1.683068613,     0.06203350302,      0.2710159524,       3.859094148
          0,           0,           4,      -2.042765162,     -0.2860954176,     -0.1989821449,       3.497504667
          0,           0,           5,      -1.837274627,     -0.4032199193,      0.1124382981,       3.704106154
          0,           0,           6,      -2.097320173,      -0.699742421,     -0.2791119383,       3.442511598
          0,           0,           7,      -2.008693618,     -0.5518468575,      -0.106941279,        3.53159269
          0,           0,           8,      -2.160530134,      -0.682771597,     -0.4395593651,        3.37833804
          0,           0,           9,      -2.062818715,     -0.5391027674,     -0.1787655986,       3.476909484
          0,           0,          10,      -1.834550151,     -0.3258411607,      0.1460100596,       3.706246303
          0,           0,          11,      -2.237624097,      -0.764247076,     -0.3567487894,       3.301045812
          0,           0,          12,      -2.004190718,     -0.4710979121,    -0.04548832557,        3.53620004
          0,           0,          13,      -2.267898383,      -0.760741928,     -0.4454921962,       3.270502746
          0,           0,          14,       -2.17441847,     -0.5916024538,      -0.271908027,       3.364950678
          0,           0,          15,      -2.318521718,     -0.7383721788,     -0.6085137335,       3.219218909
          0,           0,          16,      -2.224819299,     -0.5854834649,     -0.3429987187,        3.31410556
          0,           0,          17,      -2.347676968,     -0.7067578904,     -0.6695914764,        3.18959982
          0,           0,          18,      -2.247334302,     -0.5621608484,     -0.3594894683,        3.29135546
          0,           0,          19,      -2.375648674,     -0.6829921785,     -0.6881785599,       3.161161455
          0,           0,          20,      -2.282266299,     -0.5598739117,     -0.3953564203,        3.25606255
          0,           0,          21,      -2.409134963,     -0.6691177454,     -0.7221514993,       3.127109905
          0,           0,          22,      -2.319218144,     -0.5615311379,     -0.4339603475,        3.21871912
          0,           0,          23,      -2.444193917,     -0.6595428601,     -0.7596856437,       3.091434053
          0,           0,          24,      -2.356576441,     -0.5631550574,     -0.4726934927,       3.180944751
          0,           0,          25,      -2.480122834,     -0.6519229969,     -0.7968631956,       3.054837114
          0,           0,          26,      -2.395022899,     -0.5647290248,     -0.5126719358,       3.142041958
          0,           0,          27,      -2.517205206,      -0.645622428,     -0.8342352511,       3.017017029
          0,           0,          28,      -2.434753578,     -0.5662262192,     -0.5540893344,       3.101801694
          0,           0,          29,      -2.555576784,     -0.6405135781,     -0.8718621573,        2.97781828
          0,           0,          30,      -2.475779672,     -0.5678762288,     -0.5967636836,       3.060200299
          0,           0,          31,       -2.59526983,      -0.636833427,     -0.9093591618,       2.937188955
          0,           0,          32,        -2.5179996,     -0.5701970335,     -0.6404450153,       3.017330372
          0,           0,          33,      -2.636146803,     -0.6349839391,     -0.9462702436,       2.895253888
          0,           0,          34,      -2.560994946,     -0.5737283395,     -0.6846262943,        2.97361383
          0,           0,          35,      -2.677734269,     -0.6353373322,     -0.9819603539,       2.852494441
          0,           0,          36,      -2.603897812,     -0.5788961032,     -0.7283508556,       2.929945264
          0,           0,          37,      -2.719108035,     -0.6381562068,      -1.015584887,       2.809880342
          0,           0,          38,      -2.645338371,      -0.585983943,     -0.7701962979,       2.887753276
          0,           0,          39,      -2.758843203,     -0.6435803043,      -1.046229269,       2.768935819
          0,           0,          40,      -2.683517722,     -0.5950900135,     -0.8083154718,       2.848932888
          0,           0,          41,      -2.795094544,     -0.6516349044,        -1.0730029,       2.731664698
          0,           0,          42,      -2.716448477,     -0.6061851029,     -0.8407597638,       2.815587397
          0,           0,          43,       -2.82585852,     -0.6622669638,      -1.095381812,       2.700258675
          0,           0,          44,      -2.742403518,     -0.6191256687,     -0.8659515308,       2.789540118
          0,           0,          45,      -2.849475651,     -0.6753734927,      -1.113285174,       2.676523984
          0,           0,          46,      -2.760467161,     -0.6336881942,     -0.8832037368,       2.771730441
          0,           0,          47,      -2.865145368,     -0.6908369847,      -1.127054252,       2.661283272
          0,           0,          48,      -2.770858206,     -0.6495928126,     -0.8929516942,       2.761868341
          0,           0,          49,      -2.873259333,     -0.7085540273,      -1.137337534,       2.654013503
          0,           0,          50,       -2.77482823,     -0.6665256731,      -0.896568336,       2.758565115
          0,           0,          51,      -2.875201658,      -0.728446064,      -1.144899729,       2.653105715
          0,           0,          52,      -2.774192571,     -0.6841502973,     -0.8958594485,       2.759861986
          0,           0,          53,      -2.872853174,     -0.7504634224,      -1.150475259,       2.656457788
          0,           0,          54,      -2.770832327,     -0.7021141268,     -0.8926126718,       2.763771367
          0,           0,          55,      -2.868059775,     -0.7745643029,      -1.154692432,       2.662069442
          0,           0,          56,      -2.766248303,     -0.7199839598,     -0.8882425367,       2.768735279
          0,           0,          57,      -2.862284687,     -0.8006741789,      -1.157957962,        2.66840055
          0,           0,          58,      -2.761532246,     -0.7372712117,     -0.8837951045,       2.773642033
          0,           0,          59,       -2.85648624,     -0.8286301527,      -1.160538359,       2.674471233
          0,           0,          60,      -2.757277539,     -0.7533344018,     -0.8797682215,       2.777900455
          0,           0,          61,      -2.851141207,     -0.8580961009,      -1.162459889,       2.679813699
          0,           0,          62,      -2.753703565,      -0.767440081,      -0.876360386,       2.781303031
          0,           0,          63,      -2.846330716,     -0.8884870588,      -1.163594605,       2.684368704
          0,           0,          64,      -2.750786742,     -0.7789585833,     -0.8736225548,       2.783885123
          0,           0,          65,      -2.841835667,     -0.9189117361,      -1.163876528,        2.68837937
          0,           0,          66,      -2.748233757,     -0.7872116554,      -0.871324279,       2.785956532
          0,           0,          67,      -2.837278045,     -0.9479890992,      -1.163152224,       2.692258575
          0,           0,          68,      -2.745640234,     -0.7915855582,     -0.8690612317,       2.787949429
          0,           0,          69,      -2.832330578,     -0.9738183687,      -1.161299245,       2.696386995
          0,           0,          70,      -2.742607559,     -0.7915775584,     -0.8662596103,       2.790309384
          0,           0,          71,      -2.826821573,     -0.9941471586,      -1.158272077,       2.701007101
          0,           0,          72,      -2.738728502,     -0.7867596654,     -0.8621749162,       2.793502904
          0,           0,          73,      -2.820665059,      -1.006986923,      -1.153944812,       2.706279453
          0,           0,          74,      -2.733575492,     -0.7773637285,     -0.8562544362,       2.798008558
          0,           0,          75,      -2.813571593,      -1.011510517,      -1.148183522,       2.712553414
          0,           0,          76,      -2.726760689,     -0.7643544906,     -0.8482347742,       2.804252731
          0,           0,          77,      -2.805137146,       -1.00806427,      -1.140573903,       2.720284633
          0,           0,          78,      -2.717772411,     -0.7488200021,     -0.8380606306,        2.81277825
          0,           0,          79,      -2.698958668,     -0.7209826412,     -0.8074779869,       2.831745097
          0,           0,          80,      -2.254913541,     -0.1177155748,     -0.2151359194,       3.285061165
          0,           0,          81,       -2.59013549,     -0.6123596743,     -0.6563295305,       2.941281711
          0,           0,          82,      -2.378510462,    -0.08402291711,      -0.436605355,       3.152598757
          0,           0,          83,      -2.490112845,      -0.543120365,     -0.7665447139,        3.03636404
          0,           0,          84,      -2.559877408,     -0.4415846109,      -0.753374298,       2.965845216
          0,           0,          85,      -2.694944265,     -0.7209232148,      -1.052070989,       2.824897369
          0,           0,          86,      -2.964822224,      -0.925446381,      -1.125993643,       2.560266127
          0,           0,          87,      -2.971307963,     -0.8176533962,     -0.9606286662,       2.569441057
          0,           0,          88,      -3.336538316,      -1.242676834,      -1.453461053,       2.198637275
          0,           0,          89,      -3.307857433,      -1.262029453,      -1.420705634,       2.234948469
          0,           0,          90,       -3.53268322,      -1.432073014,      -1.763839641,        2.00830837
          0,           0,          91,      -3.515402635,      -1.468506045,      -1.673370077,       2.028782788
          0,           0,          92,      -3.647614084,        -1.5276622,      -1.940805951,       1.896713516
          0,           0,          93,      -3.564314999,      -1.535535646,       -1.72638421,       1.981317629
          0,           0,          94,      -3.665541399,      -1.567497855,      -1.993519043,       1.880976636
          0,           0,          95,       -3.54103206,      -1.561455087,      -1.688704974,        2.00507904
          0,           0,          96,      -3.648055943,      -1.591952671,       -1.97473064,       1.899183752
          0,           0,          97,      -3.523640245,      -1.578529424,       -1.66797242,       2.022529557
          0,           0,          98,      -3.632871868,      -1.612155332,      -1.960977557,       1.914448971
          0,           0,          99,      -3.515277674,      -1.591709891,      -1.659570668,       2.030809135
