,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G
0,202.89,316270000.0,1.7,16309,5.8736e-12,0,1499900.0,5.9671e-14,569.36,1,0.0,0.0,0.4,0,1.375592832261582
1,202.89,316270000.0,1.7,16309,8.4445e-12,0,1499900.0,5.9263e-14,569.36,1,0.001,0.001,0.4,0,1.375592832261582
2,202.89,316270000.0,1.7,16309,1.1015e-11,0,1499900.0,5.8854e-14,569.36,1,0.002,0.002,0.4,0,1.375592832261582
3,202.89,316270000.0,1.7,16309,1.3586e-11,0,1499900.0,5.8445e-14,569.36,1,0.003,0.003,0.4,0,1.375592832261582
4,202.89,316270000.0,1.7,16309,1.6157e-11,0,1499900.0,5.8037e-14,569.36,1,0.004,0.004,0.4,0,1.375592832261582
5,202.89,316270000.0,1.7,16309,1.8728e-11,0,1499900.0,5.7628e-14,569.36,1,0.005,0.005,0.4,0,1.375592832261582
6,202.89,316270000.0,1.7,16309,2.1299e-11,0,1499900.0,5.7219e-14,569.36,1,0.006,0.006,0.4,0,1.375592832261582
7,202.89,316270000.0,1.7,16309,2.387e-11,0,1499900.0,5.6811e-14,569.36,1,0.007,0.007,0.4,0,1.375592832261582
8,202.89,316270000.0,1.7,16309,2.6441e-11,0,1499900.0,5.6402e-14,569.36,1,0.008,0.008,0.4,0,1.375592832261582
9,202.89,316270000.0,1.7,16309,2.9012e-11,0,1499900.0,5.5993e-14,569.36,1,0.009,0.009,0.4,0,1.375592832261582
10,202.89,316270000.0,1.7,16309,3.1583e-11,0,1499900.0,5.5584e-14,569.36,1,0.01,0.01,0.4,0,1.375592832261582
11,202.89,316270000.0,1.7,16309,3.4154e-11,0,1499900.0,5.5176e-14,569.36,1,0.011,0.011,0.4,0,1.375592832261582
12,202.89,316270000.0,1.7,16309,3.6725e-11,0,1499900.0,5.4767e-14,569.36,1,0.012,0.012,0.4,0,1.375592832261582
13,202.89,316270000.0,1.7,16309,3.9296e-11,0,1499900.0,5.4358e-14,569.36,1,0.013,0.013,0.4,0,1.375592832261582
14,202.89,316270000.0,1.7,16309,4.1867e-11,0,1499900.0,5.395e-14,569.36,1,0.014,0.014,0.4,0,1.375592832261582
15,202.89,316270000.0,1.7,16309,4.4438e-11,0,1499900.0,5.3541e-14,569.36,1,0.015,0.015,0.4,0,1.375592832261582
16,202.89,316270000.0,1.7,16309,4.7009e-11,0,1499900.0,5.3132e-14,569.36,1,0.016,0.016,0.4,0,1.375592832261582
17,202.89,316270000.0,1.7,16309,4.958e-11,0,1499900.0,5.2723e-14,569.36,1,0.017,0.017,0.4,0,1.375592832261582
18,202.89,316270000.0,1.7,16309,4.9854e-11,0,1499900.0,5.2509e-14,569.36,1,0.018,0.018,0.4,0,1.375592832261582
19,202.89,316270000.0,1.7,16309,4.9032e-11,0,1499900.0,5.2388e-14,569.36,1,0.019,0.019,0.4,0,1.375592832261582
20,202.89,316270000.0,1.7,16309,4.8211e-11,0,1499900.0,5.2266e-14,569.36,1,0.02,0.02,0.4,0,1.375592832261582
21,202.89,316270000.0,1.7,16309,4.7389e-11,0,1499900.0,5.2145e-14,569.36,1,0.021,0.021,0.4,0,1.375592832261582
22,202.89,316270000.0,1.7,16309,4.6567e-11,0,1499900.0,5.2023e-14,569.36,1,0.022,0.022,0.4,0,1.375592832261582
23,202.89,316270000.0,1.7,16309,4.5745e-11,0,1499900.0,5.1902e-14,569.36,1,0.023,0.023,0.4,0,1.375592832261582
24,202.89,316270000.0,1.7,16309,4.4924e-11,0,1499900.0,5.178e-14,569.36,1,0.024,0.024,0.4,0,1.375592832261582
25,202.89,316270000.0,1.7,16309,4.4102e-11,0,1499900.0,5.1658e-14,569.36,1,0.025,0.025,0.4,0,1.375592832261582
26,202.89,316270000.0,1.7,16309,4.328e-11,0,1499900.0,5.1537e-14,569.36,1,0.026,0.026,0.4,0,1.375592832261582
27,202.89,316270000.0,1.7,16309,4.2458e-11,0,1499900.0,5.1415e-14,569.36,1,0.027,0.027,0.4,0,1.375592832261582
28,202.89,316270000.0,1.7,16309,4.1637e-11,0,1499900.0,5.1294e-14,569.36,1,0.028,0.028,0.4,0,1.375592832261582
29,202.89,316270000.0,1.7,16309,4.0815e-11,0,1499900.0,5.1172e-14,569.36,1,0.029,0.029,0.4,0,1.375592832261582
30,202.89,316270000.0,1.7,16309,3.9993e-11,0,1499900.0,5.1051e-14,569.36,1,0.03,0.03,0.4,0,1.375592832261582
31,202.89,316270000.0,1.7,16309,3.9171e-11,0,1499900.0,5.0929e-14,569.36,1,0.031,0.031,0.4,0,1.375592832261582
32,202.89,316270000.0,1.7,16309,3.835e-11,0,1499900.0,5.0808e-14,569.36,1,0.032,0.032,0.4,0,1.375592832261582
33,202.89,316270000.0,1.7,16309,3.7528e-11,0,1499900.0,5.0686e-14,569.36,1,0.033,0.033,0.4,0,1.375592832261582
34,202.89,316270000.0,1.7,16309,3.6706e-11,0,1499900.0,5.0565e-14,569.36,1,0.034,0.034,0.4,0,1.375592832261582
35,202.89,316270000.0,1.7,16309,3.464e-11,0,1499900.0,5.0653e-14,569.36,1,0.035,0.035,0.4,0,1.375592832261582
36,202.89,316270000.0,1.7,16309,2.9802e-11,0,1499900.0,5.1389e-14,569.36,1,0.036,0.036,0.4,0,1.375592832261582
37,202.89,316270000.0,1.7,16309,2.4965e-11,0,1499900.0,5.2126e-14,569.36,1,0.037,0.037,0.4,0,1.375592832261582
38,202.89,316270000.0,1.7,16309,2.0127e-11,0,1499900.0,5.2863e-14,569.36,1,0.038,0.038,0.4,0,1.375592832261582
39,202.89,316270000.0,1.7,16309,1.5289e-11,0,1499900.0,5.3599e-14,569.36,1,0.039,0.039,0.4,0,1.375592832261582
40,202.89,316270000.0,1.7,16309,1.0451e-11,0,1499900.0,5.4336e-14,569.36,1,0.04,0.04,0.4,0,1.375592832261582
41,202.89,316270000.0,1.7,16309,5.6136e-12,0,1499900.0,5.5072e-14,569.36,1,0.041,0.041,0.4,0,1.375592832261582
42,202.89,316270000.0,1.7,16309,7.7581e-13,0,1499900.0,5.5809e-14,569.36,1,0.042,0.042,0.4,0,1.375592832261582
43,202.89,316270000.0,1.7,16309,-4.062e-12,0,1499900.0,5.6546e-14,569.36,1,0.043,0.043,0.4,0,1.375592832261582
44,202.89,316270000.0,1.7,16309,-8.8997e-12,0,1499900.0,5.7282e-14,569.36,1,0.044,0.044,0.4,0,1.375592832261582
45,202.89,316270000.0,1.7,16309,-1.3738e-11,0,1499900.0,5.8019e-14,569.36,1,0.045,0.045,0.4,0,1.375592832261582
46,202.89,316270000.0,1.7,16309,-1.8575e-11,0,1499900.0,5.8755e-14,569.36,1,0.046,0.046,0.4,0,1.375592832261582
47,202.89,316270000.0,1.7,16309,-2.3413e-11,0,1499900.0,5.9492e-14,569.36,1,0.047,0.047,0.4,0,1.375592832261582
48,202.89,316270000.0,1.7,16309,-2.8251e-11,0,1499900.0,6.0229e-14,569.36,1,0.048,0.048,0.4,0,1.375592832261582
49,202.89,316270000.0,1.7,16309,-3.3089e-11,0,1499900.0,6.0965e-14,569.36,1,0.049,0.049,0.4,0,1.375592832261582
50,202.89,316270000.0,1.7,16309,-3.7926e-11,0,1499900.0,6.1702e-14,569.36,1,0.05,0.05,0.4,0,1.375592832261582
51,202.89,316270000.0,1.7,16309,-4.2764e-11,0,1499900.0,6.2439e-14,569.36,1,0.051,0.051,0.4,0,1.375592832261582
52,202.89,316270000.0,1.7,16309,-4.7724e-11,0,1499900.0,6.3108e-14,569.36,1,0.052,0.052,0.4,0,1.375592832261582
53,202.89,316270000.0,1.7,16309,-5.4941e-11,0,1499900.0,6.2531e-14,569.36,1,0.053,0.053,0.4,0,1.375592832261582
54,202.89,316270000.0,1.7,16309,-6.2159e-11,0,1499900.0,6.1953e-14,569.36,1,0.054,0.054,0.4,0,1.375592832261582
