"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
202.89,7.5001e+07,1.7,17306,1.2013e-11,0,1.4999e+06,5.3627e-15,569.84,1,0,0,0.4,0
202.89,7.5001e+07,1.7,17306,1.1461e-11,0,1.4999e+06,5.1812e-15,569.84,1,0.001,0.001,0.4,0
202.89,7.5001e+07,1.7,17306,1.091e-11,0,1.4999e+06,4.9997e-15,569.84,1,0.002,0.002,0.4,0
202.89,7.5001e+07,1.7,17306,1.0358e-11,0,1.4999e+06,4.8182e-15,569.84,1,0.003,0.003,0.4,0
202.89,7.5001e+07,1.7,17306,9.8061e-12,0,1.4999e+06,4.6366e-15,569.84,1,0.004,0.004,0.4,0
202.89,7.5001e+07,1.7,17306,9.2544e-12,0,1.4999e+06,4.4551e-15,569.84,1,0.005,0.005,0.4,0
202.89,7.5001e+07,1.7,17306,8.7027e-12,0,1.4999e+06,4.2736e-15,569.84,1,0.006,0.006,0.4,0
202.89,7.5001e+07,1.7,17306,8.151e-12,0,1.4999e+06,4.092e-15,569.84,1,0.007,0.007,0.4,0
202.89,7.5001e+07,1.7,17306,7.5993e-12,0,1.4999e+06,3.9105e-15,569.84,1,0.008,0.008,0.4,0
202.89,7.5001e+07,1.7,17306,7.0476e-12,0,1.4999e+06,3.729e-15,569.84,1,0.009,0.009,0.4,0
202.89,7.5001e+07,1.7,17306,6.4958e-12,0,1.4999e+06,3.5474e-15,569.84,1,0.01,0.01,0.4,0
202.89,7.5001e+07,1.7,17306,5.9441e-12,0,1.4999e+06,3.3659e-15,569.84,1,0.011,0.011,0.4,0
202.89,7.5001e+07,1.7,17306,5.3924e-12,0,1.4999e+06,3.1844e-15,569.84,1,0.012,0.012,0.4,0
202.89,7.5001e+07,1.7,17306,4.8407e-12,0,1.4999e+06,3.0028e-15,569.84,1,0.013,0.013,0.4,0
202.89,7.5001e+07,1.7,17306,4.289e-12,0,1.4999e+06,2.8213e-15,569.84,1,0.014,0.014,0.4,0
202.89,7.5001e+07,1.7,17306,3.7373e-12,0,1.4999e+06,2.6398e-15,569.84,1,0.015,0.015,0.4,0
202.89,7.5001e+07,1.7,17306,3.1855e-12,0,1.4999e+06,2.4582e-15,569.84,1,0.016,0.016,0.4,0
