"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
202.89,3.1627e+08,1.7,16309,1.1123e-11,0,1.4999e+06,6.6065e-14,569.36,1,0,0,0.4,0
202.89,3.1627e+08,1.7,16309,1.0166e-11,0,1.4999e+06,6.5614e-14,569.36,1,0.001,0.001,0.4,0
202.89,3.1627e+08,1.7,16309,9.2083e-12,0,1.4999e+06,6.5162e-14,569.36,1,0.002,0.002,0.4,0
202.89,3.1627e+08,1.7,16309,8.2511e-12,0,1.4999e+06,6.4711e-14,569.36,1,0.003,0.003,0.4,0
202.89,3.1627e+08,1.7,16309,7.2938e-12,0,1.4999e+06,6.426e-14,569.36,1,0.004,0.004,0.4,0
202.89,3.1627e+08,1.7,16309,6.3366e-12,0,1.4999e+06,6.3809e-14,569.36,1,0.005,0.005,0.4,0
202.89,3.1627e+08,1.7,16309,5.3793e-12,0,1.4999e+06,6.3357e-14,569.36,1,0.006,0.006,0.4,0
202.89,3.1627e+08,1.7,16309,4.4221e-12,0,1.4999e+06,6.2906e-14,569.36,1,0.007,0.007,0.4,0
202.89,3.1627e+08,1.7,16309,3.4648e-12,0,1.4999e+06,6.2455e-14,569.36,1,0.008,0.008,0.4,0
202.89,3.1627e+08,1.7,16309,2.5076e-12,0,1.4999e+06,6.2004e-14,569.36,1,0.009,0.009,0.4,0
202.89,3.1627e+08,1.7,16309,1.5503e-12,0,1.4999e+06,6.1552e-14,569.36,1,0.01,0.01,0.4,0
202.89,3.1627e+08,1.7,16309,5.9307e-13,0,1.4999e+06,6.1101e-14,569.36,1,0.011,0.011,0.4,0
202.89,3.1627e+08,1.7,16309,-3.6418e-13,0,1.4999e+06,6.065e-14,569.36,1,0.012,0.012,0.4,0
202.89,3.1627e+08,1.7,16309,-1.3214e-12,0,1.4999e+06,6.0199e-14,569.36,1,0.013,0.013,0.4,0
202.89,3.1627e+08,1.7,16309,-2.2787e-12,0,1.4999e+06,5.9747e-14,569.36,1,0.014,0.014,0.4,0
202.89,3.1627e+08,1.7,16309,-3.2359e-12,0,1.4999e+06,5.9296e-14,569.36,1,0.015,0.015,0.4,0
202.89,3.1627e+08,1.7,16309,-4.1932e-12,0,1.4999e+06,5.8845e-14,569.36,1,0.016,0.016,0.4,0
202.89,3.1627e+08,1.7,16309,-5.1504e-12,0,1.4999e+06,5.8394e-14,569.36,1,0.017,0.017,0.4,0
202.89,3.1627e+08,1.7,16309,-7.79e-12,0,1.4999e+06,5.8279e-14,569.36,1,0.018,0.018,0.4,0
202.89,3.1627e+08,1.7,16309,-1.1204e-11,0,1.4999e+06,5.8321e-14,569.36,1,0.019,0.019,0.4,0
202.89,3.1627e+08,1.7,16309,-1.4618e-11,0,1.4999e+06,5.8362e-14,569.36,1,0.02,0.02,0.4,0
202.89,3.1627e+08,1.7,16309,-1.8031e-11,0,1.4999e+06,5.8403e-14,569.36,1,0.021,0.021,0.4,0
202.89,3.1627e+08,1.7,16309,-2.1445e-11,0,1.4999e+06,5.8444e-14,569.36,1,0.022,0.022,0.4,0
202.89,3.1627e+08,1.7,16309,-2.4859e-11,0,1.4999e+06,5.8485e-14,569.36,1,0.023,0.023,0.4,0
202.89,3.1627e+08,1.7,16309,-2.8273e-11,0,1.4999e+06,5.8526e-14,569.36,1,0.024,0.024,0.4,0
202.89,3.1627e+08,1.7,16309,-3.1687e-11,0,1.4999e+06,5.8567e-14,569.36,1,0.025,0.025,0.4,0
202.89,3.1627e+08,1.7,16309,-3.5101e-11,0,1.4999e+06,5.8608e-14,569.36,1,0.026,0.026,0.4,0
202.89,3.1627e+08,1.7,16309,-3.8514e-11,0,1.4999e+06,5.8649e-14,569.36,1,0.027,0.027,0.4,0
202.89,3.1627e+08,1.7,16309,-4.1928e-11,0,1.4999e+06,5.869e-14,569.36,1,0.028,0.028,0.4,0
202.89,3.1627e+08,1.7,16309,-4.5342e-11,0,1.4999e+06,5.8732e-14,569.36,1,0.029,0.029,0.4,0
202.89,3.1627e+08,1.7,16309,-4.8756e-11,0,1.4999e+06,5.8773e-14,569.36,1,0.03,0.03,0.4,0
202.89,3.1627e+08,1.7,16309,-5.217e-11,0,1.4999e+06,5.8814e-14,569.36,1,0.031,0.031,0.4,0
202.89,3.1627e+08,1.7,16309,-5.5583e-11,0,1.4999e+06,5.8855e-14,569.36,1,0.032,0.032,0.4,0
202.89,3.1627e+08,1.7,16309,-5.8997e-11,0,1.4999e+06,5.8896e-14,569.36,1,0.033,0.033,0.4,0
202.89,3.1627e+08,1.7,16309,-6.2411e-11,0,1.4999e+06,5.8937e-14,569.36,1,0.034,0.034,0.4,0
202.89,3.1627e+08,1.7,16309,-5.5803e-11,0,1.4999e+06,5.9488e-14,569.36,1,0.035,0.035,0.4,0
202.89,3.1627e+08,1.7,16309,-3.2287e-11,0,1.4999e+06,6.0944e-14,569.36,1,0.036,0.036,0.4,0
202.89,3.1627e+08,1.7,16309,-8.7713e-12,0,1.4999e+06,6.24e-14,569.36,1,0.037,0.037,0.4,0
202.89,3.1627e+08,1.7,16309,1.4744e-11,0,1.4999e+06,6.3856e-14,569.36,1,0.038,0.038,0.4,0
202.89,3.1627e+08,1.7,16309,3.826e-11,0,1.4999e+06,6.5311e-14,569.36,1,0.039,0.039,0.4,0
202.89,3.1627e+08,1.7,16309,6.1776e-11,0,1.4999e+06,6.6767e-14,569.36,1,0.04,0.04,0.4,0
202.89,3.1627e+08,1.7,16309,8.5291e-11,0,1.4999e+06,6.8223e-14,569.36,1,0.041,0.041,0.4,0
202.89,3.1627e+08,1.7,16309,1.0881e-10,0,1.4999e+06,6.9679e-14,569.36,1,0.042,0.042,0.4,0
202.89,3.1627e+08,1.7,16309,1.3232e-10,0,1.4999e+06,7.1135e-14,569.36,1,0.043,0.043,0.4,0
202.89,3.1627e+08,1.7,16309,1.5584e-10,0,1.4999e+06,7.2591e-14,569.36,1,0.044,0.044,0.4,0
202.89,3.1627e+08,1.7,16309,1.7935e-10,0,1.4999e+06,7.4047e-14,569.36,1,0.045,0.045,0.4,0
202.89,3.1627e+08,1.7,16309,2.0287e-10,0,1.4999e+06,7.5503e-14,569.36,1,0.046,0.046,0.4,0
202.89,3.1627e+08,1.7,16309,2.2638e-10,0,1.4999e+06,7.6959e-14,569.36,1,0.047,0.047,0.4,0
202.89,3.1627e+08,1.7,16309,2.499e-10,0,1.4999e+06,7.8415e-14,569.36,1,0.048,0.048,0.4,0
202.89,3.1627e+08,1.7,16309,2.7342e-10,0,1.4999e+06,7.9871e-14,569.36,1,0.049,0.049,0.4,0
202.89,3.1627e+08,1.7,16309,2.9693e-10,0,1.4999e+06,8.1327e-14,569.36,1,0.05,0.05,0.4,0
202.89,3.1627e+08,1.7,16309,3.2045e-10,0,1.4999e+06,8.2783e-14,569.36,1,0.051,0.051,0.4,0
202.89,3.1627e+08,1.7,16309,3.291e-10,0,1.4999e+06,8.2906e-14,569.36,1,0.052,0.052,0.4,0
202.89,3.1627e+08,1.7,16309,1.408e-10,0,1.4999e+06,6.537e-14,569.36,1,0.053,0.053,0.4,0
202.89,3.1627e+08,1.7,16309,-4.7509e-11,0,1.4999e+06,4.7833e-14,569.36,1,0.054,0.054,0.4,0
202.89,3.1627e+08,1.7,16309,-2.3582e-10,0,1.4999e+06,3.0297e-14,569.36,1,0.055,0.055,0.4,0
202.89,3.1627e+08,1.7,16309,-4.2412e-10,0,1.4999e+06,1.276e-14,569.36,1,0.056,0.056,0.4,0
202.89,3.1627e+08,1.7,16309,-6.1243e-10,0,1.4999e+06,-4.776e-15,569.36,1,0.057,0.057,0.4,0
202.89,3.1627e+08,1.7,16309,-8.0074e-10,0,1.4999e+06,-2.2312e-14,569.36,1,0.058,0.058,0.4,0
202.89,3.1627e+08,1.7,16309,-9.8904e-10,0,1.4999e+06,-3.9849e-14,569.36,1,0.059,0.059,0.4,0
202.89,3.1627e+08,1.7,16309,-1.1773e-09,0,1.4999e+06,-5.7385e-14,569.36,1,0.06,0.06,0.4,0
202.89,3.1627e+08,1.7,16309,-1.3657e-09,0,1.4999e+06,-7.4922e-14,569.36,1,0.061,0.061,0.4,0
202.89,3.1627e+08,1.7,16309,-1.554e-09,0,1.4999e+06,-9.2458e-14,569.36,1,0.062,0.062,0.4,0
202.89,3.1627e+08,1.7,16309,-1.7423e-09,0,1.4999e+06,-1.0999e-13,569.36,1,0.063,0.063,0.4,0
202.89,3.1627e+08,1.7,16309,-1.9306e-09,0,1.4999e+06,-1.2753e-13,569.36,1,0.064,0.064,0.4,0
202.89,3.1627e+08,1.7,16309,-2.1189e-09,0,1.4999e+06,-1.4507e-13,569.36,1,0.065,0.065,0.4,0
202.89,3.1627e+08,1.7,16309,-2.3072e-09,0,1.4999e+06,-1.626e-13,569.36,1,0.066,0.066,0.4,0
202.89,3.1627e+08,1.7,16309,-2.4955e-09,0,1.4999e+06,-1.8014e-13,569.36,1,0.067,0.067,0.4,0
202.89,3.1627e+08,1.7,16309,-2.6838e-09,0,1.4999e+06,-1.9768e-13,569.36,1,0.068,0.068,0.4,0
202.89,3.1627e+08,1.7,16309,-2.8721e-09,0,1.4999e+06,-2.1521e-13,569.36,1,0.069,0.069,0.4,0
202.89,3.1627e+08,1.7,16309,-2.0893e-09,0,1.4999e+06,-1.4354e-13,569.36,1,0.07,0.07,0.4,0
202.89,3.1627e+08,1.7,16309,-1.0679e-09,0,1.4999e+06,-5.0178e-14,569.36,1,0.071,0.071,0.4,0
202.89,3.1627e+08,1.7,16309,-4.6431e-11,0,1.4999e+06,4.3187e-14,569.36,1,0.072,0.072,0.4,0
202.89,3.1627e+08,1.7,16309,9.7502e-10,0,1.4999e+06,1.3655e-13,569.36,1,0.073,0.073,0.4,0
202.89,3.1627e+08,1.7,16309,1.9965e-09,0,1.4999e+06,2.2992e-13,569.36,1,0.074,0.074,0.4,0
202.89,3.1627e+08,1.7,16309,3.0179e-09,0,1.4999e+06,3.2328e-13,569.36,1,0.075,0.075,0.4,0
202.89,3.1627e+08,1.7,16309,4.0393e-09,0,1.4999e+06,4.1665e-13,569.36,1,0.076,0.076,0.4,0
