,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z
0,202.89,316270000.0,1.7,16309,1.4596e-10,0,1499900.0,4.2622e-14,569.36,1,0.0,0.0,0.4,0,1.375592832261582,0.35921647817410174
1,202.89,316270000.0,1.7,16309,1.3613e-10,0,1499900.0,4.2049e-14,569.36,1,0.001,0.001,0.4,0,1.375592832261582,0.35921647817410174
2,202.89,316270000.0,1.7,16309,1.2629e-10,0,1499900.0,4.1475e-14,569.36,1,0.002,0.002,0.4,0,1.375592832261582,0.35921647817410174
3,202.89,316270000.0,1.7,16309,1.1645e-10,0,1499900.0,4.0901e-14,569.36,1,0.003,0.003,0.4,0,1.375592832261582,0.35921647817410174
4,202.89,316270000.0,1.7,16309,1.0662e-10,0,1499900.0,4.0328e-14,569.36,1,0.004,0.004,0.4,0,1.375592832261582,0.35921647817410174
5,202.89,316270000.0,1.7,16309,9.6778e-11,0,1499900.0,3.9754e-14,569.36,1,0.005,0.005,0.4,0,1.375592832261582,0.35921647817410174
6,202.89,316270000.0,1.7,16309,8.6941e-11,0,1499900.0,3.918e-14,569.36,1,0.006,0.006,0.4,0,1.375592832261582,0.35921647817410174
7,202.89,316270000.0,1.7,16309,7.7104e-11,0,1499900.0,3.8607e-14,569.36,1,0.007,0.007,0.4,0,1.375592832261582,0.35921647817410174
8,202.89,316270000.0,1.7,16309,6.7267e-11,0,1499900.0,3.8033e-14,569.36,1,0.008,0.008,0.4,0,1.375592832261582,0.35921647817410174
9,202.89,316270000.0,1.7,16309,5.7429e-11,0,1499900.0,3.7459e-14,569.36,1,0.009,0.009,0.4,0,1.375592832261582,0.35921647817410174
10,202.89,316270000.0,1.7,16309,4.7592e-11,0,1499900.0,3.6886e-14,569.36,1,0.01,0.01,0.4,0,1.375592832261582,0.35921647817410174
11,202.89,316270000.0,1.7,16309,3.7755e-11,0,1499900.0,3.6312e-14,569.36,1,0.011,0.011,0.4,0,1.375592832261582,0.35921647817410174
12,202.89,316270000.0,1.7,16309,2.7918e-11,0,1499900.0,3.5738e-14,569.36,1,0.012,0.012,0.4,0,1.375592832261582,0.35921647817410174
13,202.89,316270000.0,1.7,16309,1.808e-11,0,1499900.0,3.5164e-14,569.36,1,0.013,0.013,0.4,0,1.375592832261582,0.35921647817410174
14,202.89,316270000.0,1.7,16309,8.243e-12,0,1499900.0,3.4591e-14,569.36,1,0.014,0.014,0.4,0,1.375592832261582,0.35921647817410174
15,202.89,316270000.0,1.7,16309,-1.5942e-12,0,1499900.0,3.4017e-14,569.36,1,0.015,0.015,0.4,0,1.375592832261582,0.35921647817410174
16,202.89,316270000.0,1.7,16309,-1.1431e-11,0,1499900.0,3.3443e-14,569.36,1,0.016,0.016,0.4,0,1.375592832261582,0.35921647817410174
17,202.89,316270000.0,1.7,16309,-2.1269e-11,0,1499900.0,3.287e-14,569.36,1,0.017,0.017,0.4,0,1.375592832261582,0.35921647817410174
18,202.89,316270000.0,1.7,16309,-2.0366e-11,0,1499900.0,3.6989e-14,569.36,1,0.018,0.018,0.4,0,1.375592832261582,0.35921647817410174
19,202.89,316270000.0,1.7,16309,-1.4337e-11,0,1499900.0,4.3349e-14,569.36,1,0.019,0.019,0.4,0,1.375592832261582,0.35921647817410174
20,202.89,316270000.0,1.7,16309,-8.3084e-12,0,1499900.0,4.9709e-14,569.36,1,0.02,0.02,0.4,0,1.375592832261582,0.35921647817410174
21,202.89,316270000.0,1.7,16309,-2.2796e-12,0,1499900.0,5.6069e-14,569.36,1,0.021,0.021,0.4,0,1.375592832261582,0.35921647817410174
22,202.89,316270000.0,1.7,16309,3.7492e-12,0,1499900.0,6.2428e-14,569.36,1,0.022,0.022,0.4,0,1.375592832261582,0.35921647817410174
23,202.89,316270000.0,1.7,16309,9.7781e-12,0,1499900.0,6.8788e-14,569.36,1,0.023,0.023,0.4,0,1.375592832261582,0.35921647817410174
24,202.89,316270000.0,1.7,16309,1.5807e-11,0,1499900.0,7.5148e-14,569.36,1,0.024,0.024,0.4,0,1.375592832261582,0.35921647817410174
25,202.89,316270000.0,1.7,16309,2.1836e-11,0,1499900.0,8.1508e-14,569.36,1,0.025,0.025,0.4,0,1.375592832261582,0.35921647817410174
26,202.89,316270000.0,1.7,16309,2.7864e-11,0,1499900.0,8.7867e-14,569.36,1,0.026,0.026,0.4,0,1.375592832261582,0.35921647817410174
27,202.89,316270000.0,1.7,16309,3.3893e-11,0,1499900.0,9.4227e-14,569.36,1,0.027,0.027,0.4,0,1.375592832261582,0.35921647817410174
