"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
202.89,3.2177e+08,1.7,12915,-0.0019185,0,1.4999e+06,-2.0082e-06,571.71,1,0,0,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0020985,0,1.4999e+06,-2.0835e-06,571.71,1,0.001,0.001,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0022784,0,1.4999e+06,-2.1588e-06,571.71,1,0.002,0.002,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0024583,0,1.4999e+06,-2.2341e-06,571.71,1,0.003,0.003,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0026383,0,1.4999e+06,-2.3094e-06,571.71,1,0.004,0.004,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0028182,0,1.4999e+06,-2.3847e-06,571.71,1,0.005,0.005,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0029981,0,1.4999e+06,-2.4599e-06,571.71,1,0.006,0.006,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0031781,0,1.4999e+06,-2.5352e-06,571.71,1,0.007,0.007,0.4,0
202.89,3.2177e+08,1.7,12915,-0.003358,0,1.4999e+06,-2.6105e-06,571.71,1,0.008,0.008,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0035379,0,1.4999e+06,-2.6858e-06,571.71,1,0.009,0.009,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0037179,0,1.4999e+06,-2.7611e-06,571.71,1,0.01,0.01,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0038978,0,1.4999e+06,-2.8364e-06,571.71,1,0.011,0.011,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0040777,0,1.4999e+06,-2.9116e-06,571.71,1,0.012,0.012,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0042577,0,1.4999e+06,-2.9869e-06,571.71,1,0.013,0.013,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0044376,0,1.4999e+06,-3.0622e-06,571.71,1,0.014,0.014,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0046175,0,1.4999e+06,-3.1375e-06,571.71,1,0.015,0.015,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0047975,0,1.4999e+06,-3.2128e-06,571.71,1,0.016,0.016,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0049774,0,1.4999e+06,-3.288e-06,571.71,1,0.017,0.017,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0052403,0,1.4999e+06,-3.3957e-06,571.71,1,0.018,0.018,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0055414,0,1.4999e+06,-3.5181e-06,571.71,1,0.019,0.019,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0058426,0,1.4999e+06,-3.6406e-06,571.71,1,0.02,0.02,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0061437,0,1.4999e+06,-3.7631e-06,571.71,1,0.021,0.021,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0064448,0,1.4999e+06,-3.8856e-06,571.71,1,0.022,0.022,0.4,0
202.89,3.2177e+08,1.7,12915,-0.006746,0,1.4999e+06,-4.0081e-06,571.71,1,0.023,0.023,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0070471,0,1.4999e+06,-4.1306e-06,571.71,1,0.024,0.024,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0073482,0,1.4999e+06,-4.253e-06,571.71,1,0.025,0.025,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0076494,0,1.4999e+06,-4.3755e-06,571.71,1,0.026,0.026,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0079505,0,1.4999e+06,-4.498e-06,571.71,1,0.027,0.027,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0082516,0,1.4999e+06,-4.6205e-06,571.71,1,0.028,0.028,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0085527,0,1.4999e+06,-4.743e-06,571.71,1,0.029,0.029,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0088539,0,1.4999e+06,-4.8654e-06,571.71,1,0.03,0.03,0.4,0
202.89,3.2177e+08,1.7,12915,-0.009155,0,1.4999e+06,-4.9879e-06,571.71,1,0.031,0.031,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0094561,0,1.4999e+06,-5.1104e-06,571.71,1,0.032,0.032,0.4,0
202.89,3.2177e+08,1.7,12915,-0.0097573,0,1.4999e+06,-5.2329e-06,571.71,1,0.033,0.033,0.4,0
202.89,3.2177e+08,1.7,12915,-0.010058,0,1.4999e+06,-5.3554e-06,571.71,1,0.034,0.034,0.4,0
202.89,3.2177e+08,1.7,12915,-0.010435,0,1.4999e+06,-5.5075e-06,571.71,1,0.035,0.035,0.4,0
202.89,3.2177e+08,1.7,12915,-0.010936,0,1.4999e+06,-5.708e-06,571.71,1,0.036,0.036,0.4,0
202.89,3.2177e+08,1.7,12915,-0.011437,0,1.4999e+06,-5.9084e-06,571.71,1,0.037,0.037,0.4,0
202.89,3.2177e+08,1.7,12915,-0.011937,0,1.4999e+06,-6.1089e-06,571.71,1,0.038,0.038,0.4,0
202.89,3.2177e+08,1.7,12915,-0.012438,0,1.4999e+06,-6.3094e-06,571.71,1,0.039,0.039,0.4,0
