,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G
0,202.89,321770000.0,1.7,12915.0,1.5957e-11,0,1499900.0,-6.7968e-15,571.71,1,0.0,0.0,0.4,0,0.7577617356292932
1,202.89,321770000.0,1.7,12915.0,1.5433e-11,0,1499900.0,-6.9927e-15,571.71,1,0.001,0.001,0.4,0,0.7577617356292932
2,202.89,321770000.0,1.7,12915.0,1.4909e-11,0,1499900.0,-7.1886e-15,571.71,1,0.002,0.002,0.4,0,0.7577617356292932
3,202.89,321770000.0,1.7,12915.0,1.4385e-11,0,1499900.0,-7.3845e-15,571.71,1,0.003,0.003,0.4,0,0.7577617356292932
4,202.89,321770000.0,1.7,12915.0,1.3861e-11,0,1499900.0,-7.5804e-15,571.71,1,0.004,0.004,0.4,0,0.7577617356292932
5,202.89,321770000.0,1.7,12915.0,1.3337e-11,0,1499900.0,-7.7763e-15,571.71,1,0.005,0.005,0.4,0,0.7577617356292932
6,202.89,321770000.0,1.7,12915.0,1.2814e-11,0,1499900.0,-7.9722e-15,571.71,1,0.006,0.006,0.4,0,0.7577617356292932
7,202.89,321770000.0,1.7,12915.0,1.229e-11,0,1499900.0,-8.1681e-15,571.71,1,0.007,0.007,0.4,0,0.7577617356292932
8,202.89,321770000.0,1.7,12915.0,1.1766e-11,0,1499900.0,-8.364e-15,571.71,1,0.008,0.008,0.4,0,0.7577617356292932
9,202.89,321770000.0,1.7,12915.0,1.1242e-11,0,1499900.0,-8.5599e-15,571.71,1,0.009,0.009,0.4,0,0.7577617356292932
10,202.89,321770000.0,1.7,12915.0,1.0718e-11,0,1499900.0,-8.7558e-15,571.71,1,0.01,0.01,0.4,0,0.7577617356292932
11,202.89,321770000.0,1.7,12915.0,1.0194e-11,0,1499900.0,-8.9517e-15,571.71,1,0.011,0.011,0.4,0,0.7577617356292932
12,202.89,321770000.0,1.7,12915.0,9.6703e-12,0,1499900.0,-9.1476e-15,571.71,1,0.012,0.012,0.4,0,0.7577617356292932
13,202.89,321770000.0,1.7,12915.0,9.1464e-12,0,1499900.0,-9.3435e-15,571.71,1,0.013,0.013,0.4,0,0.7577617356292932
14,202.89,321770000.0,1.7,12915.0,8.6225e-12,0,1499900.0,-9.5394e-15,571.71,1,0.014,0.014,0.4,0,0.7577617356292932
15,202.89,321770000.0,1.7,12915.0,8.0986e-12,0,1499900.0,-9.7353e-15,571.71,1,0.015,0.015,0.4,0,0.7577617356292932
16,202.89,321770000.0,1.7,12915.0,7.5747e-12,0,1499900.0,-9.9312e-15,571.71,1,0.016,0.016,0.4,0,0.7577617356292932
17,202.89,321770000.0,1.7,12915.0,7.0508e-12,0,1499900.0,-1.0127e-14,571.71,1,0.017,0.017,0.4,0,0.7577617356292932
18,202.89,321770000.0,1.7,12915.0,6.6355e-12,0,1499900.0,-1.0234e-14,571.71,1,0.018,0.018,0.4,0,0.7577617356292932
19,202.89,321770000.0,1.7,12915.0,6.2705e-12,0,1499900.0,-1.0299e-14,571.71,1,0.019,0.019,0.4,0,0.7577617356292932
20,202.89,321770000.0,1.7,12915.0,5.9055e-12,0,1499900.0,-1.0364e-14,571.71,1,0.02,0.02,0.4,0,0.7577617356292932
21,202.89,321770000.0,1.7,12915.0,5.5405e-12,0,1499900.0,-1.0429e-14,571.71,1,0.021,0.021,0.4,0,0.7577617356292932
22,202.89,321770000.0,1.7,12915.0,5.1755e-12,0,1499900.0,-1.0494e-14,571.71,1,0.022,0.022,0.4,0,0.7577617356292932
23,202.89,321770000.0,1.7,12915.0,4.8105e-12,0,1499900.0,-1.0559e-14,571.71,1,0.023,0.023,0.4,0,0.7577617356292932
24,202.89,321770000.0,1.7,12915.0,4.4455e-12,0,1499900.0,-1.0624e-14,571.71,1,0.024,0.024,0.4,0,0.7577617356292932
25,202.89,321770000.0,1.7,12915.0,4.0805e-12,0,1499900.0,-1.0689e-14,571.71,1,0.025,0.025,0.4,0,0.7577617356292932
26,202.89,321770000.0,1.7,12915.0,3.7155e-12,0,1499900.0,-1.0754e-14,571.71,1,0.026,0.026,0.4,0,0.7577617356292932
27,202.89,321770000.0,1.7,12915.0,3.3505e-12,0,1499900.0,-1.0819e-14,571.71,1,0.027,0.027,0.4,0,0.7577617356292932
28,202.89,321770000.0,1.7,12915.0,2.9855e-12,0,1499900.0,-1.0884e-14,571.71,1,0.028,0.028,0.4,0,0.7577617356292932
29,202.89,321770000.0,1.7,12915.0,2.6205e-12,0,1499900.0,-1.0949e-14,571.71,1,0.029,0.029,0.4,0,0.7577617356292932
30,202.89,321770000.0,1.7,12915.0,2.2555e-12,0,1499900.0,-1.1014e-14,571.71,1,0.03,0.03,0.4,0,0.7577617356292932
