"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.2485060591,       1.752998804,       1.327844594,       5.339759641
          0,           0,           1,     -0.2563183253,       1.744787538,         1.3261252,       5.331964637
          0,           0,           2,     -0.2645972283,       1.737484123,       1.333026282,       5.322469808
          0,           0,           3,     -0.2799574991,       1.719456798,       1.328644086,       5.309820532
          0,           0,           4,     -0.2936404992,       1.715827268,       1.365633029,       5.304224003
          0,           0,           5,     -0.3332477394,       1.666553055,       1.363932214,       5.275647877
          0,           0,           6,     -0.3690431303,       1.626645999,       1.400402806,       5.261913948
          0,           0,           7,     -0.3765924934,       1.643633764,       1.415596433,       5.289076117
          0,           0,           8,     -0.3746070023,       1.625660401,       1.390182399,       5.307311007
          0,           0,           9,     -0.4329194544,       1.599112402,        1.37575923,       5.256589193
          0,           0,          10,     -0.4965281425,        1.59145178,       1.330692636,       5.206376617
          0,           0,          11,     -0.4985757212,       1.582250953,       1.320979648,       5.184903556
          0,           0,          12,     -0.5430376456,       1.516291681,       1.286322413,       5.136719136
          0,           0,          13,     -0.6298942807,       1.420181565,       1.204303411,       5.063381002
          0,           0,          14,     -0.6326754372,       1.389439447,        1.20554531,       5.062224684
          0,           0,          15,     -0.7624445237,       1.350532734,        1.20228246,       4.992975767
          0,           0,          16,     -0.6549648807,       1.462534966,       1.197176975,       5.109867488
          0,           0,          17,     -0.5422516005,       1.544927585,        1.26242925,       5.184043046
          0,           0,          18,     -0.6234050959,       1.520958769,       1.288414821,       5.137631428
          0,           0,          19,     -0.6380688146,       1.470797197,       1.250591701,       5.096871643
          0,           0,          20,      -0.677882544,       1.497482226,        1.24916867,       5.114843012
          0,           0,          21,     -0.6067504339,       1.505436188,       1.236116429,       5.128540467
          0,           0,          22,     -0.5809498395,        1.46535661,       1.244734527,       5.092181558
          0,           0,          23,     -0.6430294874,       1.491366461,       1.258261743,       5.125317277
          0,           0,          24,      -0.674230269,       1.449675333,        1.23589014,       5.060667424
          0,           0,          25,     -0.6141186637,       1.508266772,       1.244117466,       5.133355052
          0,           0,          26,     -0.6004399279,       1.516454013,       1.253662193,       5.119790418
          0,           0,          27,     -0.5731611587,       1.554829709,       1.239143037,        5.17271778
          0,           0,          28,     -0.5847858872,       1.526058516,       1.240533104,       5.158326051
          0,           0,          29,      -0.633309755,       1.496393578,       1.251595848,       5.120850771
          0,           0,          30,     -0.6142982945,       1.552767602,       1.301164011,       5.167685062
          0,           0,          31,     -0.6029431594,       1.559305872,       1.295528418,        5.16800364
          0,           0,          32,     -0.6194265821,       1.546018404,       1.266075832,       5.138711157
          0,           0,          33,     -0.6215204135,       1.527130487,       1.271888904,       5.150904533
          0,           0,          34,     -0.7084467446,       1.402409675,       1.266643207,       5.050678724
          0,           0,          35,     -0.6612646643,       1.447279786,       1.188599778,       5.072065842
          0,           0,          36,     -0.6327770527,       1.491431408,       1.225353012,       5.137436592
          0,           0,          37,     -0.6199249618,       1.527204133,        1.27919752,       5.114652949
          0,           0,          38,     -0.6180726902,       1.462151201,       1.215626574,       5.069382968
          0,           0,          39,     -0.6168740317,       1.495936616,       1.247254959,        5.11725638
          0,           0,          40,     -0.5698754368,       1.520200497,       1.226307007,       5.124682957
          0,           0,          41,     -0.5313401556,       1.606372043,       1.280020441,       5.200079596
          0,           0,          42,     -0.5927992615,       1.549783299,       1.277672649,       5.146948431
          0,           0,          43,     -0.6360372666,       1.507560013,       1.234750847,       5.125696476
          0,           0,          44,     -0.6465674063,       1.474784817,       1.216516124,       5.110527416
          0,           0,          45,       -0.58275339,        1.53173571,       1.246326298,       5.148580301
          0,           0,          46,     -0.5793133708,       1.541266633,       1.246488396,       5.167619575
          0,           0,          47,     -0.6429406151,       1.529808061,       1.285649759,       5.125384659
          0,           0,          48,      -0.643167812,       1.483806072,       1.274274671,       5.111018157
          0,           0,          49,     -0.6664183954,        1.46988217,       1.281171946,       5.127844272
          0,           0,          50,     -0.6610424045,       1.502549125,       1.255144951,       5.106338203
          0,           0,          51,     -0.5772837974,       1.557928876,       1.246954033,       5.146314292
          0,           0,          52,     -0.6502846187,        1.49700008,       1.230196584,       5.117393713
          0,           0,          53,     -0.6420772646,       1.506401633,       1.275138629,       5.109071732
          0,           0,          54,     -0.6758209639,       1.478286201,       1.231205204,       5.116581869
          0,           0,          55,     -0.6201185125,       1.521683225,       1.285945696,        5.12454852
          0,           0,          56,     -0.6560308048,       1.511558891,       1.287289851,       5.105858785
          0,           0,          57,      -0.589434981,       1.548038313,       1.273332665,       5.151341169
          0,           0,          58,     -0.6114986985,       1.539236649,       1.265370181,       5.166503878
          0,           0,          59,     -0.5955552762,       1.545428219,       1.300359333,       5.145251043
          0,           0,          60,     -0.5818273504,       1.531682521,       1.237942976,       5.130395903
          0,           0,          61,     -0.5812624819,       1.543805367,       1.265560464,       5.153828274
