"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
202.89,7.5001e+07,1.7,17306,1.4817e-11,0,1.4999e+06,4.4164e-15,569.84,1,0,0,0.4,0
202.89,7.5001e+07,1.7,17306,1.4442e-11,0,1.4999e+06,4.1886e-15,569.84,1,0.001,0.001,0.4,0
202.89,7.5001e+07,1.7,17306,1.4067e-11,0,1.4999e+06,3.9608e-15,569.84,1,0.002,0.002,0.4,0
202.89,7.5001e+07,1.7,17306,1.3692e-11,0,1.4999e+06,3.733e-15,569.84,1,0.003,0.003,0.4,0
202.89,7.5001e+07,1.7,17306,1.3317e-11,0,1.4999e+06,3.5052e-15,569.84,1,0.004,0.004,0.4,0
202.89,7.5001e+07,1.7,17306,1.2942e-11,0,1.4999e+06,3.2774e-15,569.84,1,0.005,0.005,0.4,0
202.89,7.5001e+07,1.7,17306,1.2567e-11,0,1.4999e+06,3.0497e-15,569.84,1,0.006,0.006,0.4,0
202.89,7.5001e+07,1.7,17306,1.2192e-11,0,1.4999e+06,2.8219e-15,569.84,1,0.007,0.007,0.4,0
202.89,7.5001e+07,1.7,17306,1.1817e-11,0,1.4999e+06,2.5941e-15,569.84,1,0.008,0.008,0.4,0
202.89,7.5001e+07,1.7,17306,1.1442e-11,0,1.4999e+06,2.3663e-15,569.84,1,0.009,0.009,0.4,0
202.89,7.5001e+07,1.7,17306,1.1067e-11,0,1.4999e+06,2.1385e-15,569.84,1,0.01,0.01,0.4,0
202.89,7.5001e+07,1.7,17306,1.0692e-11,0,1.4999e+06,1.9107e-15,569.84,1,0.011,0.011,0.4,0
202.89,7.5001e+07,1.7,17306,1.0317e-11,0,1.4999e+06,1.6829e-15,569.84,1,0.012,0.012,0.4,0
202.89,7.5001e+07,1.7,17306,9.942e-12,0,1.4999e+06,1.4551e-15,569.84,1,0.013,0.013,0.4,0
202.89,7.5001e+07,1.7,17306,9.567e-12,0,1.4999e+06,1.2273e-15,569.84,1,0.014,0.014,0.4,0
202.89,7.5001e+07,1.7,17306,9.192e-12,0,1.4999e+06,9.9956e-16,569.84,1,0.015,0.015,0.4,0
202.89,7.5001e+07,1.7,17306,8.817e-12,0,1.4999e+06,7.7177e-16,569.84,1,0.016,0.016,0.4,0
202.89,7.5001e+07,1.7,17306,8.442e-12,0,1.4999e+06,5.4398e-16,569.84,1,0.017,0.017,0.4,0
202.89,7.5001e+07,1.7,17306,7.4497e-12,0,1.4999e+06,4.0325e-16,569.84,1,0.018,0.018,0.4,0
202.89,7.5001e+07,1.7,17306,6.1708e-12,0,1.4999e+06,3.0291e-16,569.84,1,0.019,0.019,0.4,0
202.89,7.5001e+07,1.7,17306,4.8919e-12,0,1.4999e+06,2.0257e-16,569.84,1,0.02,0.02,0.4,0
202.89,7.5001e+07,1.7,17306,3.613e-12,0,1.4999e+06,1.0223e-16,569.84,1,0.021,0.021,0.4,0
202.89,7.5001e+07,1.7,17306,2.3341e-12,0,1.4999e+06,1.8875e-18,569.84,1,0.022,0.022,0.4,0
202.89,7.5001e+07,1.7,17306,1.0552e-12,0,1.4999e+06,-9.8452e-17,569.84,1,0.023,0.023,0.4,0
202.89,7.5001e+07,1.7,17306,-2.2367e-13,0,1.4999e+06,-1.9879e-16,569.84,1,0.024,0.024,0.4,0
202.89,7.5001e+07,1.7,17306,-1.5026e-12,0,1.4999e+06,-2.9913e-16,569.84,1,0.025,0.025,0.4,0
202.89,7.5001e+07,1.7,17306,-2.7814e-12,0,1.4999e+06,-3.9947e-16,569.84,1,0.026,0.026,0.4,0
202.89,7.5001e+07,1.7,17306,-4.0603e-12,0,1.4999e+06,-4.9981e-16,569.84,1,0.027,0.027,0.4,0
202.89,7.5001e+07,1.7,17306,-5.3392e-12,0,1.4999e+06,-6.0015e-16,569.84,1,0.028,0.028,0.4,0
202.89,7.5001e+07,1.7,17306,-6.6181e-12,0,1.4999e+06,-7.0049e-16,569.84,1,0.029,0.029,0.4,0
202.89,7.5001e+07,1.7,17306,-7.897e-12,0,1.4999e+06,-8.0083e-16,569.84,1,0.03,0.03,0.4,0
202.89,7.5001e+07,1.7,17306,-9.1759e-12,0,1.4999e+06,-9.0117e-16,569.84,1,0.031,0.031,0.4,0
202.89,7.5001e+07,1.7,17306,-1.0455e-11,0,1.4999e+06,-1.0015e-15,569.84,1,0.032,0.032,0.4,0
202.89,7.5001e+07,1.7,17306,-1.1734e-11,0,1.4999e+06,-1.1019e-15,569.84,1,0.033,0.033,0.4,0
202.89,7.5001e+07,1.7,17306,-1.3013e-11,0,1.4999e+06,-1.2022e-15,569.84,1,0.034,0.034,0.4,0
202.89,7.5001e+07,1.7,17306,-1.3198e-11,0,1.4999e+06,-1.1592e-15,569.84,1,0.035,0.035,0.4,0
202.89,7.5001e+07,1.7,17306,-1.1849e-11,0,1.4999e+06,-8.6784e-16,569.84,1,0.036,0.036,0.4,0
202.89,7.5001e+07,1.7,17306,-1.0499e-11,0,1.4999e+06,-5.7644e-16,569.84,1,0.037,0.037,0.4,0
202.89,7.5001e+07,1.7,17306,-9.1502e-12,0,1.4999e+06,-2.8505e-16,569.84,1,0.038,0.038,0.4,0
202.89,7.5001e+07,1.7,17306,-7.8008e-12,0,1.4999e+06,6.3399e-18,569.84,1,0.039,0.039,0.4,0
202.89,7.5001e+07,1.7,17306,-6.4515e-12,0,1.4999e+06,2.9773e-16,569.84,1,0.04,0.04,0.4,0
