"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.1216539886,       1.765577924,       1.413487402,       5.476708463
          0,           0,           1,     -0.2035203287,       1.700518006,       1.349253901,       5.388237589
          0,           0,           2,     -0.2759245347,       1.646795886,       1.298430709,       5.326844721
          0,           0,           3,      -0.338385652,       1.602442931,       1.266175235,       5.266369551
          0,           0,           4,     -0.3903791994,       1.567257502,       1.242056027,       5.214674135
          0,           0,           5,      -0.432762738,       1.539206821,       1.229874876,       5.178410092
          0,           0,           6,     -0.4667893475,       1.517029294,       1.222366836,         5.1369717
          0,           0,           7,      -0.493432975,       1.500065313,       1.218339886,       5.141855162
          0,           0,           8,     -0.5139988853,         1.4868416,       1.216645383,       5.104849436
          0,           0,           9,     -0.5294994673,       1.476438087,       1.216534435,       5.092276782
          0,           0,          10,     -0.5410307199,       1.468824848,       1.216936636,       5.067245033
          0,           0,          11,     -0.5497968829,       1.460445344,       1.212768241,       5.094058745
          0,           0,          12,     -0.5563993039,       1.452640966,       1.208146436,        5.06262917
          0,           0,          13,     -0.5611816105,       1.447605675,       1.206032683,       5.062323512
          0,           0,          14,     -0.5645352407,       1.443731089,       1.204574004,       5.063435298
          0,           0,          15,     -0.5668222636,       1.441493928,       1.203855292,       5.040404273
          0,           0,          16,     -0.5681335174,       1.436691355,       1.199646085,        5.01839328
          0,           0,          17,     -0.5683730651,       1.433521186,       1.197834899,       5.051672778
          0,           0,          18,     -0.5678311553,       1.433963411,       1.199566457,       5.044365284
          0,           0,          19,     -0.5669911977,       1.431055124,       1.193335665,       5.063358863
          0,           0,          20,     -0.5659044106,       1.432870359,       1.190893775,       5.073299655
          0,           0,          21,     -0.5646395101,        1.43073073,         1.1865701,       5.031986043
          0,           0,          22,     -0.5632798629,        1.42850448,       1.182808206,       5.041904614
          0,           0,          23,     -0.5620110292,       1.426073966,       1.174994604,       5.029863369
          0,           0,          24,     -0.5608253662,       1.423612923,       1.171994231,       5.026387151
          0,           0,          25,     -0.5590427714,       1.422698836,       1.171964761,       5.020900653
          0,           0,          26,     -0.5570963878,       1.421792019,       1.166391706,       5.024319414
          0,           0,          27,     -0.5546234628,        1.42336436,       1.168592524,        5.07492208
