"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.3523760845,       2.319300713,       1.764754667,       5.928789398
          0,           0,           1,      0.2680163683,       2.235590681,       1.752319797,        5.84418105
          0,           0,           2,     0.05611978294,       2.044894688,       1.749262132,       5.632073305
          0,           0,           3,    -0.09870114267,       1.893352077,       1.610181262,        5.47738252
          0,           0,           4,     -0.2302789067,       1.750519523,       1.400580178,       5.345578714
          0,           0,           5,     -0.4117774739,       1.561029915,       1.235043476,       5.163923397
          0,           0,           6,     -0.6063848319,       1.342374898,       1.055858246,       4.968772855
          0,           0,           7,     -0.8141217179,       1.090071982,      0.8361240733,       4.759939683
          0,           0,           8,     -0.8587866312,       1.011286823,      0.7943957235,       4.714852258
          0,           0,           9,      -0.894677079,      0.9588686224,      0.7444119834,       4.678622193
          0,           0,          10,     -0.9538201927,      0.8859933794,      0.6551033818,       4.618980917
          0,           0,          11,      -1.033065912,       0.826720531,      0.5195700241,       4.539483119
          0,           0,          12,      -1.057934859,      0.8993115812,      0.4548118948,       4.515963765
          0,           0,          13,      -1.241154753,      0.5482205775,      0.2011628923,       4.330107575
          0,           0,          14,      -1.293818272,      0.4423270805,     0.09189139924,       4.276790237
          0,           0,          15,      -1.323428222,      0.5027466037,     0.07832202948,        4.24783916
          0,           0,          16,      -1.289348392,      0.6783082991,      0.1985312724,       4.284359324
          0,           0,          17,      -1.256589532,      0.7721473306,       0.284804787,        4.31878279
          0,           0,          18,      -1.391762006,      0.6583067376,      0.1822879624,       4.184129537
          0,           0,          19,      -1.739942927,      0.3207463186,     -0.1403445041,       3.836109811
          0,           0,          20,      -2.270762764,     -0.2039852886,      -0.666117516,       3.305354797
          0,           0,          21,      -2.928723651,     -0.8589971056,      -1.332114558,       2.647421397
          0,           0,          22,      -3.658947181,      -1.588185198,      -2.067894718,       1.917206319
          0,           0,          23,      -4.429339386,       -2.35833949,      -2.839869717,       1.146814095
          0,           0,          24,      -5.221672029,      -3.150669596,       -3.63243353,       0.354479277
          0,           0,          25,      -6.025451703,      -3.954482818,      -4.436183041,     -0.4493021714
          0,           0,          26,      -6.835068958,      -4.764124101,      -5.245756044,      -1.258920449
          0,           0,          27,      -7.647649654,      -5.576716912,      -6.058310393,      -2.071501648
          0,           0,          28,      -8.461745769,      -6.390817663,       -6.87239369,      -2.885597982
          0,           0,          29,      -9.276631756,      -7.205704523,      -7.687275016,      -3.700483912
          0,           0,          30,      -10.09192913,      -8.020999648,      -8.502549839,      -4.515781578
          0,           0,          31,      -10.90751175,      -8.836554422,      -9.317932509,      -5.331364968
          0,           0,          32,      -11.72309959,      -9.650957705,      -10.12404706,      -6.146875893
          0,           0,          33,      -12.53655325,       -10.4195031,      -10.70433646,      -6.957278186
          0,           0,          34,      -13.21786669,      -10.75142615,      -10.79021703,      -7.580665307
          0,           0,          35,      -13.38091937,      -10.76481114,       -10.7855748,      -7.687877059
          0,           0,          36,      -13.39238216,       -10.7644315,      -10.79165074,      -7.695498436
          0,           0,          37,      -13.39304577,      -10.76572368,      -10.78804949,      -7.697484262
          0,           0,          38,      -13.36577303,       -10.7626438,      -10.78589186,      -7.685193931
          0,           0,          39,      -13.41609337,       -10.7646396,      -10.79197783,      -7.711891715
          0,           0,          40,       -13.3353269,       -10.7723421,       -10.8224146,      -7.665942637
          0,           0,          41,      -13.39706986,      -10.76375968,      -10.80864541,      -7.701219991
          0,           0,          42,      -13.41081226,      -10.77003992,       -10.8018157,      -7.706754855
          0,           0,          43,       -13.4167862,      -10.76612954,       -10.8020765,      -7.707645181
          0,           0,          44,      -13.21709437,      -10.76753248,      -10.83481247,      -7.580594017
          0,           0,          45,       -13.3367494,      -10.76906886,      -10.81776903,      -7.665057159
          0,           0,          46,      -13.39311556,      -10.76840191,      -10.81050096,      -7.699922731
          0,           0,          47,      -13.41855727,      -10.76246119,      -10.80257796,      -7.713622339
          0,           0,          48,      -13.42047998,      -10.76668976,      -10.80674718,      -7.715950708
          0,           0,          49,       -13.2782247,      -10.77115223,       -10.8259989,      -7.627652725
          0,           0,          50,       -13.3813871,      -10.77101198,      -10.81467873,      -7.693179915
          0,           0,          51,      -13.41566737,       -10.7692069,      -10.80798696,      -7.713659422
          0,           0,          52,      -13.43195765,      -10.76746885,      -10.79545723,      -7.720985289
          0,           0,          53,      -13.25099723,      -10.76616144,      -10.82512766,      -7.607429268
          0,           0,          54,      -13.35710427,      -10.76256836,      -10.81113437,      -7.671537303
          0,           0,          55,       -13.3904823,      -10.76511105,      -10.80482522,      -7.695941864
          0,           0,          56,      -13.41602398,      -10.76857973,      -10.79755931,      -7.707748107
          0,           0,          57,      -13.22109885,      -10.77592338,       -10.8356975,      -7.587250123
          0,           0,          58,      -13.33453517,      -10.76970604,      -10.81704292,      -7.660952922
          0,           0,          59,      -13.40218861,      -10.76973396,      -10.81136911,      -7.700157141
          0,           0,          60,      -13.41627368,      -10.77087519,      -10.80488738,      -7.711985924
          0,           0,          61,      -13.40136087,      -10.76905022,      -10.80148957,      -7.703169424
          0,           0,          62,      -13.28812551,      -10.76679848,       -10.8264766,       -7.63298198
          0,           0,          63,      -13.38028823,      -10.77135506,      -10.81564969,       -7.69084757
          0,           0,          64,      -13.39582431,      -10.77613595,      -10.80608486,      -7.696682706
          0,           0,          65,      -13.40064844,      -10.76916292,      -10.80347222,      -7.700493661
          0,           0,          66,      -13.25590397,      -10.77570222,      -10.83715784,      -7.612637561
          0,           0,          67,      -13.36722714,      -10.77067976,      -10.81862189,      -7.683306024
          0,           0,          68,       -13.3940772,      -10.77188201,      -10.80407484,       -7.70092747
          0,           0,          69,      -13.41092489,       -10.7702205,      -10.80188791,      -7.708832689
          0,           0,          70,      -13.40592022,      -10.76322067,      -10.80074856,      -7.704347739
          0,           0,          71,      -13.22077732,      -10.77281706,      -10.83417833,       -7.58630733
          0,           0,          72,      -13.33881564,      -10.77012002,      -10.82110374,      -7.667464285
          0,           0,          73,       -13.4115614,      -10.77833963,      -10.81704046,      -7.708922722
          0,           0,          74,      -13.42295956,      -10.77762436,      -10.80768806,      -7.713993531
          0,           0,          75,      -13.42176027,       -10.7697514,      -10.80271363,      -7.715097115
          0,           0,          76,      -13.28726664,      -10.77313558,      -10.82410806,      -7.633448839
          0,           0,          77,      -13.37361718,      -10.77086556,      -10.81148724,      -7.685932028
          0,           0,          78,       -13.4093256,      -10.77098347,      -10.80955453,      -7.707929466
          0,           0,          79,       -13.4151655,      -10.76677014,      -10.80371649,      -7.712174604
          0,           0,          80,      -13.25433195,      -10.76957315,      -10.82964358,      -7.611872225
          0,           0,          81,      -13.37333271,       -10.7733167,      -10.82068756,       -7.68881302
          0,           0,          82,      -13.40134257,      -10.76500373,      -10.80712744,      -7.702546483
          0,           0,          83,      -13.41931325,      -10.77063114,      -10.80579096,      -7.712820901
          0,           0,          84,      -13.23154874,      -10.77191992,      -10.83328124,      -7.596414718
          0,           0,          85,      -13.34953407,      -10.77188807,      -10.81625301,      -7.672521624
          0,           0,          86,      -13.38592754,      -10.76765369,      -10.80727982,      -7.693912888
          0,           0,          87,       -13.4204731,      -10.76774333,        -10.802693,      -7.711774874
          0,           0,          88,      -13.41472686,      -10.76582036,      -10.79869784,      -7.712780989
          0,           0,          89,      -13.29014477,      -10.76628593,      -10.82595689,      -7.636254954
          0,           0,          90,      -13.38595365,      -10.76679781,      -10.81239237,      -7.697434464
          0,           0,          91,      -13.41188935,       -10.7725742,       -10.8046795,       -7.70662172
          0,           0,          92,      -13.40831554,        -10.772694,      -10.80358871,      -7.708090373
          0,           0,          93,      -13.26814574,      -10.77427481,      -10.83384429,      -7.624023112
          0,           0,          94,      -13.36556762,      -10.77078692,       -10.8116409,      -7.680994641
          0,           0,          95,       -13.3954831,      -10.76414129,      -10.80319817,      -7.699091339
          0,           0,          96,      -13.40630659,      -10.76189687,      -10.79610101,      -7.703525069
          0,           0,          97,      -13.22608723,      -10.76645828,      -10.83589482,      -7.591366405
          0,           0,          98,      -13.34436372,      -10.77044034,      -10.81957183,      -7.669883094
          0,           0,          99,      -13.40252316,      -10.76827455,       -10.8016373,      -7.702888827
          0,           0,         100,      -13.41596866,      -10.77102557,      -10.80286821,      -7.711730438
          0,           0,         101,      -13.43001134,      -10.77014405,      -10.79051743,      -7.716857215
          0,           0,         102,      -13.28675746,      -10.76708483,      -10.81437697,      -7.631163054
