"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -0.269664311,       1.700852299,       1.302737796,       5.923489412
          0,           0,           1,     -0.2738055271,       1.695830396,       1.302088999,       5.919384193
          0,           0,           2,     -0.2778841188,       1.690884754,       1.301503343,       5.915342127
          0,           0,           3,     -0.2819027686,       1.686010986,       1.300975156,       5.911360512
          0,           0,           4,     -0.2858639387,       1.681204981,       1.300499068,       5.907436868
          0,           0,           5,     -0.2897698824,       1.676462903,       1.300070004,       5.903568919
          0,           0,           6,     -0.2936226548,       1.671781172,       1.299683178,       5.899754592
          0,           0,           7,     -0.2974241199,       1.667156468,       1.299334074,       5.895992003
          0,           0,           8,     -0.3011759677,       1.662585703,       1.299018448,       5.892279441
          0,           0,           9,     -0.3048797176,       1.658066025,       1.298732305,       5.888615368
          0,           0,          10,     -0.3085366701,       1.653594915,       1.298471898,       5.884998461
          0,           0,          11,      -0.312148047,       1.649169935,       1.298233707,       5.881427479
          0,           0,          12,     -0.3157149323,       1.644788845,       1.298014435,        5.87790132
          0,           0,          13,     -0.3192382806,       1.640449589,       1.297810996,        5.87441901
          0,           0,          14,     -0.3227189258,        1.63615029,       1.297620507,       5.870979698
          0,           0,          15,     -0.3261575894,       1.631889234,       1.297440277,       5.867582646
          0,           0,          16,     -0.3295547973,       1.627665003,       1.297267761,       5.864227303
          0,           0,          17,     -0.3329108331,       1.623476536,       1.297100511,       5.860913357
          0,           0,          18,     -0.3362261806,       1.619322479,       1.296936335,       5.857640306
          0,           0,          19,     -0.3395012376,        1.61520161,       1.296773202,        5.85440774
          0,           0,          20,     -0.3427363224,       1.611112837,       1.296609224,       5.851215325
          0,           0,          21,     -0.3459316798,       1.607055188,       1.296442656,       5.848062804
          0,           0,          22,     -0.3490874873,       1.603027802,       1.296271884,       5.844949985
          0,           0,          23,     -0.3522038605,       1.599029927,       1.296095416,       5.841876741
          0,           0,          24,     -0.3552808588,       1.595060911,       1.295911876,          5.838843
          0,           0,          25,     -0.3583184905,       1.591120196,       1.295719997,       5.835848741
          0,           0,          26,     -0.3613167179,       1.587207313,       1.295518615,        5.83289399
          0,           0,          27,     -0.3642754623,       1.583321875,       1.295306661,       5.829978814
          0,           0,          28,     -0.3671946084,       1.579463574,       1.295083157,       5.827103318
          0,           0,          29,     -0.3700740092,       1.575632176,       1.294847208,       5.824267636
          0,           0,          30,     -0.3729134898,       1.571827514,       1.294597999,       5.821471932
          0,           0,          31,     -0.3757128521,       1.568049482,       1.294334788,       5.818716393
          0,           0,          32,     -0.3784718783,       1.564298038,       1.294056904,       5.816001224
          0,           0,          33,     -0.3811903349,       1.560573191,       1.293763738,       5.813326647
          0,           0,          34,     -0.3838679764,       1.556875003,       1.293454746,       5.810692895
          0,           0,          35,     -0.3865045497,       1.553203581,       1.293129438,       5.808100209
          0,           0,          36,     -0.3890997955,       1.549559077,       1.292787377,       5.805548836
          0,           0,          37,     -0.3916534521,       1.545941684,       1.292428178,       5.803039023
          0,           0,          38,     -0.3941652611,       1.542351629,       1.292051503,       5.800571015
          0,           0,          39,     -0.3966349661,       1.538789173,       1.291657056,       5.798145056
          0,           0,          40,      -0.399062316,       1.535254609,       1.291244582,       5.795761381
          0,           0,          41,     -0.4014470706,       1.531748257,       1.290813864,       5.793420215
          0,           0,          42,     -0.4037890014,       1.528270459,       1.290364724,       5.791121773
          0,           0,          43,     -0.4060878937,       1.524821582,       1.289897015,       5.788866252
          0,           0,          44,     -0.4083435491,       1.521402009,       1.289410624,       5.786653835
          0,           0,          45,     -0.4105557873,        1.51801214,       1.288905467,       5.784484685
          0,           0,          46,     -0.4127244479,       1.514652391,       1.288381488,       5.782358946
          0,           0,          47,     -0.4148493922,       1.511323187,       1.287838658,       5.780276738
          0,           0,          48,     -0.4169305049,       1.508024963,       1.287276973,       5.778238159
          0,           0,          49,      -0.418967695,       1.504758163,       1.286696452,       5.776243282
          0,           0,          50,     -0.4209608976,       1.501523233,       1.286097135,       5.774292153
          0,           0,          51,     -0.4229100748,       1.498320624,       1.285479084,       5.772384791
          0,           0,          52,     -0.4248152194,       1.495150784,       1.284842385,       5.770521184
          0,           0,          53,     -0.4266763477,       1.492014166,       1.284187134,       5.768701297
