"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.2679323211,       1.577760774,       1.242812936,       5.931918248
          0,           0,           1,     -0.2704156766,       1.574600409,       1.240421455,       5.929530606
          0,           0,           2,     -0.2751983285,       1.568542254,       1.235955881,       5.924933585
          0,           0,           3,     -0.2841805981,       1.557214018,       1.228105069,       5.916301775
          0,           0,           4,     -0.3005504509,       1.536428736,       1.215594268,       5.900565725
          0,           0,           5,     -0.3292660176,        1.49820422,       1.198016919,       5.872936738
          0,           0,           6,      -0.374867126,       1.428682705,       1.175083467,       5.829090296
          0,           0,           7,     -0.4294544083,       1.318489468,       1.141184865,       5.776634974
          0,           0,           8,     -0.4649637808,       1.223693756,       1.087695118,        5.74100224
          0,           0,           9,     -0.4787430801,       1.245212027,       1.046313529,       5.724323613
          0,           0,          10,     -0.5091055214,       1.267022727,         1.0501972,       5.693711356
          0,           0,          11,     -0.5498815291,        1.23873523,       1.056457562,        5.65638508
          0,           0,          12,     -0.5554533469,       1.235083469,       1.033822276,       5.651592211
          0,           0,          13,     -0.5424563022,       1.269895463,       1.025998362,       5.663954081
          0,           0,          14,     -0.5835151209,       1.243024255,      0.9988168224,       5.626013919
          0,           0,          15,      -0.611098137,       1.215405398,      0.9538424849,       5.594967352
          0,           0,          16,     -0.6483090298,       1.178997932,      0.9244681927,       5.555831803
          0,           0,          17,     -0.7664836465,       1.069844747,      0.8358832547,       5.439762004
          0,           0,          18,     -0.9235641274,      0.9212342231,      0.6826593097,       5.285793696
          0,           0,          19,      -1.065766949,      0.7692418975,      0.5458675276,       5.140408904
          0,           0,          20,      -1.227679731,      0.5919858947,      0.4070898522,       4.972168243
          0,           0,          21,       -1.44582427,      0.3683014265,       0.211267349,       4.751592802
          0,           0,          22,      -1.714402693,      0.1017783033,    -0.03724203651,       4.484178837
          0,           0,          23,       -1.98387716,     -0.1593787784,     -0.3130745902,       4.215513309
          0,           0,          24,      -2.191410089,     -0.3538350727,     -0.5757663251,        4.00620563
          0,           0,          25,      -2.354691393,     -0.5152922886,     -0.7782594755,       3.838085489
          0,           0,          26,      -2.520930397,     -0.6903648859,     -0.9536507416,       3.664878514
          0,           0,          27,      -2.700111769,     -0.8831830407,      -1.144099416,       3.478410049
          0,           0,          28,      -2.876510768,      -1.077701957,      -1.331717328,       3.295734354
          0,           0,          29,      -3.034768417,      -1.255666122,      -1.479856211,       3.133671313
          0,           0,          30,      -3.180317714,          -1.41375,      -1.589821891,        2.98684321
          0,           0,          31,      -3.326036981,      -1.555469083,       -1.68746661,       2.841423007
          0,           0,          32,      -3.477030918,       -1.67857352,      -1.785869257,       2.691967777
          0,           0,          33,      -3.633455916,      -1.782093611,      -1.887679961,       2.538296217
          0,           0,          34,      -3.795166144,      -1.872094039,      -1.994141129,       2.380475863
          0,           0,          35,      -3.961961992,      -1.957319127,      -2.106421532,       2.218619766
          0,           0,          36,      -4.132439773,      -2.044723872,      -2.225018417,       2.053979006
          0,           0,          37,      -4.303803092,      -2.138702062,      -2.349974472,       1.888906451
          0,           0,          38,      -4.472809836,      -2.241756987,      -2.481266867,       1.725803657
          0,           0,          39,      -4.637243513,      -2.355173972,      -2.618960034,        1.56591599
          0,           0,          40,      -4.797079377,      -2.479477497,      -2.763223368,       1.408689127
          0,           0,          41,      -4.954471031,      -2.614719716,      -2.914313698,        1.25206981
          0,           0,          42,      -5.112585184,      -2.760658618,      -3.072532924,       1.093467923
          0,           0,          43,      -5.274316803,      -2.916875113,       -3.23815901,      0.9306470514
          0,           0,          44,      -5.441654804,      -3.082859859,      -3.411362156,      0.7621186666
          0,           0,          45,      -5.615654842,      -3.258082736,      -3.592119235,      0.5871246748
          0,           0,          46,      -5.796650535,      -3.442048329,      -3.780134565,      0.4054702958
          0,           0,          47,      -5.984438146,      -3.634335926,      -3.974778285,      0.2173922198
          0,           0,          48,      -6.178329431,      -3.834619286,      -4.175060322,     0.02353982385
          0,           0,          49,      -6.377064486,      -4.042658093,      -4.379663817,     -0.1749206717
          0,           0,          50,      -6.578662418,      -4.258250668,      -4.587058565,     -0.3761421939
          0,           0,          51,      -6.780425398,      -4.481132235,      -4.795714397,      -0.577570781
          0,           0,          52,      -6.979441482,      -4.710798045,      -5.004430882,     -0.7763979284
          0,           0,          53,      -7.173757999,      -4.946228176,      -5.212777916,     -0.9706907469
          0,           0,          54,      -7.363712963,      -5.185547112,      -5.421537807,      -1.160733743
          0,           0,          55,       -7.55235229,      -5.425832602,      -5.632904708,      -1.349505779
          0,           0,          56,      -7.744451294,      -5.663506167,      -5.850238271,      -1.541745595
          0,           0,          57,      -7.944773503,      -5.895472023,      -6.077421526,      -1.742208332
          0,           0,          58,      -8.156294271,      -6.120127785,      -6.318012178,      -1.953871323
          0,           0,          59,      -8.378470613,      -6.337161435,      -6.574113557,      -2.176191111
          0,           0,          60,      -8.605762219,      -6.547257731,      -6.844249254,      -2.403606207
          0,           0,          61,      -8.828388912,      -6.753753704,      -7.118916707,      -2.626284194
          0,           0,          62,      -9.037566629,      -6.964511376,      -7.375320001,      -2.835419958
          0,           0,          63,      -9.229963255,      -7.189917766,      -7.586136955,      -3.027777934
          0,           0,          64,      -9.404219966,      -7.436044214,      -7.749528949,      -3.202112195
          0,           0,          65,       -9.55943566,      -7.691293612,      -7.891253174,      -3.357439944
          0,           0,          66,      -9.702494409,      -7.914787538,      -8.037483075,      -3.500478801
          0,           0,          67,      -9.847783435,      -8.083892264,      -8.205311575,      -3.645641347
          0,           0,          68,      -10.00636499,      -8.238622501,      -8.404271472,      -3.804155452
          0,           0,          69,      -10.17877134,      -8.409390642,      -8.634877904,      -3.976684804
          0,           0,          70,      -10.35508301,      -8.582304117,      -8.877876035,      -4.153206257
          0,           0,          71,      -10.52284336,      -8.728905069,      -9.088759271,      -4.321017996
          0,           0,          72,      -10.68065442,      -8.859706391,      -9.251262612,      -4.478608742
          0,           0,          73,      -10.83734319,      -9.009301945,      -9.403058088,      -4.635219166
          0,           0,          74,      -10.99836894,      -9.190320297,      -9.564400794,      -4.796245644
          0,           0,          75,      -11.16039312,      -9.386140339,       -9.71934232,      -4.958500362
